Feature_0,Feature_1,Feature_2,Feature_3,Feature_4
0.9992552,0.9989549,0.9773833,-0.99376184,0.9969067
0.99837077,0.9979013,0.96484005,-0.9869585,0.99425584
0.9980715,0.997966,0.96517277,-0.987055,0.9947098
0.99873036,0.9983413,0.96974397,-0.99094045,0.9955492
0.9933465,0.99169254,0.94027925,-0.97082,0.9830637
0.9994646,0.9992322,0.98044443,-0.9943243,0.99751675
0.9997324,0.9996269,0.9875474,-0.99674165,0.9989472
0.99922276,0.99901676,0.97979677,-0.9922116,0.9974439
0.9995323,0.9994479,0.9857898,-0.995115,0.9981587
0.99896497,0.9987425,0.96992075,-0.9912757,0.9963
0.9991091,0.99882877,0.9784625,-0.9926774,0.9964572
0.99799174,0.99754924,0.9600715,-0.9862649,0.993651
0.9965851,0.9960275,0.95270926,-0.98063534,0.99129015
0.99930346,0.99910754,0.9812121,-0.9944234,0.9975619
0.99879336,0.9986304,0.9744748,-0.99054545,0.99626994
0.99969,0.9995271,0.98588616,-0.9960588,0.9984748
0.99922,0.9990648,0.97828233,-0.99401164,0.9971902
0.99947655,0.9992791,0.983151,-0.99468094,0.9979003
0.9995839,0.9994677,0.9844494,-0.9953974,0.99838287
0.99869126,0.99820757,0.968176,-0.99182767,0.99549913
0.99964195,0.99952865,0.9879623,-0.9957316,0.99857396
0.99941415,0.9991888,0.9836452,-0.9946202,0.9975833
0.9998486,0.9997887,0.9922031,-0.998124,0.9993609
0.999812,0.99975395,0.9912561,-0.99731904,0.9991917
0.9980059,0.99706113,0.96200883,-0.9862746,0.9929211
0.9993343,0.9990522,0.97887224,-0.99359906,0.9973389
0.9997058,0.9995545,0.987564,-0.9969556,0.9985678
0.99867564,0.99857676,0.9745442,-0.99040395,0.995435
0.99936014,0.9991626,0.9830231,-0.99408597,0.99741375
0.9997049,0.99959415,0.9862253,-0.99658906,0.9984555
0.99845093,0.9980073,0.9664482,-0.98920006,0.9948738
0.99596,0.99436986,0.9451789,-0.9739344,0.98759514
0.9986978,0.99831164,0.9703115,-0.9894967,0.9951092
0.99897766,0.99862874,0.97381496,-0.9929362,0.99640685
0.9969347,0.9961053,0.9535534,-0.9838743,0.99017245
0.999682,0.99961776,0.98688614,-0.99690515,0.99876904
0.9997485,0.9997047,0.98977655,-0.9975214,0.99888587
0.99946994,0.99923575,0.9819106,-0.9942452,0.99767154
0.99830526,0.99822164,0.9706605,-0.9875249,0.9952112
0.99856603,0.9983745,0.96665496,-0.9895157,0.99523586
0.9994732,0.99940884,0.98491067,-0.9954913,0.99798167
0.99784034,0.99751854,0.9657931,-0.9854328,0.9936521
0.99785864,0.99714535,0.96238315,-0.98716956,0.9934992
0.9995264,0.9994427,0.9830482,-0.9950737,0.9982129
0.9937118,0.9928877,0.9350383,-0.97315466,0.98489285
0.99860656,0.9984834,0.9725325,-0.99021983,0.9956731
0.99952877,0.99939585,0.9843598,-0.9956932,0.9979807
0.9995842,0.9993546,0.9830184,-0.99474025,0.9978646
0.9991402,0.99887717,0.9775243,-0.9927138,0.99700683
0.9990906,0.99869806,0.9717457,-0.9925575,0.99644226
0.99962103,0.9994442,0.986651,-0.9956429,0.9983565
0.99871916,0.9982479,0.9693125,-0.9902123,0.9949944
0.99871385,0.9985696,0.9730561,-0.99032986,0.9961582
0.9984211,0.99783206,0.96405166,-0.9879164,0.9947186
0.9990334,0.99881244,0.9723154,-0.9927169,0.99632984
0.9996628,0.9995304,0.9849174,-0.9963903,0.9984575
0.99996054,0.9999469,0.9963652,-0.99899906,0.99977857
0.999362,0.99908185,0.98033994,-0.99368167,0.9975408
0.9990934,0.99903184,0.9780174,-0.99326354,0.99699736
0.99984694,0.9997725,0.9907334,-0.9981777,0.9992904
0.9988895,0.9985964,0.97456485,-0.9913772,0.9959533
0.99402684,0.9928347,0.9385607,-0.96905935,0.98430836
0.99982005,0.9997661,0.9915884,-0.99740547,0.9990712
0.9958757,0.99578124,0.9382731,-0.97777903,0.98989505
0.999586,0.99942565,0.9834959,-0.99590945,0.99816155
0.9984656,0.99800336,0.9622617,-0.9899518,0.9949878
0.999585,0.99959457,0.9871457,-0.99570817,0.9984416
0.9987297,0.9985449,0.97055906,-0.9896361,0.995291
0.9995669,0.99943274,0.9856678,-0.9953827,0.9981294
0.99326307,0.99103135,0.921876,-0.9690519,0.9792843
0.9982109,0.99817306,0.9699252,-0.98913056,0.99518883
0.9988182,0.9985169,0.96942085,-0.9905286,0.99572474
0.9977358,0.9973387,0.9607258,-0.98642075,0.9931542
0.9998697,0.9998521,0.99292505,-0.998073,0.99942374
0.99968255,0.99956053,0.9877589,-0.9965224,0.9985364
0.99968004,0.99955666,0.9856863,-0.9966921,0.99863315
0.9977296,0.9974166,0.9628808,-0.9878674,0.9941216
0.99662113,0.9954927,0.95213187,-0.97885585,0.9886332
0.9986229,0.99835247,0.9679856,-0.99072933,0.9954095
0.99886763,0.998609,0.97461396,-0.9900076,0.99563724
0.99895686,0.998727,0.9742386,-0.9917686,0.9964062
0.99968845,0.9995803,0.9879613,-0.99593335,0.99858177
0.99975353,0.999677,0.9891568,-0.99722505,0.9989714
0.9952667,0.99448246,0.9417828,-0.9751776,0.9868447
0.99782443,0.9968139,0.959472,-0.98521185,0.9925835
0.9980872,0.99766487,0.9651768,-0.9878912,0.9938021
0.9991049,0.99892426,0.97516215,-0.99307656,0.99661463
0.9995219,0.99932945,0.9835138,-0.9955158,0.9979993
0.99912876,0.99888754,0.9768271,-0.9921504,0.9968729
0.9995945,0.999467,0.98529667,-0.9952034,0.9981612
0.99957496,0.99946594,0.9852545,-0.9947048,0.99801546
0.9943643,0.9931875,0.9353916,-0.9737361,0.9850603
0.9955504,0.9951575,0.9518375,-0.97895676,0.98870677
0.9994163,0.9992946,0.98116696,-0.99439466,0.99766564
0.99989754,0.9998438,0.99249107,-0.998367,0.99940175
0.9992227,0.9989118,0.979368,-0.9922796,0.9971122
0.997652,0.99723035,0.9579144,-0.9875603,0.99335146
0.9996247,0.9995314,0.9872315,-0.99663,0.9986544
0.99669695,0.9960266,0.95101166,-0.9805617,0.99035555
0.99938583,0.99902594,0.97952926,-0.99419695,0.997351
0.9995977,0.9995861,0.9876698,-0.9954661,0.9983469
0.998018,0.99766994,0.95854425,-0.98676807,0.99410355
0.99973184,0.9996403,0.9906947,-0.9968473,0.99880797
