,Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount
Time,1.0,-0.04813692614752611,-0.046015919875592524,-0.027850046583027418,0.06516108888357179,0.142731133719389,0.04570486011894007,0.09624531791926184,0.09640395930223979,-0.10703799713609222,-0.020186770737187894,-0.07580967969715045,0.015885567791766468,-0.10249498513648618,-0.013441934622240798,0.056318631986945485,-0.09827242806073631,0.1232982740271739,-0.1533525372278332,0.24602133441327298,-0.11459198284002849,0.08019947256261666,-0.14937579400547205,0.08363187029968364,-0.1835450628946358,0.010808734049549087,0.13815971985801254,0.04852516195888854,-0.03385573985988199,-0.04863288631487782
V1,-0.04813692614752611,1.0,0.07864522281784912,-0.1212644277138015,0.06112650997667445,0.17256815923731014,0.11374148347375317,-0.08349470141141017,-0.08563723744377943,-0.20082524384143977,0.03475021253308079,0.1099787173604717,-0.032876024993783226,-0.06221276701005076,-0.08750291704490372,-0.22005443631354565,0.15025354689512962,0.18697836337542445,-0.014792899440516935,-0.2442318459724927,0.09959509095978689,-0.024930228579751038,-0.11464645395376463,-0.11757951287129899,-0.14001746348017702,-0.00563056432843717,0.04933362408290651,0.07934881262321253,-0.0021622773055591034,0.1590117027748214
V2,-0.046015919875592524,0.07864522281784912,1.0,0.013224863702061712,-0.08056136169897199,-0.09976087665433625,-0.09471423924755464,-0.11297840222058125,-0.005358623245841405,0.06594574463085906,-0.13944699976387595,0.05668070564344865,-0.20317349669129905,0.2769563480715452,-0.25359001125084285,-0.12109799179194418,0.0021371859464268724,0.10498517701455004,-0.14140978336638974,0.050916327760324426,-0.024308112797404715,-0.031060509254839577,-0.052276113629890514,0.03556786218431561,-0.06857246461077703,0.03711326028474074,-0.10994986268591744,0.21820455758943572,0.18550168384099666,-0.02175484638486608
V3,-0.027850046583027418,-0.1212644277138015,0.013224863702061712,1.0,-0.14455852057181365,-0.13810719066906216,0.17874095717335053,0.09766790757934513,0.041541256635665054,-0.08035068599423631,-0.009980005694605058,0.14672197518364438,-0.05542802912747339,0.31891976233326474,-0.15295194661250014,-0.061648298290136426,0.09616446703754744,-0.053344622748497904,0.03545455159378511,-0.0730009387820793,0.12258833673733163,-0.148271478457142,-0.09257093820101603,-0.10713676399638522,0.10484618835985307,-0.015822626050029466,-0.010222523222153074,-0.0020583589460617746,-0.058917239755488765,-0.18879105417720243
V4,0.06516108888357179,0.06112650997667445,-0.08056136169897199,-0.14455852057181365,1.0,0.04934542366528124,0.16903834445161764,0.03529802416545967,0.0046356770709096926,-0.01644398927317469,-0.2280305268410118,0.017513054360122342,-0.03372669243794426,0.052040053582598646,0.2722864650141482,0.014810442878632767,-0.013132203825823863,-0.06830359072492086,-0.1214684526278159,0.11836269809287485,-0.1629355113425608,0.13470601349858624,0.03772624377301996,0.03109860490673829,-0.2803701407249931,0.05404134629565018,0.05556042434361118,-0.0010678121330904592,-0.27733709189035444,0.12116502047634756
V5,0.142731133719389,0.17256815923731014,-0.09976087665433625,-0.13810719066906216,0.04934542366528124,1.0,0.10857785961851736,-0.05875788055814169,0.02099219770000276,0.03377793958584383,0.11502539965170924,0.06639760956661568,-0.1682440628840129,-0.10641545030278174,0.07790578665647147,-0.16675175871757403,-0.049657147379022035,-0.091239391703062,0.15163066518544874,0.20952256543933429,0.1414096713922984,0.02088612259752058,-0.1006186244293857,-0.07948787710972571,0.08981947791103441,0.028173112546883414,-0.045855137211464725,-0.015055918430273709,0.0387255923983453,0.07242775104230481
V6,0.04570486011894007,0.11374148347375317,-0.09471423924755464,0.17874095717335053,0.16903834445161764,0.10857785961851736,1.0,-0.08480388192045266,0.10847401815999008,-0.12877529419493128,-0.01034199452580143,-0.09436792823265705,0.0643836100597736,-0.028054267687646964,-0.0900760140320216,-0.08013276956456185,0.2013182626879316,-0.016315021610638882,0.02107179078638886,-0.107329464318524,-0.03996054806065091,-0.06905264046058876,-0.2622168568565953,0.1564423892912033,0.06137451135501576,-0.16683949162707246,0.2251674576245403,0.05007921257880792,-0.19521312983644834,-0.07980388843915812
V7,0.09624531791926184,-0.08349470141141017,-0.11297840222058125,0.09766790757934513,0.03529802416545967,-0.05875788055814169,-0.08480388192045266,1.0,-0.08071438246940571,-0.15532784783699438,0.09987564217108212,0.04913058575390771,0.017458089996276103,-0.2270562124454083,-0.01640256870789826,-0.16691770528940633,-0.05811223899978314,0.03456125428616319,-0.012228555566673464,0.010513306552114776,0.007377479645854543,-0.1210159675689076,0.20770993242102312,0.07409941332114875,-0.1494246812924715,0.03944942550409665,-0.039909399161227224,-0.08006750264383974,-0.25048560550598714,0.010749780304978
V8,0.09640395930223979,-0.08563723744377943,-0.005358623245841405,0.041541256635665054,0.0046356770709096926,0.02099219770000276,0.10847401815999008,-0.08071438246940571,1.0,0.23408662675621672,-0.2349141995484519,-0.22926109868641958,-0.1991334328901422,0.1339343428355159,-0.0963654279756945,0.12196786237864214,-0.05009201786009128,-0.0742437902016913,0.14518288207827143,0.042729845498167184,0.1343047854001547,0.02690910659268887,0.08758267729202254,-0.18454946247563978,-0.08827635053387756,0.158619254466996,-0.11708936239943989,-0.008771501039878471,-0.0508441420974166,-0.030906377844411095
V9,-0.10703799713609222,-0.20082524384143977,0.06594574463085906,-0.08035068599423631,-0.01644398927317469,0.03377793958584383,-0.12877529419493128,-0.15532784783699438,0.23408662675621672,1.0,-0.23298835400665652,-0.06442800930494036,-0.41258735794258167,0.05572961999694319,0.24072839872755378,-0.05566607536839042,-0.12351791982347468,0.012586615295183838,0.05387977142643894,0.26650191779129867,0.1890472580473437,-0.011793296874873101,0.1591228982229503,-0.07717614852412576,0.23419598442006778,0.07128333433344144,-0.35321283950967414,0.0764801282176871,0.09941072375949561,-0.047081715892352174
V10,-0.020186770737187894,0.03475021253308079,-0.13944699976387595,-0.009980005694605058,-0.2280305268410118,0.11502539965170924,-0.01034199452580143,0.09987564217108212,-0.2349141995484519,-0.23298835400665652,1.0,-0.012859353593843968,0.05019603329010659,-0.25603731640737537,-0.11702045893457828,-0.006165166717675793,-0.07172359216620666,-0.06153302546168021,0.07549264325299009,-0.13199947103569326,-0.17636922380748907,0.08137010083971083,-0.13008572941306742,0.2087416655473422,0.26729281863852455,-0.09868573545747872,0.2854809441965483,-0.08935892467279595,0.01878353562015474,-0.03960613953911406
V11,-0.07580967969715045,0.1099787173604717,0.05668070564344865,0.14672197518364438,0.017513054360122342,0.06639760956661568,-0.09436792823265705,0.04913058575390771,-0.22926109868641958,-0.06442800930494036,-0.012859353593843968,1.0,-0.05122412308779567,-0.02494535090880521,0.0389668366594502,0.20607110145406912,0.23193806376213544,-0.05084025997321064,0.03939570589675109,0.08807220090863924,-0.13899479200564482,-0.12449014323690268,-0.23591396377814505,-0.2566342971565763,-0.11218362575935685,-0.2151935131786933,-0.0787187482675391,0.05045464297271694,0.25641940331502233,-0.040110892673557906
V12,0.015885567791766468,-0.032876024993783226,-0.20317349669129905,-0.05542802912747339,-0.03372669243794426,-0.1682440628840129,0.0643836100597736,0.017458089996276103,-0.1991334328901422,-0.41258735794258167,0.05019603329010659,-0.05122412308779567,1.0,-0.19892716868676297,0.2333992000085639,0.05653637241922932,0.11240989055304451,0.0633520082166389,0.0541355949153769,-0.29591709448480713,-0.13646877013598066,-0.025896314434494083,0.10953789100641301,0.001746051801900374,-0.14347428841595355,0.07470032582957063,0.34492431335393153,0.06995677248336246,-0.15734383636385088,-0.022090592613802917
V13,-0.10249498513648618,-0.06221276701005076,0.2769563480715452,0.31891976233326474,0.052040053582598646,-0.10641545030278174,-0.028054267687646964,-0.2270562124454083,0.1339343428355159,0.05572961999694319,-0.25603731640737537,-0.02494535090880521,-0.19892716868676297,1.0,-0.02131065494247704,-0.08187852292498066,-0.07765501351999711,-0.13146013161369707,-0.1291439516628047,-0.03719656909561459,0.15057475946447063,-0.06035071665211654,-0.037311014929282474,0.06025578830260946,-0.0922619317145475,0.25312747346022535,-0.2004076518256063,-0.042537826639953126,0.06963590003132235,0.09938762213389914
V14,-0.013441934622240798,-0.08750291704490372,-0.25359001125084285,-0.15295194661250014,0.2722864650141482,0.07790578665647147,-0.0900760140320216,-0.01640256870789826,-0.0963654279756945,0.24072839872755378,-0.11702045893457828,0.0389668366594502,0.2333992000085639,-0.02131065494247704,1.0,-0.08611231938442131,-0.028961742414897875,-0.044355282514203044,-0.08785389829035424,0.0006460565425881847,0.020569294337467712,0.06042441179698575,0.22363147664080785,0.011645498734879708,-0.10519035131326324,0.19268493028481262,-0.021798453299566714,-0.0866712283566904,-0.1643683046664196,-0.10528771250001398
V15,0.056318631986945485,-0.22005443631354565,-0.12109799179194418,-0.061648298290136426,0.014810442878632767,-0.16675175871757403,-0.08013276956456185,-0.16691770528940633,0.12196786237864214,-0.05566607536839042,-0.006165166717675793,0.20607110145406912,0.05653637241922932,-0.08187852292498066,-0.08611231938442131,1.0,0.08478207688260332,-0.14913305670855675,0.0320386503042785,0.04821916549182941,-0.20116960896999883,0.13221974507233972,-0.023194839893162268,-0.2785131515915553,0.09152453438255223,-0.1034953012538637,-0.01419307476010427,0.12396418048528313,0.21747042410596243,-0.03688141208148511
V16,-0.09827242806073631,0.15025354689512962,0.0021371859464268724,0.09616446703754744,-0.013132203825823863,-0.049657147379022035,0.2013182626879316,-0.05811223899978314,-0.05009201786009128,-0.12351791982347468,-0.07172359216620666,0.23193806376213544,0.11240989055304451,-0.07765501351999711,-0.028961742414897875,0.08478207688260332,1.0,0.20325622660547993,-0.10348400423024859,-0.03476760881989273,-0.0037564330060507445,-0.056111609405905635,-0.1154944507714064,-0.03636373962829753,-0.050625921639969144,-0.2006669864886133,0.05389004681866257,0.05373646442623157,-0.04969967937448892,-0.06128210839027845
V17,0.1232982740271739,0.18697836337542445,0.10498517701455004,-0.053344622748497904,-0.06830359072492086,-0.091239391703062,-0.016315021610638882,0.03456125428616319,-0.0742437902016913,0.012586615295183838,-0.06153302546168021,-0.05084025997321064,0.0633520082166389,-0.13146013161369707,-0.044355282514203044,-0.14913305670855675,0.20325622660547993,1.0,-0.15358518290526332,0.12939174733230066,0.0010500358518461504,0.09363034925930024,0.02875740425748257,0.011786728987299705,-0.22117824306938969,-0.1424620307946555,0.03709869824343279,0.18500732591889454,0.0993521386884857,0.018998278779336634
V18,-0.1533525372278332,-0.014792899440516935,-0.14140978336638974,0.03545455159378511,-0.1214684526278159,0.15163066518544874,0.02107179078638886,-0.012228555566673464,0.14518288207827143,0.05387977142643894,0.07549264325299009,0.03939570589675109,0.0541355949153769,-0.1291439516628047,-0.08785389829035424,0.0320386503042785,-0.10348400423024859,-0.15358518290526332,1.0,0.08120406355281327,0.061504091451185745,0.1369592692979901,-0.03159613710993223,-0.2458417097681576,0.2934579463365839,-0.08081986213068497,0.03573449260581322,0.05004501948803493,-0.004127488678673292,0.05762466429416157
V19,0.24602133441327298,-0.2442318459724927,0.050916327760324426,-0.0730009387820793,0.11836269809287485,0.20952256543933429,-0.107329464318524,0.010513306552114776,0.042729845498167184,0.26650191779129867,-0.13199947103569326,0.08807220090863924,-0.29591709448480713,-0.03719656909561459,0.0006460565425881847,0.04821916549182941,-0.03476760881989273,0.12939174733230066,0.08120406355281327,1.0,0.011738690862545986,0.18367258816092388,-0.08741457694702776,-0.10354234320972974,0.05486174341969309,-0.031629278700635685,-0.22559085613358248,0.03142395404855088,0.09750957129668737,0.17109758756220633
V20,-0.11459198284002849,0.09959509095978689,-0.024308112797404715,0.12258833673733163,-0.1629355113425608,0.1414096713922984,-0.03996054806065091,0.007377479645854543,0.1343047854001547,0.1890472580473437,-0.17636922380748907,-0.13899479200564482,-0.13646877013598066,0.15057475946447063,0.020569294337467712,-0.20116960896999883,-0.0037564330060507445,0.0010500358518461504,0.061504091451185745,0.011738690862545986,1.0,-0.0649317559454462,0.2853464391589449,-0.1190568225737528,-0.02026753922126848,0.108737482671763,-0.3597874075334996,-0.04093775543450232,-0.06417915160865724,-0.0828493819033403
V21,0.08019947256261666,-0.024930228579751038,-0.031060509254839577,-0.148271478457142,0.13470601349858624,0.02088612259752058,-0.06905264046058876,-0.1210159675689076,0.02690910659268887,-0.011793296874873101,0.08137010083971083,-0.12449014323690268,-0.025896314434494083,-0.06035071665211654,0.06042441179698575,0.13221974507233972,-0.056111609405905635,0.09363034925930024,0.1369592692979901,0.18367258816092388,-0.0649317559454462,1.0,-0.1003532867428268,-0.042132240446587206,0.09257089487306096,0.0401017318999331,0.02579697716224788,0.009647549185569912,0.0045264263832572975,0.05560783217616011
V22,-0.14937579400547205,-0.11464645395376463,-0.052276113629890514,-0.09257093820101603,0.03772624377301996,-0.1006186244293857,-0.2622168568565953,0.20770993242102312,0.08758267729202254,0.1591228982229503,-0.13008572941306742,-0.23591396377814505,0.10953789100641301,-0.037311014929282474,0.22363147664080785,-0.023194839893162268,-0.1154944507714064,0.02875740425748257,-0.03159613710993223,-0.08741457694702776,0.2853464391589449,-0.1003532867428268,1.0,0.01085337703012082,-0.0673617312271511,0.17531603739671922,-0.18926469362886736,0.09358180338335559,-0.15840915466670544,-0.13116124162537546
V23,0.08363187029968364,-0.11757951287129899,0.03556786218431561,-0.10713676399638522,0.03109860490673829,-0.07948787710972571,0.1564423892912033,0.07409941332114875,-0.18454946247563978,-0.07717614852412576,0.2087416655473422,-0.2566342971565763,0.001746051801900374,0.06025578830260946,0.011645498734879708,-0.2785131515915553,-0.03636373962829753,0.011786728987299705,-0.2458417097681576,-0.10354234320972974,-0.1190568225737528,-0.042132240446587206,0.01085337703012082,1.0,0.04344861033796727,-0.0057494826693495265,0.05449467042977518,-0.031695746066962245,-0.12807577199281914,-0.12808718320172705
V24,-0.1835450628946358,-0.14001746348017702,-0.06857246461077703,0.10484618835985307,-0.2803701407249931,0.08981947791103441,0.06137451135501576,-0.1494246812924715,-0.08827635053387756,0.23419598442006778,0.26729281863852455,-0.11218362575935685,-0.14347428841595355,-0.0922619317145475,-0.10519035131326324,0.09152453438255223,-0.050625921639969144,-0.22117824306938969,0.2934579463365839,0.05486174341969309,-0.02026753922126848,0.09257089487306096,-0.0673617312271511,0.04344861033796727,1.0,-0.16082057353094917,-0.15496639646399585,-0.04450366418439044,0.05306593976343068,-0.11199697033188298
V25,0.010808734049549087,-0.00563056432843717,0.03711326028474074,-0.015822626050029466,0.05404134629565018,0.028173112546883414,-0.16683949162707246,0.03944942550409665,0.158619254466996,0.07128333433344144,-0.09868573545747872,-0.2151935131786933,0.07470032582957063,0.25312747346022535,0.19268493028481262,-0.1034953012538637,-0.2006669864886133,-0.1424620307946555,-0.08081986213068497,-0.031629278700635685,0.108737482671763,0.0401017318999331,0.17531603739671922,-0.0057494826693495265,-0.16082057353094917,1.0,-0.024895328728132136,-0.02877470304500856,-0.09681718870938222,0.0067919850537050495
V26,0.13815971985801254,0.04933362408290651,-0.10994986268591744,-0.010222523222153074,0.05556042434361118,-0.045855137211464725,0.2251674576245403,-0.039909399161227224,-0.11708936239943989,-0.35321283950967414,0.2854809441965483,-0.0787187482675391,0.34492431335393153,-0.2004076518256063,-0.021798453299566714,-0.01419307476010427,0.05389004681866257,0.03709869824343279,0.03573449260581322,-0.22559085613358248,-0.3597874075334996,0.02579697716224788,-0.18926469362886736,0.05449467042977518,-0.15496639646399585,-0.024895328728132136,1.0,0.032566718270857616,-0.10721772118876349,-0.10887161205085731
V27,0.04852516195888854,0.07934881262321253,0.21820455758943572,-0.0020583589460617746,-0.0010678121330904592,-0.015055918430273709,0.05007921257880792,-0.08006750264383974,-0.008771501039878471,0.0764801282176871,-0.08935892467279595,0.05045464297271694,0.06995677248336246,-0.042537826639953126,-0.0866712283566904,0.12396418048528313,0.05373646442623157,0.18500732591889454,0.05004501948803493,0.03142395404855088,-0.04093775543450232,0.009647549185569912,0.09358180338335559,-0.031695746066962245,-0.04450366418439044,-0.02877470304500856,0.032566718270857616,1.0,0.1495908626231485,-0.08325335758490986
V28,-0.03385573985988199,-0.0021622773055591034,0.18550168384099666,-0.058917239755488765,-0.27733709189035444,0.0387255923983453,-0.19521312983644834,-0.25048560550598714,-0.0508441420974166,0.09941072375949561,0.01878353562015474,0.25641940331502233,-0.15734383636385088,0.06963590003132235,-0.1643683046664196,0.21747042410596243,-0.04969967937448892,0.0993521386884857,-0.004127488678673292,0.09750957129668737,-0.06417915160865724,0.0045264263832572975,-0.15840915466670544,-0.12807577199281914,0.05306593976343068,-0.09681718870938222,-0.10721772118876349,0.1495908626231485,1.0,-0.07168546983681343
Amount,-0.04863288631487782,0.1590117027748214,-0.02175484638486608,-0.18879105417720243,0.12116502047634756,0.07242775104230481,-0.07980388843915812,0.010749780304978,-0.030906377844411095,-0.047081715892352174,-0.03960613953911406,-0.040110892673557906,-0.022090592613802917,0.09938762213389914,-0.10528771250001398,-0.03688141208148511,-0.06128210839027845,0.018998278779336634,0.05762466429416157,0.17109758756220633,-0.0828493819033403,0.05560783217616011,-0.13116124162537546,-0.12808718320172705,-0.11199697033188298,0.0067919850537050495,-0.10887161205085731,-0.08325335758490986,-0.07168546983681343,1.0
