,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0,2,0,0,0,0,9,2,3,0,2,3,4,10,0
1,0,8,0,7,1,6,11,0,4,1,9,3,1,31,1
2,1,7,0,14,6,0,10,3,2,1,8,13,0,24,0
3,1,0,0,12,6,6,10,4,0,1,14,3,0,19,0
4,3,4,0,3,6,1,13,3,3,1,6,16,3,35,0
5,1,0,0,13,2,6,0,0,0,1,12,15,1,12,0
6,10,0,0,3,0,0,1,1,4,0,3,13,0,40,0
7,0,8,0,4,6,0,7,3,0,1,0,2,0,20,0
8,9,5,0,2,1,0,14,3,0,0,13,2,5,33,0
9,4,5,0,7,1,6,14,3,1,1,8,2,1,20,0
10,0,3,0,12,0,4,9,2,0,1,12,15,5,7,0
11,7,8,0,6,0,3,10,1,4,0,12,10,1,28,0
12,2,8,0,5,2,6,6,4,1,0,6,0,0,38,0
13,7,6,0,2,3,1,13,3,4,0,18,17,5,16,1
14,4,5,0,3,1,5,3,2,2,0,11,12,3,37,0
15,1,6,0,7,5,5,3,2,2,1,10,18,0,2,0
16,5,0,0,12,5,2,13,5,0,1,7,17,3,21,1
17,4,2,0,13,0,2,8,3,0,1,3,2,2,29,0
18,8,2,0,9,4,2,8,1,0,1,7,19,3,14,1
19,5,3,0,6,1,4,8,2,3,0,13,9,0,4,0
20,6,3,0,5,0,3,8,5,0,1,9,10,5,13,1
21,9,8,0,13,0,2,7,4,1,1,13,9,0,11,0
22,6,6,0,2,0,6,12,0,1,1,4,3,0,0,0
23,0,6,0,8,5,3,2,3,3,0,6,18,3,13,0
24,0,4,0,9,0,2,0,0,4,1,17,18,5,25,0
25,9,4,0,3,4,1,7,1,0,0,18,19,3,3,1
26,1,1,0,2,5,1,13,5,4,0,16,7,1,40,1
27,4,3,0,2,3,2,12,3,0,0,6,18,1,7,0
28,2,0,0,10,2,6,11,3,2,1,2,8,5,10,0
29,1,2,0,0,1,4,4,5,0,1,5,0,0,35,0
30,1,8,0,12,0,6,2,5,0,0,6,19,1,19,0
31,3,6,0,11,2,1,11,3,1,0,2,11,5,29,0
32,1,6,0,6,6,5,2,1,4,1,13,15,4,5,0
33,9,0,0,1,1,3,14,1,0,1,11,20,2,40,0
34,5,0,0,12,6,6,3,2,3,0,2,0,0,2,0
35,0,7,0,10,1,0,8,1,0,1,17,15,5,3,0
36,6,8,0,5,6,4,5,5,4,0,17,12,5,9,0
37,6,1,0,9,2,0,4,4,4,1,18,14,4,8,1
38,1,0,0,3,5,3,9,3,2,0,11,13,4,0,0
39,0,2,0,13,6,6,1,1,0,1,12,2,1,12,0
40,7,0,0,0,2,1,1,0,3,0,9,1,3,8,1
41,9,5,0,7,2,0,4,3,1,1,5,8,4,38,1
42,6,4,0,5,4,5,2,2,0,1,0,18,2,16,1
43,7,1,0,3,2,6,5,3,3,0,10,20,3,4,0
44,9,8,0,8,0,4,7,4,0,0,7,3,5,33,0
45,8,6,0,8,0,4,5,2,3,1,13,15,0,12,0
46,7,4,0,12,1,2,1,5,1,0,5,17,1,22,1
47,2,7,0,2,2,0,0,1,2,1,17,0,5,12,0
48,1,4,0,4,5,4,13,4,0,0,6,0,4,34,0
49,5,3,0,10,2,2,1,3,1,0,5,17,5,25,1
50,9,8,0,13,6,6,10,3,3,0,2,11,1,21,0
51,2,0,0,7,5,4,0,0,1,0,8,16,2,7,0
52,10,0,0,15,2,3,1,1,1,1,4,2,2,21,0
53,8,8,0,1,5,2,10,1,3,0,9,1,1,10,1
54,6,1,0,6,6,0,1,2,4,1,0,4,2,38,0
55,10,1,0,7,5,5,1,4,4,1,18,3,1,30,1
56,3,8,0,5,4,1,6,2,3,0,2,1,0,14,0
57,9,2,0,1,3,0,10,5,2,1,16,14,0,20,1
58,3,1,0,6,6,1,2,0,0,0,2,18,5,16,0
59,9,8,0,14,0,0,9,3,0,0,2,12,0,0,0
60,8,8,0,6,0,2,2,0,4,1,9,1,5,4,1
61,3,6,0,6,0,2,0,3,3,1,13,11,2,4,0
62,2,8,0,12,5,5,7,4,1,0,6,11,3,31,0
63,6,6,0,1,4,1,9,0,0,1,3,18,3,19,0
64,2,5,0,1,6,5,14,4,0,0,2,13,2,1,0
65,0,3,0,13,0,0,3,0,3,1,17,2,5,35,0
66,9,8,0,12,3,2,7,4,0,1,11,4,0,19,0
67,2,4,0,13,1,1,12,2,3,1,10,19,5,17,0
68,10,0,0,13,1,0,10,4,2,0,13,2,4,29,0
69,6,7,0,11,5,5,2,2,3,0,0,19,0,0,0
70,0,8,0,1,0,6,11,4,0,1,13,15,2,27,0
71,3,7,0,10,0,1,3,2,0,0,0,5,4,22,0
72,8,1,0,6,4,2,12,0,3,1,10,8,1,39,1
73,10,5,0,13,2,3,5,0,1,0,10,11,2,21,0
74,1,6,0,15,6,6,11,4,0,1,6,18,2,30,0
75,9,1,0,15,6,0,2,0,3,0,7,16,2,0,1
76,10,1,0,5,6,6,2,2,1,1,18,10,3,14,1
77,1,4,0,4,6,2,3,2,0,0,6,2,0,12,0
78,5,8,0,7,6,0,11,1,0,1,12,18,5,0,0
79,2,0,0,11,3,6,3,1,4,1,18,8,3,19,1
80,8,5,0,3,3,4,10,1,2,1,17,2,0,4,0
81,10,0,0,3,5,4,3,4,2,1,6,9,0,20,0
82,8,0,0,5,6,5,7,1,0,1,18,18,4,13,1
83,2,5,0,2,4,0,10,5,0,0,3,20,4,39,1
84,0,2,0,11,5,4,1,1,1,0,8,17,2,38,0
85,8,6,0,3,6,0,14,2,0,1,6,11,4,25,0
86,0,4,0,2,0,3,8,4,0,1,8,2,2,27,0
87,2,2,0,5,0,3,1,3,2,0,11,11,2,35,0
88,2,1,0,1,6,0,4,1,0,1,18,10,4,21,1
89,3,1,0,8,4,6,10,4,3,1,1,5,3,25,1
90,6,6,0,9,0,5,14,3,0,0,16,6,1,20,0
91,8,6,0,12,1,0,11,5,0,0,12,18,1,37,0
92,10,0,0,4,1,6,1,4,2,0,8,11,1,19,0
93,2,7,0,13,4,0,11,5,4,0,4,2,5,10,0
94,6,4,0,8,0,0,11,3,0,0,6,11,1,17,0
95,9,0,0,0,5,3,2,0,2,1,8,2,2,19,0
96,8,2,0,5,3,1,0,2,0,1,4,2,0,13,0
97,1,6,0,10,0,4,7,4,0,0,0,11,3,21,0
98,5,7,0,14,4,6,0,4,4,1,18,5,5,25,1
99,8,1,0,15,6,4,11,2,0,0,6,10,4,18,1
100,0,5,0,4,1,0,4,1,0,1,0,6,0,39,0
101,2,4,0,1,0,3,5,0,4,1,2,6,4,30,0
102,7,4,0,10,0,6,9,2,0,0,14,20,4,17,1
103,6,1,0,8,1,1,5,2,0,0,4,11,5,40,0
104,1,0,0,11,5,4,8,3,1,0,7,9,1,34,0
105,2,2,0,5,2,0,8,4,0,0,2,6,4,33,0
106,7,3,0,8,6,5,5,5,3,1,10,11,0,29,0
107,3,1,0,9,4,1,7,2,1,0,4,15,2,19,1
108,5,5,0,6,0,0,8,0,1,0,15,2,3,23,0
109,9,6,0,9,6,5,10,5,0,0,13,12,4,40,0
110,5,7,0,1,4,3,0,5,2,0,5,19,0,12,0
111,4,6,0,4,1,2,12,5,2,0,14,14,5,8,1
112,8,0,0,13,5,6,5,2,0,1,14,16,3,24,0
113,5,3,0,7,0,5,4,0,4,0,2,6,3,24,0
114,10,0,0,11,6,4,10,2,1,1,15,19,0,13,0
115,7,5,0,9,4,3,3,2,3,0,13,2,1,11,0
116,2,1,0,15,4,5,3,1,0,0,18,18,4,12,1
117,5,2,0,10,1,1,5,5,1,0,13,11,3,38,0
118,2,3,0,8,0,0,11,3,4,0,15,0,4,26,0
119,2,7,0,5,4,6,10,3,1,1,12,15,0,5,0
120,10,7,0,0,0,0,0,1,2,1,6,13,1,7,0
121,10,5,0,8,1,1,0,0,1,1,7,7,4,20,1
122,9,2,0,14,3,6,12,5,3,1,16,10,5,39,1
123,10,7,0,3,2,0,1,0,1,1,2,4,1,29,0
124,8,8,0,5,2,4,6,3,0,0,4,9,0,25,0
125,4,8,0,3,2,2,10,4,0,0,18,5,4,1,1
126,7,6,0,10,3,1,4,0,4,1,3,10,5,30,1
127,2,6,0,1,1,2,8,1,4,1,13,2,3,4,0
128,9,2,0,15,5,5,11,1,2,1,18,6,2,8,1
129,3,3,0,0,0,0,7,1,3,1,3,13,0,40,0
130,0,4,0,3,1,5,6,5,1,0,2,11,2,38,0
131,5,8,0,8,2,4,3,3,3,1,5,14,2,10,0
132,1,3,0,5,5,6,11,0,4,0,8,4,4,17,0
133,10,6,0,5,5,1,6,2,3,0,2,20,4,32,0
134,8,6,0,14,1,2,3,4,4,0,8,4,1,6,0
135,6,7,0,3,0,4,6,4,0,0,2,11,2,24,0
136,5,8,0,10,0,5,6,1,2,1,8,12,2,5,0
137,3,6,0,15,3,2,6,0,2,0,8,9,1,27,0
138,5,8,0,15,2,1,3,4,1,1,17,8,5,40,1
139,1,0,0,1,1,3,10,3,1,1,6,7,0,33,0
140,1,2,0,0,6,2,5,2,1,1,0,6,1,29,0
141,10,6,0,14,0,4,10,1,3,1,17,6,0,10,0
142,9,0,0,14,2,5,1,4,1,1,5,10,5,22,1
143,3,7,0,11,6,3,6,4,0,1,16,16,3,5,0
144,5,2,0,9,5,5,4,4,2,1,4,9,4,25,0
145,0,6,0,3,0,3,6,0,1,1,4,19,0,3,0
146,7,4,0,9,0,5,9,1,3,1,17,1,3,31,0
147,10,4,0,13,0,4,4,0,4,0,8,2,5,28,0
148,8,1,0,11,3,0,4,4,0,1,1,2,5,16,0
149,2,1,0,6,0,4,1,3,2,0,12,20,1,40,0
150,10,8,0,5,1,3,9,0,3,0,16,11,2,10,0
151,10,6,0,2,6,3,5,2,2,0,0,17,1,25,0
152,0,4,0,4,5,1,8,3,3,0,13,2,1,22,0
153,1,2,0,12,0,4,0,3,1,0,4,1,0,18,0
154,2,6,0,11,0,4,0,3,4,1,2,11,5,20,0
155,2,6,0,13,6,0,4,1,0,0,15,20,4,1,0
156,6,0,0,12,0,3,9,2,0,0,2,2,3,13,0
157,6,1,0,13,0,2,2,2,1,1,1,17,5,14,1
158,2,2,0,11,1,3,8,0,0,1,6,6,3,29,0
159,0,7,0,9,0,6,9,4,3,0,2,6,0,6,0
160,0,4,0,7,5,1,0,3,4,0,2,6,2,24,0
161,3,8,0,3,1,5,5,3,4,0,17,8,0,0,0
162,3,8,0,1,6,5,14,3,1,1,2,20,3,13,0
163,10,0,0,3,5,5,2,0,0,0,4,3,5,24,0
164,10,8,0,13,5,5,5,4,0,0,13,13,1,13,0
165,0,1,0,15,1,3,9,1,2,1,12,11,0,19,0
166,9,2,0,7,1,4,7,5,0,1,18,19,5,10,1
167,1,4,0,10,0,0,14,1,0,1,0,2,4,13,0
168,4,3,0,5,1,0,0,1,0,1,12,16,4,40,0
169,6,1,0,11,0,3,11,5,1,0,9,10,4,33,1
170,0,8,0,8,0,0,0,1,0,0,13,4,0,27,0
171,7,4,0,4,4,6,3,5,3,1,13,14,0,9,0
172,2,5,0,8,6,1,11,5,3,1,12,5,3,6,1
173,8,2,0,12,4,6,7,2,1,0,2,11,1,24,0
174,4,6,0,7,1,0,2,0,3,1,11,7,3,7,1
175,10,6,0,2,6,3,14,3,0,1,11,6,5,32,0
176,3,8,0,13,5,5,10,3,1,1,2,6,0,27,0
177,9,7,0,7,5,1,7,5,4,0,12,18,3,9,0
