age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
5.1516194,2,0.0,3,0.6242542,3,7,1,2,1,0.0,0.0,1.0809726,34,0
5.2173524,2,0.0,5,1.2551991,3,5,1,4,1,2.4631767,0.83337986,0.72228646,39,0
5.3690658,2,0.0,8,2.9545972,2,4,0,4,1,5.28447,0.41240466,3.6169791,34,1
12.795316,4,0.0,12,2.529933,2,12,1,4,1,0.0,0.0,2.611485,41,1
4.8828373,1,0.0,12,4.696259,4,7,5,3,0,3.491972,0.7723573,1.3367641,40,0
8.532602,3,0.0,13,5.1364007,0,0,0,4,0,3.3313408,0.0,3.7424498,41,1
1.490502,2,0.0,10,2.1748517,3,11,4,4,0,0.0,0.0,0.0,39,0
6.9153614,1,0.0,9,4.0660152,1,3,0,4,1,1.1182956,0.2545765,4.185236,34,1
7.215584,4,0.0,12,6.052754,1,10,0,4,1,0.7064053,1.1984793,3.3801663,35,1
5.682535,3,0.0,7,0.78488094,4,13,2,4,1,0.0,1.1946465,2.4782703,40,0
5.8919587,5,0.0,15,6.026505,1,2,4,2,0,0.18382508,1.1453964,2.3026426,37,0
2.5253074,4,0.0,0,-2.0095415,2,9,3,4,1,0.0,0.0,1.747484,34,0
2.8032575,4,0.0,3,0.182434,2,3,5,3,0,3.1788092,0.0,3.701193,40,0
3.00956,5,0.0,12,4.0924387,3,6,2,3,0,6.7844977,0.52378803,2.514469,36,1
11.496364,3,0.0,13,4.8560247,3,4,0,3,1,0.07544354,0.0,4.5142064,41,1
2.6105902,3,0.0,10,2.4481115,4,13,3,4,0,0.0,1.4301988,1.2507657,37,0
3.4439192,3,0.0,15,3.8370178,4,4,1,4,1,7.209322,0.80894166,3.3001268,41,1
5.304118,3,0.0,10,1.3755718,4,5,3,3,0,10.440695,0.0,1.5617282,35,1
5.1444497,7,0.0,10,4.94534,4,8,4,4,0,2.583698,0.0,0.9615519,37,0
6.4968753,6,0.0,13,6.2592287,4,10,2,4,1,0.0,1.8440459,1.5930676,35,0
2.4242592,2,0.0,15,4.9279127,5,6,3,3,0,0.33189604,0.0,0.669451,36,0
8.009123,2,0.0,3,0.34761724,2,3,0,4,1,5.767359,0.32993978,2.5684807,35,1
3.8049836,3,0.0,3,-0.60554594,1,1,1,4,1,1.0757966,0.01654851,2.0780613,35,0
6.343393,2,0.0,8,0.7221784,3,6,1,3,1,2.9427714,0.0,1.9095796,31,1
5.6171355,5,0.0,10,4.63647,1,4,2,4,1,0.0,0.0,2.85746,38,0
8.256592,5,0.0,11,4.6857586,4,5,1,4,1,0.80117464,0.3907076,1.7279522,36,1
9.028716,2,0.0,14,4.005368,2,1,0,4,1,4.6558285,0.34036148,2.9057357,40,1
6.324805,7,0.0,8,4.461571,2,13,1,4,1,1.0545471,0.4794227,1.9450946,33,0
5.677474,1,0.0,6,1.2582027,2,7,4,2,0,1.0482633,0.0,2.877252,41,0
7.3256645,4,0.0,12,5.563202,6,0,1,3,0,2.1615393,0.0,3.7109542,41,1
6.403685,5,0.0,13,5.2047358,4,6,3,3,0,0.0,0.29108623,0.4458434,37,0
3.121309,3,0.0,6,1.5746177,1,7,1,4,1,0.0,0.56636506,4.22609,36,1
9.842271,3,0.0,12,7.3685822,2,5,1,4,1,0.0,0.16028339,3.2266862,38,1
7.641245,2,0.0,8,2.9786074,2,4,2,3,0,0.0,0.45534855,1.796815,38,0
1.2308145,3,0.0,12,5.0681715,4,0,4,2,0,0.23540226,0.23020385,2.0852988,35,0
8.651161,4,0.0,2,-0.68236494,1,6,1,2,1,5.6452327,1.0930071,2.4439096,41,0
4.1022987,4,0.0,3,1.2304956,3,8,1,3,0,0.0,0.0,0.61026806,31,0
8.5425205,2,0.0,13,4.3206697,4,2,1,3,1,0.0,0.0,1.2804658,41,1
8.807943,3,0.0,13,2.5898807,3,4,0,3,1,0.0,1.6612607,1.9768251,41,1
6.917186,4,0.0,9,3.206992,0,8,0,1,1,1.1969738,1.0859871,1.9136347,31,1
5.733453,3,0.0,8,0.9325538,5,5,2,2,0,6.0396857,0.0,2.4374318,39,1
0.9520619,2,0.0,6,2.2106092,1,4,4,4,0,0.35624492,0.26655185,2.466037,36,0
6.919789,7,0.0,10,1.1687006,1,12,0,4,1,12.3874,0.0,3.9178913,41,1
7.0758867,3,0.0,14,6.263456,6,1,2,4,1,4.349154,0.0,3.0650728,41,1
4.863905,5,0.0,14,7.2345777,3,11,3,4,1,0.5084528,0.0,0.0,34,0
5.9118223,5,0.0,11,5.247774,4,11,1,4,1,0.0,0.0,2.1308818,41,1
5.721545,3,0.0,13,3.9845126,1,5,1,4,1,5.4779124,1.751381,1.6085187,37,1
3.5331233,1,0.0,11,3.9877057,3,3,3,3,0,0.05173672,0.46376824,0.66171074,33,0
5.0714746,3,0.0,13,4.9832916,1,6,0,4,1,0.0,0.0,3.480912,37,1
5.8626056,3,0.0,13,5.4613547,2,5,1,4,1,3.276838,0.0,5.0,39,1
7.531872,6,0.0,11,2.1984708,0,10,2,2,1,2.077593,1.0899415,0.98636055,31,0
6.0020247,6,0.0,14,3.4482553,1,9,1,4,1,0.0,0.0,0.2965354,34,0
10.549454,3,0.0,6,2.3379812,2,10,1,4,1,1.5552841,0.0,4.7561336,39,1
5.8382435,5,0.0,14,5.5119514,1,11,4,2,1,1.4287446,2.858156,3.4475822,35,1
4.967021,3,0.0,1,0.024231447,3,4,4,3,1,0.77778554,0.0,1.217306,34,0
5.33571,2,0.0,14,4.257524,0,0,0,2,0,0.5082464,0.0,0.8382925,36,0
4.4252768,2,0.0,11,4.113074,2,6,0,4,0,2.728058,0.0,0.69731915,33,1
6.990487,5,0.0,8,1.9006351,5,7,1,4,1,7.2184095,1.1950374,1.2864864,36,1
4.570914,4,0.0,15,6.2968063,6,3,1,4,1,0.0,0.0,4.231869,41,0
8.051813,3,0.0,10,5.0825305,0,4,0,4,1,1.5662032,0.3001988,3.23781,38,1
2.319219,5,0.0,8,2.5706956,4,9,4,4,0,0.0,0.0,1.5541283,32,0
5.4436984,3,0.0,11,4.3651175,0,0,4,3,0,0.0,0.21713458,1.6554319,38,0
2.4196086,1,0.0,6,0.62444335,3,8,2,4,0,4.838058,0.0,1.9228954,35,1
4.7503242,6,0.0,15,7.822231,3,14,5,4,0,4.6658783,1.0395164,4.7914877,41,0
9.787321,2,0.0,14,5.2401853,2,3,0,4,1,0.0,0.51440555,3.8971188,41,1
