age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
97.3, Federal-gov,-134957.0, 10th,17.5, Married-spouse-absent, Other-service, Other-relative, White, Male,109998.9,4791.6,-8.8, Trinadad&Tobago, >50K
35.36500108631819, Local-gov,3137.2066984821577, Masters,11.646798837453286, Married-spouse-absent, Craft-repair, Husband, Amer-Indian-Eskimo, Female,-345.69050429593085,46.055830265710185,68.19989923559281, Columbia, >50K
39.898246135286925, State-gov,9081.156164030632, Doctorate,14.36585542940585, Married-civ-spouse, Adm-clerical, Own-child, Amer-Indian-Eskimo, Male,-245.66367624251484,62.25248868969068,33.712977671690226, Greece, >50K
21.42989533495633, State-gov,276834.13570226723, 10th,1.2799642003197267, Widowed, Armed-Forces, Not-in-family, Other, Female,-302.139493230442,202.41444456842595,28.511612742845962, England, >50K
97.3, State-gov,-134957.0, 9th,14.48200818125586, Separated, Tech-support, Wife, Other, Female,9297.902061280465,388.2381047879873,-8.8, Cambodia, >50K
97.3, Self-emp-inc,1631947.0, Assoc-acdm,17.5, Separated, Handlers-cleaners, Unmarried, Black, Male,109998.9,-435.6,-8.8, Yugoslavia, <=50K
97.3, Federal-gov,1631947.0, Prof-school,-0.5, Divorced, Armed-Forces, Not-in-family, Black, Male,-9999.900000000001,4791.6,-8.8, Haiti, >50K
27.409253132749264, Self-emp-not-inc,46272.903080791875, 7th-8th,9.87254109090996, Separated, Armed-Forces, Other-relative, White, Female,49.18901060023154,30.73935911610821,40.2105269209163, England, >50K
97.3, Without-pay,1631947.0, Prof-school,17.5, Divorced, Farming-fishing, Husband, Other, Male,109998.9,4791.6,-8.8, Cuba, <=50K
97.3, State-gov,1631947.0, Masters,17.5, Never-married, Protective-serv, Own-child, Other, Male,109998.9,-435.6,108.8, Italy, >50K
97.3, Private,-134957.0, 5th-6th,17.5, Widowed, Farming-fishing, Unmarried, Other, Female,-9999.900000000001,4791.6,108.8, Hungary, <=50K
51.131609552824465, Self-emp-inc,110415.53570853121, Masters,9.344657478302386, Never-married, Protective-serv, Wife, Other, Male,861.2086942066192,21.12174715245054,31.99702302799587, Outlying-US(Guam-USVI-etc), >50K
35.298245564425805, Private,71587.82400698432, 7th-8th,13.130013357365108, Married-civ-spouse, Machine-op-inspct, Wife, Asian-Pac-Islander, Male,174.090657424818,44.87124719388125,36.26629373932448, Haiti, >50K
97.3, Private,1631947.0, 1st-4th,-0.5, Widowed, Farming-fishing, Husband, Asian-Pac-Islander, Female,109998.9,4791.6,108.8, Cuba, >50K
21.154127251983322, Without-pay,96206.81926613161, Assoc-voc,3.582280852029763, Married-spouse-absent, Other-service, Own-child, Other, Male,-107.08394147438571,30.26136686005897,34.81396471393022, Italy, <=50K
97.3, Private,-134957.0, 7th-8th,17.5, Divorced, Transport-moving, Husband, White, Female,109998.9,-435.6,108.8, Ecuador, >50K
97.3, Self-emp-not-inc,484544.50865326374, Assoc-voc,17.5, Married-spouse-absent, Craft-repair, Unmarried, Other, Male,109998.9,-435.6,108.8, Poland, >50K
97.3, Federal-gov,1631947.0, Bachelors,-0.5, Married-spouse-absent, Protective-serv, Not-in-family, Other, Female,109998.9,531.4035451259422,108.8, Japan, <=50K
97.3, Never-worked,1631947.0, 9th,-0.5, Separated, Armed-Forces, Wife, Amer-Indian-Eskimo, Female,-9999.900000000001,4791.6,-8.8, France, >50K
97.3, State-gov,-134957.0, Masters,-0.5, Never-married, Exec-managerial, Husband, Black, Male,109998.9,4791.6,108.8, Japan, <=50K
38.69395441447499, Local-gov,133575.3647716829, 7th-8th,12.629192318451071, Married-spouse-absent, Machine-op-inspct, Not-in-family, White, Male,310.54659006710483,2829.6090373643365,51.44195883157241, Iran, <=50K
97.3, Never-worked,1631947.0, Bachelors,17.5, Divorced, Machine-op-inspct, Own-child, Asian-Pac-Islander, Male,-9999.900000000001,4791.6,-8.8, Ireland, <=50K
97.3, Self-emp-inc,1631947.0, 10th,17.5, Married-AF-spouse, Farming-fishing, Own-child, White, Male,-9999.900000000001,4791.6,108.8, Nicaragua, <=50K
97.3, State-gov,1231043.939690753, Doctorate,-0.5, Never-married, Transport-moving, Own-child, Black, Female,31564.728339654004,4769.438980226427,-8.8, France, <=50K
9.7, Never-worked,1631947.0, Assoc-acdm,-0.5, Divorced, Sales, Unmarried, Black, Female,-9999.900000000001,4791.6,108.8, Hungary, >50K
97.3, Federal-gov,1465945.707939702, Masters,17.5, Married-AF-spouse, Tech-support, Husband, Asian-Pac-Islander, Female,109998.9,4791.6,-8.8, United-States, >50K
