age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
34,4,185065,15,2,3,0,4,1,0,0,40,39,0
23,4,412749,11,4,14,1,4,1,0,0,40,31,0
34,1,194908,15,5,13,4,4,0,0,0,40,39,0
28,4,277031,15,6,7,4,4,0,0,0,40,39,0
31,4,159138,4,0,4,4,4,1,20834,0,18,39,0
58,5,50629,14,2,10,5,4,0,0,0,40,39,0
51,4,153369,1,0,12,4,4,0,0,0,40,39,0
27,4,202330,11,2,13,5,2,0,0,0,40,0,1
42,6,328662,2,4,13,4,4,0,0,0,40,9,0
29,4,106910,10,2,1,2,4,1,0,0,44,3,0
52,4,280445,9,0,13,4,4,0,0,0,35,39,0
61,6,99399,12,2,14,0,4,1,0,1976,40,39,1
44,4,217796,11,2,4,0,4,1,0,0,40,39,1
39,7,217796,9,6,3,1,4,0,3238,0,50,39,0
34,4,170997,12,2,3,0,4,1,0,0,40,39,0
48,7,202754,15,4,5,4,4,0,0,1608,40,39,0
27,4,229235,0,4,10,4,4,1,0,0,40,39,0
48,6,154313,8,2,10,0,0,1,0,1643,40,39,0
38,4,173013,11,2,7,0,4,1,0,0,40,39,0
46,4,147831,11,3,1,4,2,0,0,0,32,30,0
20,4,297201,8,0,14,3,4,1,0,0,34,39,0
42,4,267972,1,3,1,1,4,1,0,0,80,26,0
26,4,255519,11,2,5,0,4,1,3681,0,55,39,1
28,4,410847,11,2,3,0,4,1,7208,0,50,39,1
38,6,200202,10,2,5,0,4,1,0,1554,40,39,1
32,6,203927,12,2,5,5,4,0,0,0,20,39,1
52,4,194254,8,0,8,4,4,0,0,0,49,33,1
26,4,59212,11,4,6,0,4,1,0,0,40,39,0
39,4,250478,2,2,3,0,4,1,0,0,40,39,0
24,4,256151,0,4,4,3,4,0,0,0,68,39,0
48,4,102801,9,1,12,1,4,0,0,0,11,0,1
22,6,142022,3,4,0,3,4,0,3207,0,40,39,0
39,4,181753,9,6,9,4,4,0,0,2287,38,39,0
70,4,331422,9,0,10,1,4,1,98088,0,40,39,0
54,6,130256,12,2,4,0,2,1,3438,0,45,39,0
32,6,212390,11,2,10,0,4,0,0,0,50,16,1
46,4,26399,2,5,13,1,4,1,0,2309,31,39,1
38,4,184991,8,4,8,1,1,1,0,741,30,14,1
59,5,57837,12,2,10,0,4,1,3499,0,40,39,1
39,4,329023,11,0,4,5,4,0,0,980,50,0,1
50,4,112555,11,2,3,0,4,1,0,0,40,39,0
42,4,381742,11,4,3,2,4,1,0,0,40,39,0
31,4,198480,9,0,0,3,4,0,0,0,38,39,0
38,2,446319,9,6,10,1,4,1,0,0,40,39,0
28,4,188261,15,4,4,3,4,1,0,0,20,39,1
43,5,106114,9,2,5,0,4,1,3023,1971,40,39,1
69,6,218882,7,2,10,5,4,1,0,1896,40,39,0
32,2,98571,15,3,8,1,4,0,0,0,23,39,0
28,4,61187,15,2,7,5,3,1,0,0,40,39,1
52,4,315676,15,6,13,4,4,0,0,0,40,39,0
65,4,192747,15,0,10,4,4,0,0,0,40,39,0
63,4,218808,11,2,10,0,4,1,0,1985,40,39,1
19,4,211610,6,4,4,3,4,0,0,0,25,39,0
56,4,227370,12,2,10,5,4,0,0,0,32,39,0
34,4,173924,12,2,1,5,2,0,0,0,55,39,1
58,4,203914,9,2,10,0,4,1,0,0,19,39,1
53,4,188875,10,2,13,0,1,1,0,0,40,39,1
36,4,413479,11,5,10,1,4,1,0,0,35,40,0
48,4,290550,14,2,10,0,1,1,0,0,40,39,1
42,6,472410,6,2,4,0,4,1,0,0,34,39,1
54,4,145931,9,2,10,0,4,1,0,1887,40,39,1
44,4,163904,11,2,5,0,4,1,0,1622,55,39,1
22,4,167029,15,4,7,4,4,0,0,0,40,4,0
26,4,186253,0,4,6,3,4,1,0,0,40,39,0
42,4,338227,11,2,5,0,4,1,0,0,76,39,1
63,4,207375,11,2,4,0,4,1,0,0,40,39,0
36,6,181086,11,2,3,0,4,1,0,0,85,39,0
56,8,124734,9,0,1,4,4,0,0,0,78,39,0
32,4,221216,11,2,10,0,4,1,7123,0,40,39,0
19,4,109227,15,4,8,4,4,0,3409,0,40,39,0
68,4,44121,9,0,8,1,4,1,94485,0,40,39,0
23,4,108266,4,6,8,4,4,0,7486,0,26,33,0
45,2,367644,9,5,10,1,4,1,0,0,40,39,1
43,4,162087,4,2,10,0,4,1,0,0,40,39,0
47,5,105588,9,2,1,0,4,1,0,0,60,39,1
51,4,100609,15,0,1,4,4,0,0,0,12,39,0
37,4,167986,11,2,10,0,4,1,0,1890,40,0,1
