0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,2,4,119,82,3,125,0,0,0,1,0,0,0
1111,22,14,108,33,2,110,0,0,0,1,0,0,0
2222,16,10,9,367,0,189,0,0,0,0,0,0,0
3333,12,46,1,298,0,145,1,0,0,0,0,0,0
4444,12,45,117,95,3,189,1,0,0,0,0,0,1
4556,14,8,103,159,3,41,1,56,0,0,0,1,0
4667,30,23,138,114,1,110,1,0,0,0,0,1,0
4778,27,20,97,267,0,35,2,0,0,0,0,0,1
4889,12,5,146,33,2,47,1,5,0,0,0,1,0
1,11,46,71,234,0,179,2,0,1,0,0,0,0
112,42,36,6,366,3,98,2,0,0,0,0,0,0
223,6,42,117,46,2,4,1,0,0,0,0,1,0
334,25,19,14,241,1,164,2,0,0,1,0,0,0
445,36,29,112,373,3,112,1,0,0,0,0,1,0
556,44,39,12,116,0,191,0,0,0,1,0,0,0
667,37,27,97,397,0,110,2,0,0,0,0,1,1
778,15,9,28,386,3,147,2,35,1,0,0,0,0
889,19,13,146,316,3,98,0,0,0,0,0,0,0
1000,23,17,83,108,1,251,2,0,1,0,0,0,0
1112,32,24,95,367,0,44,1,0,0,1,0,0,1
1223,33,28,101,273,3,62,1,12,0,0,0,1,0
1334,34,23,131,34,2,191,2,0,0,0,0,1,0
1445,6,42,130,46,0,215,0,160,0,0,0,1,0
1556,21,13,115,93,1,53,0,64,0,1,0,0,0
1667,13,6,48,428,1,174,0,60,0,0,0,0,1
1778,20,14,103,316,2,44,0,344,0,0,0,1,0
1889,17,11,148,399,3,23,2,0,0,0,0,0,0
2000,23,16,52,26,0,98,0,0,0,0,0,1,1
2111,33,27,118,330,0,224,2,0,0,0,0,1,1
2223,15,8,17,291,0,231,1,0,1,0,1,1,1
2334,36,32,109,241,0,215,2,23,0,0,0,1,0
2445,17,11,103,302,0,191,1,0,0,0,0,1,0
2556,30,24,113,368,1,47,2,94,0,0,0,0,0
2667,7,43,70,95,2,62,2,0,0,0,0,0,0
2778,8,42,120,279,3,162,2,0,0,0,0,1,0
2889,25,20,146,196,2,53,0,0,0,0,0,0,0
3000,36,32,20,367,0,173,0,0,0,0,0,0,1
3111,28,21,137,441,0,97,2,99,0,0,0,0,0
3222,19,13,38,299,2,194,2,0,1,1,1,1,0
3334,15,8,145,300,3,53,2,181,0,0,0,1,0
3445,34,29,149,201,2,125,2,0,0,1,0,0,0
3556,11,46,128,304,2,78,0,0,0,0,0,0,0
3667,9,44,30,6,3,213,1,267,1,0,0,1,0
3778,16,10,117,430,0,53,0,0,0,0,0,1,0
3889,23,16,5,284,0,148,0,0,0,0,0,1,1
4000,34,28,122,367,3,112,0,0,0,0,0,0,1
4111,16,9,115,387,2,53,1,54,0,0,0,1,0
4222,14,7,84,105,3,23,2,112,1,1,1,1,1
4333,33,22,146,437,1,115,2,0,0,0,0,0,1
4445,17,11,119,181,0,162,0,0,0,0,0,0,1
4457,9,45,144,148,3,53,1,0,0,1,0,1,0
4468,38,34,29,367,0,173,0,0,0,0,0,1,0
4479,7,43,138,271,0,4,0,108,0,0,0,0,0
4490,27,22,80,39,2,221,2,141,1,0,0,1,0
4501,6,42,116,445,0,23,2,0,0,0,0,1,0
4512,18,12,35,275,1,197,0,0,0,0,0,1,0
4523,32,27,103,271,2,4,1,0,0,1,1,1,0
