buying_high,buying_low,buying_med,buying_vhigh,maint_high,maint_low,maint_med,maint_vhigh,doors_2,doors_3,doors_4,doors_5more,persons_2,persons_4,persons_more,lug_boot_big,lug_boot_med,lug_boot_small,safety_high,safety_low,safety_med,class
0.9999976,-0.9999998,0.9999589,0.9999996,0.9976189,0.99378073,-0.97094274,0.999959,0.9912893,-0.90668035,0.99996144,0.9999589,0.99979126,-0.9255326,0.9999943,-0.7487268,-0.99997395,1.0,0.9999968,1.0,0.9999988,2
0.9330067,-0.9607268,0.87382686,0.9651194,0.7122294,0.61829877,-0.4786337,0.86972266,0.5918292,-0.45558104,0.9069806,0.88667756,0.8261993,-0.4030335,0.93035024,-0.18716228,-0.86280423,0.97802633,0.9371638,0.98548937,0.9494102,1
0.92309374,-0.9602947,0.88815683,0.97138494,0.70904046,0.66073626,-0.43927345,0.8968414,0.6436061,-0.28709197,0.89015883,0.8992945,0.834626,-0.25327894,0.9416686,-0.14876743,-0.85297865,0.98387474,0.9567782,0.9883236,0.951728,0
0.99187374,-0.9975944,0.9822065,0.99780864,0.8983177,0.86112666,-0.6741382,0.98265374,0.84210545,-0.4973918,0.98173994,0.9825556,0.9618786,-0.4648844,0.9927563,-0.3287693,-0.9785169,0.99924755,0.99541193,0.9995741,0.9956198,2
0.9960077,-0.998828,0.98798686,0.9988745,0.9176982,0.8826027,-0.7261812,0.9877803,0.8718412,-0.5868254,0.988595,0.9888679,0.97447973,-0.5879335,0.9950719,-0.39900976,-0.98671037,0.99964136,0.99702966,0.999782,0.9974096,2
0.99879146,-0.99968696,0.993835,0.9995713,0.95553446,0.90967315,-0.8341724,0.9943692,0.88798076,-0.7361155,0.9958653,0.9941241,0.9874954,-0.72539693,0.9980241,-0.4725658,-0.99504954,0.99988127,0.9981413,0.99995023,0.99919206,2
0.9999859,-0.99999833,0.9998277,0.9999964,0.99403054,0.9862858,-0.94850576,0.99981004,0.98131454,-0.8759972,0.9998554,0.99981475,0.9993612,-0.89618266,0.9999673,-0.66614676,-0.99985766,0.99999964,0.99997944,0.9999999,0.9999917,3
0.9887997,-0.99630386,0.9769066,0.99662983,0.8776369,0.84006053,-0.646648,0.975901,0.8212379,-0.4829417,0.9759456,0.9789918,0.9544108,-0.46070662,0.9904684,-0.2999584,-0.96918887,0.99878216,0.99447,0.99931294,0.9941222,2
0.98694044,-0.993795,0.95526683,0.9930645,0.8512597,0.76115763,-0.65952396,0.9564597,0.72805977,-0.63079613,0.9730404,0.95815516,0.9314547,-0.6158727,0.98186237,-0.29512134,-0.96174717,0.9965602,0.9808504,0.9981221,0.98907226,2
0.99583316,-0.99896514,0.98948795,0.9991135,0.92358536,0.8918432,-0.7492193,0.9905749,0.8765061,-0.54737073,0.98939836,0.99071074,0.97581756,-0.52959245,0.9959613,-0.39770415,-0.986853,0.99971765,0.9976158,0.99983996,0.99790126,2
0.9973829,-0.99930847,0.99100846,0.9992553,0.9378191,0.89676493,-0.7803035,0.9921049,0.87516373,-0.6282417,0.9924513,0.99182373,0.98216236,-0.6260962,0.99673516,-0.4047661,-0.9905179,0.9997766,0.99773115,0.999893,0.9984919,2
0.99894196,-0.9997493,0.9947574,0.999665,0.9576239,0.91534376,-0.8366207,0.99533445,0.89530504,-0.7336894,0.9960928,0.9950441,0.9886186,-0.721436,0.99827194,-0.46629447,-0.99557006,0.9999072,0.99846,0.99996054,0.99929357,2
0.9965333,-0.9987019,0.98191565,0.9982946,0.9200794,0.84196484,-0.7821269,0.9839507,0.80811685,-0.7272864,0.99036115,0.9836538,0.9721994,-0.7322102,0.9938242,-0.37099886,-0.98725444,0.9992875,0.9928386,0.9997007,0.9971544,0
0.999865,-0.9999806,0.99909,0.99997133,0.9849741,0.9664837,-0.9079143,0.99918467,0.95614254,-0.7925721,0.99930763,0.9990999,0.9971608,-0.79595846,0.9997987,-0.5607872,-0.99921584,0.9999949,0.99984705,0.9999983,0.99993277,0
0.8136198,-0.8668694,0.72819793,0.8959372,0.56847554,0.46864954,-0.34580386,0.74291885,0.4336709,-0.33397084,0.7968666,0.75233746,0.6790614,-0.2542205,0.8273486,-0.10667657,-0.7013012,0.91522753,0.8343264,0.9390035,0.8516806,0
