A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,class
-0.99759936,0.9999379,0.9992814,0.9938483,0.99899006,0.99665475,-0.99999946,0.99987334,-0.9961732,0.9999948,0.99998236,0.9999989,-0.99998844,0.99999505,-0.99999493,-0.99742246,0.99993145,-0.9999346,0.99962765,-0.995382,-0.99999994,-0.9999956,-0.999998,-0.99999505,0.99958265,-0.9702993,-0.9997719,-0.99994725,0.9999886,-0.99066496,0.99999934,0.99944115,0.99999,0.99713004,-0.9999997,-0.9998134,0.9778959,-0.99959975,0.9994627,1
-0.9999995,1.0,0.99999994,0.9999958,0.9999999,0.99999905,-1.0,1.0,-0.9999987,1.0,1.0,1.0,-1.0,1.0,-1.0,-0.99999934,1.0,-1.0,1.0,-0.9999975,-1.0,-1.0,-1.0,-1.0,1.0,-0.9998258,-1.0,-1.0,1.0,-0.999983,1.0,1.0,1.0,0.9999991,-1.0,-1.0,0.99993294,-1.0,1.0,1
-0.99942166,0.99999344,0.9998458,0.9982804,0.99977976,0.999165,-1.0,0.9999816,-0.99901086,0.99999964,0.99999857,0.99999994,-0.999999,0.99999964,-0.99999964,-0.9993303,0.9999917,-0.9999916,0.9999283,-0.99867374,-1.0,-0.9999997,-0.9999999,-0.99999964,0.99992484,-0.9875153,-0.9999639,-0.9999941,0.999999,-0.99646294,0.99999994,0.99989873,0.99999917,0.99923384,-1.0,-0.9999718,0.99152267,-0.99993485,0.9999066,1
-0.9999773,0.99999994,0.99999577,0.9998797,0.9999932,0.99995923,-1.0,0.9999998,-0.99994934,1.0,1.0,1.0,-1.0,1.0,-1.0,-0.9999709,0.99999994,-0.99999994,0.9999986,-0.99992245,-1.0,-1.0,-1.0,-1.0,0.9999985,-0.9982579,-0.99999946,-0.99999994,1.0,-0.99967086,1.0,0.99999785,1.0,0.99996233,-1.0,-0.99999964,0.99904805,-0.99999857,0.99999803,1
-1.0,1.0,1.0,0.9999999,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-0.99999994,-1.0,-1.0,-1.0,-1.0,1.0,-0.9999888,-1.0,-1.0,1.0,-0.9999992,1.0,1.0,1.0,1.0,-1.0,-1.0,0.9999965,-1.0,1.0,1
-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1
-0.99421304,0.99980056,0.99846685,0.98770326,0.9978767,0.99272335,-0.9999973,0.9996137,-0.9925724,0.99997747,0.9999296,0.9999944,-0.999957,0.9999793,-0.99998003,-0.9939871,0.99976295,-0.99980843,0.99910843,-0.9911427,-0.99999976,-0.999983,-0.9999909,-0.9999785,0.99893564,-0.95054126,-0.9993964,-0.99982804,0.9999574,-0.98402894,0.9999967,0.99865204,0.99996245,0.99409324,-0.99999845,-0.9994431,0.9619794,-0.99901754,0.99845916,1
-0.9943614,0.99978125,0.9980183,0.9878962,0.9973943,0.99282116,-0.999996,0.9995547,-0.9913099,0.9999729,0.99992335,0.9999933,-0.9999453,0.99997354,-0.99997485,-0.9938864,0.9997495,-0.99974245,0.998892,-0.99078,-0.99999964,-0.999976,-0.9999877,-0.9999743,0.9987736,-0.9492993,-0.99928176,-0.9998016,0.9999456,-0.9811319,0.9999956,0.99849623,0.99995273,0.9935521,-0.99999756,-0.99938,0.9602337,-0.9988405,0.99845755,0
-1.0,1.0,1.0,0.99999994,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-0.99999994,-1.0,-1.0,-1.0,-1.0,1.0,-0.9999913,-1.0,-1.0,1.0,-0.9999994,1.0,1.0,1.0,1.0,-1.0,-1.0,0.9999976,-1.0,1.0,1
-0.94660854,0.9931,0.9739856,0.91553503,0.97056293,0.93795943,-0.9994563,0.9888537,-0.9336871,0.99806833,0.9962074,0.9991664,-0.9970287,0.9981062,-0.9981808,-0.9473406,0.99201864,-0.99218893,0.9825426,-0.92999655,-0.999861,-0.9981829,-0.99882066,-0.998152,0.97976744,-0.8159069,-0.98549676,-0.9936361,0.99719524,-0.8946904,0.99938565,0.97700095,0.9973388,0.94408554,-0.999586,-0.9867332,0.8294902,-0.98120123,0.9757228,1
