x-box,y-box,width,high,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx,class
(1.5-2.5],All,(0.5-3.5],(-inf-8.5],(0.5-1.5],(7.5-8.5],(12.5-13.5],(-inf-0.5],(5.5-6.5],(5.5-6.5],(9.5-10.5],(7.5-8.5],(-inf-0.5],(7.5-8.5],(-inf-0.5],(7.5-8.5],T
(4.5-inf),All,(0.5-3.5],(-inf-8.5],(1.5-2.5],(9.5-11.5],(4.5-5.5],(4.5-5.5],(3.5-4.5],(12.5-13.5],(2.5-4.5],(8.5-9.5],(1.5-2.5],(7.5-8.5],(3.5-4.5],(9.5-10.5],I
(2.5-4.5],All,(3.5-7.5],(-inf-8.5],(5.5-9.5],(9.5-11.5],(5.5-6.5],(1.5-2.5],(5.5-6.5],(9.5-10.5],(2.5-4.5],(6.5-7.5],(2.5-3.5],(6.5-7.5],(2.5-3.5],(8.5-9.5],D
(4.5-inf),All,(3.5-7.5],(-inf-8.5],(2.5-5.5],(4.5-5.5],(8.5-9.5],(3.5-4.5],(5.5-6.5],(3.5-4.5],(2.5-4.5],(9.5-10.5],(5.5-6.5],(9.5-10.5],(1.5-2.5],(7.5-8.5],N
(1.5-2.5],All,(0.5-3.5],(-inf-8.5],(0.5-1.5],(7.5-8.5],(5.5-6.5],(5.5-6.5],(5.5-6.5],(5.5-6.5],(4.5-5.5],(8.5-9.5],(0.5-1.5],(6.5-7.5],(4.5-5.5],(9.5-10.5],G
(2.5-4.5],All,(3.5-7.5],(-inf-8.5],(2.5-5.5],(7.5-8.5],(7.5-8.5],(5.5-6.5],(8.5-9.5],(4.5-5.5],(5.5-6.5],(5.5-6.5],(-inf-0.5],(7.5-8.5],(7.5-inf),(6.5-7.5],S
(2.5-4.5],All,(3.5-7.5],(-inf-8.5],(2.5-5.5],(7.5-8.5],(6.5-7.5],(5.5-6.5],(5.5-6.5],(6.5-7.5],(5.5-6.5],(5.5-6.5],(1.5-2.5],(7.5-8.5],(5.5-7.5],(9.5-10.5],B
(0.5-1.5],All,(0.5-3.5],(-inf-8.5],(0.5-1.5],(7.5-8.5],(1.5-2.5],(1.5-2.5],(1.5-2.5],(7.5-8.5],(0.5-2.5],(7.5-8.5],(0.5-1.5],(5.5-6.5],(1.5-2.5],(6.5-7.5],A
(1.5-2.5],All,(3.5-7.5],(-inf-8.5],(1.5-2.5],(9.5-11.5],(5.5-6.5],(1.5-2.5],(5.5-6.5],(11.5-12.5],(2.5-4.5],(7.5-8.5],(0.5-1.5],(5.5-6.5],(0.5-1.5],(6.5-7.5],J
(4.5-inf),All,(9.5-inf),(8.5-9.5],(5.5-9.5],(12.5-inf),(1.5-2.5],(5.5-6.5],(1.5-2.5],(11.5-12.5],(0.5-2.5],(8.5-9.5],(7.5-inf),(-inf-5.5],(0.5-1.5],(7.5-8.5],M
(2.5-4.5],All,(3.5-7.5],(-inf-8.5],(2.5-5.5],(7.5-8.5],(6.5-7.5],(2.5-3.5],(7.5-8.5],(4.5-5.5],(5.5-6.5],(7.5-8.5],(1.5-2.5],(7.5-8.5],(5.5-7.5],(6.5-7.5],X
(4.5-inf),All,(3.5-7.5],(-inf-8.5],(2.5-5.5],(5.5-6.5],(6.5-7.5],(5.5-6.5],(2.5-3.5],(9.5-10.5],(6.5-7.5],(8.5-9.5],(4.5-5.5],(8.5-9.5],(4.5-5.5],(7.5-8.5],O
(2.5-4.5],All,(3.5-7.5],(-inf-8.5],(5.5-9.5],(6.5-7.5],(7.5-8.5],(5.5-6.5],(1.5-2.5],(5.5-6.5],(4.5-5.5],(10.5-11.5],(3.5-4.5],(7.5-8.5],(5.5-7.5],(7.5-8.5],G
(4.5-inf),All,(7.5-9.5],(-inf-8.5],(5.5-9.5],(6.5-7.5],(7.5-8.5],(5.5-6.5],(4.5-5.5],(6.5-7.5],(4.5-5.5],(7.5-8.5],(7.5-inf),(8.5-9.5],(7.5-inf),(5.5-6.5],M
(4.5-inf),All,(3.5-7.5],(-inf-8.5],(5.5-9.5],(5.5-6.5],(10.5-11.5],(6.5-7.5],(2.5-3.5],(6.5-7.5],(2.5-4.5],(8.5-9.5],(1.5-2.5],(6.5-7.5],(4.5-5.5],(10.5-11.5],R
(4.5-inf),All,(3.5-7.5],(-inf-8.5],(2.5-5.5],(9.5-11.5],(5.5-6.5],(2.5-3.5],(4.5-5.5],(9.5-10.5],(4.5-5.5],(6.5-7.5],(2.5-3.5],(8.5-9.5],(5.5-7.5],(8.5-9.5],F
(2.5-4.5],All,(3.5-7.5],(-inf-8.5],(1.5-2.5],(7.5-8.5],(6.5-7.5],(6.5-7.5],(4.5-5.5],(6.5-7.5],(5.5-6.5],(7.5-8.5],(1.5-2.5],(7.5-8.5],(2.5-3.5],(7.5-8.5],O
(4.5-inf),All,(3.5-7.5],(-inf-8.5],(1.5-2.5],(5.5-6.5],(7.5-8.5],(5.5-6.5],(7.5-8.5],(10.5-11.5],(6.5-7.5],(10.5-11.5],(1.5-2.5],(7.5-8.5],(4.5-5.5],(8.5-9.5],C
(4.5-inf),All,(3.5-7.5],(-inf-8.5],(2.5-5.5],(5.5-6.5],(10.5-11.5],(4.5-5.5],(5.5-6.5],(10.5-11.5],(8.5-9.5],(3.5-4.5],(2.5-3.5],(11.5-12.5],(1.5-2.5],(2.5-4.5],T
(1.5-2.5],All,(0.5-3.5],(-inf-8.5],(0.5-1.5],(9.5-11.5],(5.5-6.5],(2.5-3.5],(5.5-6.5],(11.5-12.5],(2.5-4.5],(8.5-9.5],(-inf-0.5],(6.5-7.5],(0.5-1.5],(6.5-7.5],J
(0.5-1.5],All,(0.5-3.5],(-inf-8.5],(0.5-1.5],(7.5-8.5],(7.5-8.5],(1.5-2.5],(4.5-5.5],(13.5-14.5],(4.5-5.5],(7.5-8.5],(-inf-0.5],(6.5-7.5],(-inf-0.5],(6.5-7.5],J
(2.5-4.5],All,(3.5-7.5],(-inf-8.5],(2.5-5.5],(6.5-7.5],(6.5-7.5],(5.5-6.5],(5.5-6.5],(6.5-7.5],(5.5-6.5],(7.5-8.5],(2.5-3.5],(7.5-8.5],(2.5-3.5],(7.5-8.5],H
(2.5-4.5],All,(0.5-3.5],(-inf-8.5],(1.5-2.5],(7.5-8.5],(7.5-8.5],(6.5-7.5],(4.5-5.5],(6.5-7.5],(4.5-5.5],(6.5-7.5],(1.5-2.5],(7.5-8.5],(7.5-inf),(7.5-8.5],S
(4.5-inf),All,(3.5-7.5],(-inf-8.5],(2.5-5.5],(6.5-7.5],(5.5-6.5],(8.5-9.5],(5.5-6.5],(6.5-7.5],(4.5-5.5],(8.5-9.5],(3.5-4.5],(7.5-8.5],(4.5-5.5],(4.5-5.5],O
(2.5-4.5],All,(3.5-7.5],(-inf-8.5],(1.5-2.5],(5.5-6.5],(5.5-6.5],(3.5-4.5],(3.5-4.5],(13.5-14.5],(7.5-8.5],(11.5-12.5],(0.5-1.5],(5.5-6.5],(0.5-1.5],(5.5-6.5],J
(4.5-inf),All,(3.5-7.5],(-inf-8.5],(2.5-5.5],(6.5-7.5],(7.5-8.5],(6.5-7.5],(10.5-12.5],(3.5-4.5],(6.5-7.5],(13.5-14.5],(0.5-1.5],(6.5-7.5],(3.5-4.5],(7.5-8.5],C
(4.5-inf),All,(9.5-inf),(-inf-8.5],(5.5-9.5],(2.5-3.5],(7.5-8.5],(3.5-4.5],(4.5-5.5],(9.5-10.5],(10.5-11.5],(9.5-10.5],(7.5-inf),(8.5-9.5],(4.5-5.5],(6.5-7.5],M
(4.5-inf),All,(9.5-inf),(-inf-8.5],(2.5-5.5],(8.5-9.5],(9.5-10.5],(3.5-4.5],(2.5-3.5],(4.5-5.5],(9.5-10.5],(6.5-7.5],(7.5-inf),(11.5-12.5],(1.5-2.5],(5.5-6.5],W
(4.5-inf),All,(7.5-9.5],(-inf-8.5],(5.5-9.5],(7.5-8.5],(5.5-6.5],(5.5-6.5],(6.5-7.5],(6.5-7.5],(6.5-7.5],(8.5-9.5],(5.5-6.5],(7.5-8.5],(3.5-4.5],(7.5-8.5],H
(2.5-4.5],All,(3.5-7.5],(-inf-8.5],(1.5-2.5],(5.5-6.5],(5.5-6.5],(4.5-5.5],(4.5-5.5],(5.5-6.5],(5.5-6.5],(8.5-9.5],(1.5-2.5],(7.5-8.5],(3.5-4.5],(7.5-8.5],G
(1.5-2.5],All,(0.5-3.5],(-inf-8.5],(0.5-1.5],(-inf-0.5],(-inf-1.5],(4.5-5.5],(5.5-6.5],(-inf-2.5],(-inf-0.5],(5.5-6.5],(-inf-0.5],(7.5-8.5],(-inf-0.5],(7.5-8.5],L
(0.5-1.5],All,(0.5-3.5],(-inf-8.5],(0.5-1.5],(5.5-6.5],(3.5-4.5],(0.5-1.5],(6.5-7.5],(7.5-8.5],(2.5-4.5],(9.5-10.5],(-inf-0.5],(6.5-7.5],(1.5-2.5],(8.5-9.5],L
(4.5-inf),All,(7.5-9.5],(-inf-8.5],(2.5-5.5],(2.5-3.5],(9.5-10.5],(3.5-4.5],(6.5-7.5],(11.5-12.5],(10.5-11.5],(8.5-9.5],(2.5-3.5],(6.5-7.5],(2.5-3.5],(2.5-4.5],X
(4.5-inf),All,(3.5-7.5],(-inf-8.5],(9.5-inf),(8.5-9.5],(7.5-8.5],(3.5-4.5],(3.5-4.5],(5.5-6.5],(7.5-8.5],(5.5-6.5],(5.5-6.5],(10.5-11.5],(7.5-inf),(6.5-7.5],B
(4.5-inf),All,(7.5-9.5],(-inf-8.5],(5.5-9.5],(4.5-5.5],(5.5-6.5],(2.5-3.5],(4.5-5.5],(9.5-10.5],(8.5-9.5],(8.5-9.5],(7.5-inf),(-inf-5.5],(1.5-2.5],(6.5-7.5],M
(2.5-4.5],All,(3.5-7.5],(-inf-8.5],(2.5-5.5],(5.5-6.5],(5.5-6.5],(5.5-6.5],(7.5-8.5],(5.5-6.5],(4.5-5.5],(8.5-9.5],(2.5-3.5],(9.5-10.5],(3.5-4.5],(7.5-8.5],G
