V1,V2,V3,V4,Class
2,50,12500.0,98,2
0,13,3250.0,28,2
1,16,4000.0,35,2
2,20,5000.0,45,2
1,24,6000.0,77,1
4,4,1000.0,4,1
2,7,1750.0,14,2
1,12,3000.0,35,1
2,9,2250.0,22,2
5,46,11500.0,98,2
4,23,5750.0,58,1
0,3,750.0,4,1
2,10,2500.0,28,2
1,13,3250.0,47,1
2,6,1500.0,15,2
2,5,1250.0,11,2
2,14,3500.0,48,2
2,15,3750.0,49,2
2,6,1500.0,15,2
2,3,750.0,4,2
2,3,750.0,4,2
4,11,2750.0,28,1
2,6,1500.0,16,2
2,6,1500.0,16,2
9,9,2250.0,16,1
4,14,3500.0,40,1
4,6,1500.0,14,1
4,12,3000.0,34,2
4,5,1250.0,11,2
4,8,2000.0,21,1
1,14,3500.0,58,1
4,10,2500.0,28,2
4,10,2500.0,28,2
4,9,2250.0,26,2
2,16,4000.0,64,1
2,8,2000.0,28,2
2,12,3000.0,47,2
4,6,1500.0,16,2
2,14,3500.0,57,2
4,7,1750.0,22,2
2,13,3250.0,53,2
2,5,1250.0,16,1
2,5,1250.0,16,2
2,5,1250.0,16,1
4,20,5000.0,69,2
4,9,2250.0,28,2
2,9,2250.0,36,1
2,2,500.0,2,1
2,2,500.0,2,1
2,2,500.0,2,1
2,11,2750.0,46,1
2,11,2750.0,46,2
2,6,1500.0,22,1
2,12,3000.0,52,1
4,5,1250.0,14,2
4,19,4750.0,69,2
4,8,2000.0,26,2
2,7,1750.0,28,2
2,16,4000.0,81,1
3,6,1500.0,21,1
2,7,1750.0,29,1
2,8,2000.0,35,2
2,10,2500.0,49,1
4,5,1250.0,16,2
2,3,750.0,9,2
3,16,4000.0,74,1
2,4,1000.0,14,2
0,2,500.0,4,1
4,7,1750.0,25,1
1,9,2250.0,51,1
2,4,1000.0,16,1
2,4,1000.0,16,1
4,17,4250.0,71,2
2,2,500.0,4,1
2,2,500.0,4,2
2,2,500.0,4,2
2,4,1000.0,16,2
2,2,500.0,4,1
2,2,500.0,4,1
2,2,500.0,4,1
4,6,1500.0,23,2
2,4,1000.0,16,1
2,4,1000.0,16,1
2,4,1000.0,16,1
2,6,1500.0,28,2
2,6,1500.0,28,1
4,2,500.0,4,1
4,2,500.0,4,1
4,2,500.0,4,1
2,7,1750.0,35,2
4,2,500.0,4,2
4,2,500.0,4,1
4,2,500.0,4,1
4,2,500.0,4,1
12,11,2750.0,23,1
4,7,1750.0,28,1
3,17,4250.0,86,1
4,9,2250.0,38,2
4,4,1000.0,14,2
5,7,1750.0,26,2
4,8,2000.0,34,2
2,13,3250.0,76,2
4,9,2250.0,40,1
2,5,1250.0,26,1
2,5,1250.0,26,1
6,17,4250.0,70,1
0,8,2000.0,59,1
3,5,1250.0,26,1
2,3,750.0,14,1
2,10,2500.0,64,1
4,5,1250.0,23,2
4,9,2250.0,46,1
4,5,1250.0,23,1
4,8,2000.0,40,2
2,12,3000.0,82,1
11,24,6000.0,64,1
2,7,1750.0,46,2
4,11,2750.0,61,1
1,7,1750.0,57,1
2,11,2750.0,79,2
2,3,750.0,16,2
4,5,1250.0,26,2
2,6,1500.0,41,2
2,5,1250.0,33,2
2,4,1000.0,26,1
2,5,1250.0,34,1
4,8,2000.0,46,2
2,4,1000.0,26,1
4,8,2000.0,48,2
2,2,500.0,10,2
4,5,1250.0,28,1
2,12,3000.0,95,1
2,2,500.0,10,1
4,6,1500.0,35,1
2,11,2750.0,88,1
2,3,750.0,19,1
2,5,1250.0,37,1
2,12,3000.0,98,1
9,5,1250.0,19,1
2,2,500.0,11,1
2,9,2250.0,74,1
5,14,3500.0,86,1
4,3,750.0,16,1
4,3,750.0,16,1
4,2,500.0,9,2
4,3,750.0,16,2
6,3,750.0,14,1
2,2,500.0,11,1
2,2,500.0,11,2
2,2,500.0,11,1
2,7,1750.0,58,2
4,6,1500.0,39,1
4,11,2750.0,78,1
2,1,250.0,2,2
2,1,250.0,2,1
2,1,250.0,2,1
2,1,250.0,2,1
2,1,250.0,2,1
2,1,250.0,2,1
2,1,250.0,2,1
2,1,250.0,2,1
2,1,250.0,2,1
2,1,250.0,2,1
2,1,250.0,2,2
2,1,250.0,2,2
2,1,250.0,2,2
2,1,250.0,2,1
2,1,250.0,2,1
2,1,250.0,2,1
2,1,250.0,2,1
2,1,250.0,2,1
2,1,250.0,2,1
2,1,250.0,2,1
2,1,250.0,2,1
2,1,250.0,2,1
11,10,2500.0,35,1
11,4,1000.0,16,2
4,5,1250.0,33,2
4,6,1500.0,41,2
2,3,750.0,22,1
4,4,1000.0,26,2
10,4,1000.0,16,1
2,4,1000.0,35,1
4,12,3000.0,88,1
13,8,2000.0,26,1
11,9,2250.0,33,1
4,5,1250.0,34,1
4,4,1000.0,26,1
8,15,3750.0,77,1
4,5,1250.0,35,2
4,7,1750.0,52,1
4,7,1750.0,52,1
2,4,1000.0,35,1
11,11,2750.0,42,1
2,2,500.0,14,1
2,5,1250.0,47,2
9,8,2000.0,38,2
4,6,1500.0,47,1
11,7,1750.0,29,1
9,9,2250.0,45,1
4,6,1500.0,52,1
4,7,1750.0,58,1
6,2,500.0,11,2
4,7,1750.0,58,1
11,9,2250.0,38,1
11,6,1500.0,26,1
2,2,500.0,16,1
2,7,1750.0,76,1
11,6,1500.0,27,1
11,3,750.0,14,1
4,1,250.0,4,1
4,1,250.0,4,1
4,1,250.0,4,1
4,1,250.0,4,1
4,1,250.0,4,1
4,1,250.0,4,2
4,1,250.0,4,1
4,1,250.0,4,1
4,1,250.0,4,1
4,1,250.0,4,1
4,1,250.0,4,1
4,1,250.0,4,2
4,1,250.0,4,2
4,1,250.0,4,1
4,1,250.0,4,2
4,1,250.0,4,2
4,1,250.0,4,1
4,3,750.0,24,1
4,1,250.0,4,1
4,1,250.0,4,1
4,1,250.0,4,1
4,1,250.0,4,2
4,1,250.0,4,1
10,8,2000.0,39,1
14,7,1750.0,26,1
8,10,2500.0,63,1
11,3,750.0,15,1
4,2,500.0,14,1
2,4,1000.0,43,1
8,9,2250.0,58,1
8,8,2000.0,52,2
11,22,5500.0,98,1
4,3,750.0,25,2
11,17,4250.0,79,2
9,2,500.0,11,1
4,5,1250.0,46,1
11,12,3000.0,58,1
7,12,3000.0,86,1
11,2,500.0,11,1
11,2,500.0,11,1
11,2,500.0,11,1
2,6,1500.0,75,1
11,8,2000.0,41,2
11,3,750.0,16,2
12,13,3250.0,59,1
2,3,750.0,35,1
16,8,2000.0,28,1
11,7,1750.0,37,1
4,3,750.0,28,1
12,12,3000.0,58,1
4,4,1000.0,41,1
11,14,3500.0,73,2
2,2,500.0,23,1
2,3,750.0,38,2
4,5,1250.0,58,1
4,4,1000.0,43,2
3,2,500.0,23,1
11,8,2000.0,46,1
4,7,1750.0,82,1
13,4,1000.0,21,1
16,11,2750.0,40,1
16,7,1750.0,28,1
7,2,500.0,16,1
4,5,1250.0,58,1
4,5,1250.0,58,1
4,4,1000.0,46,1
14,13,3250.0,57,1
4,3,750.0,34,1
14,18,4500.0,78,1
11,8,2000.0,48,1
14,16,4000.0,70,1
14,4,1000.0,22,2
14,5,1250.0,26,1
8,2,500.0,16,1
11,5,1250.0,33,1
11,2,500.0,14,1
4,2,500.0,23,1
9,2,500.0,16,2
