att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,att14,att15,att16,att17,att18,att19,att20,att21,att22,att23,att24,att25,att26,att27,att28,att29,att30,att31,att32,att33,att34,att35,att36,att37,att38,att39,att40,att41,att42,att43,att44,att45,att46,att47,att48,att49,att50,att51,att52,att53,att54,att55,att56,att57,att58,att59,att60,att61,att62,att63,att64,att65,att66,att67,att68,att69,att70,att71,att72,att73,att74,att75,att76,att77,att78,att79,att80,att81,att82,att83,att84,att85,att86,att87,att88,att89,att90,att91,att92,att93,att94,att95,att96,att97,att98,att99,att100,att101,att102,att103,att104,att105,att106,att107,att108,att109,att110,att111,att112,att113,att114,att115,att116,att117,att118,att119,att120,att121,att122,att123,att124,att125,att126,att127,att128,att129,att130,att131,att132,att133,att134,att135,att136,att137,att138,att139,att140,att141,att142,att143,att144,att145,att146,att147,att148,att149,att150,att151,att152,att153,att154,att155,att156,att157,att158,att159,att160,att161,att162,att163,att164,att165,att166,att167,att168,att169,att170,att171,att172,att173,att174,att175,att176,att177,att178,att179,att180,att181,att182,att183,att184,att185,att186,att187,att188,att189,att190,att191,att192,att193,att194,att195,att196,att197,att198,att199,att200,att201,att202,att203,att204,att205,att206,att207,att208,att209,att210,att211,att212,att213,att214,att215,att216,target
93.05875,132.95023,640.8457,657.0268,582.9724,650.9793,4.005937,2.0072198,2.0197253,2.008047,4.0010495,2.9961078,243.94571,373.9105,703.8205,638.082,612.11804,995.95105,0.9948947,24.995672,28.97943,11.00278,6.00443,16.986137,288.2128,469.92822,689.0322,668.9837,963.15735,728.94,31.98576,25.002592,18.976357,12.991213,17.992336,9.999305,343.9693,511.8579,752.8666,716.0676,760.09875,917.9909,27.99507,27.004839,29.003386,9.994691,17.997982,10.999422,326.81866,533.098,730.8755,775.88837,868.19525,753.87274,33.014416,29.010313,18.985338,10.997038,16.993654,10.006004,292.86536,412.95285,575.9422,801.9314,1007.1218,725.82715,32.008446,22.996933,5.994786,14.997374,17.988052,8.003771,278.79968,445.1285,807.0936,559.06976,697.10815,1066.0815,6.997691,32.99093,29.007555,8.003976,17.999884,13.998309,318.98676,311.0958,741.99603,511.99484,715.07666,909.98486,4.0021353,33.000053,22.01118,15.004303,10.993911,12.004114,361.94415,318.03735,850.9689,597.86206,691.0932,989.92065,19.992437,10.003552,22.98784,8.004895,9.99637,9.009092,369.95493,354.1357,593.0111,883.8588,946.03687,741.1559,25.996813,26.97251,15.005045,5.0027103,10.995596,8.001329,305.00986,322.95255,478.8329,748.93805,869.918,740.96893,22.996964,29.988377,1.0204927,9.003203,12.984616,13.999076,277.0497,191.17656,677.9389,695.99384,671.0425,751.031,13.009548,11.008403,14.001221,8.01186,5.006521,9.00109,288.92108,155.08627,675.9293,686.0451,716.8836,697.1166,10.997886,11.000584,14.005177,9.006603,5.9946976,14.002829,274.98126,374.8171,685.93964,615.99677,739.0467,991.8546,12.02207,25.98834,15.993984,8.997316,18.005634,8.995264,269.06122,374.857,640.91235,706.9242,962.78174,767.964,16.993599,22.014193,11.005424,6.0070744,18.99292,9.995929,424.85654,398.8602,718.81934,989.794,1165.9846,612.9463,23.002821,9.995803,13.010648,0.00704546,12.992943,9.000873,371.11783,327.25098,960.00867,706.98,575.0731,1208.0059,9.9994335,10.995451,21.007113,10.007116,12.991722,2.9961858,246.02565,373.9945,563.87756,531.7301,570.1259,661.97107,12.014951,35.00102,9.01997,12.997557,16.000618,10.998835,1
150.06932,140.01897,654.9276,673.8917,569.97455,615.99304,9.97717,4.999241,1.9896849,1.9946773,3.9965942,3.9986894,187.04457,407.09152,763.7239,605.0205,600.9666,977.09814,4.9894867,22.008043,29.016834,12.996925,5.996985,18.000444,269.09344,403.15298,688.8975,669.8543,916.05634,696.02985,26.006868,27.996904,21.00174,11.001632,18.001278,10.993412,394.8434,443.33017,768.9605,756.78766,721.09894,886.9504,33.98646,27.996063,32.989536,8.004423,15.995419,11.986598,349.68375,491.74234,748.7518,812.81116,821.2079,717.0655,36.991867,28.000284,20.98098,8.995932,16.998707,10.991478,280.10153,410.0542,617.8223,832.9809,962.1792,697.153,31.997505,25.999514,8.007969,12.999654,17.98801,10.995244,291.79053,396.08313,856.52905,597.757,690.0902,1047.0164,13.007669,30.000374,29.014614,10.000425,17.999195,16.988245,281.99316,304.03537,796.1477,507.04538,702.01385,889.1637,9.976724,30.009417,25.998087,14.993648,10.994321,12.999448,325.1864,354.80115,866.90735,608.97394,660.13684,971.11694,14.021048,8.99639,26.998924,9.995114,11.993797,6.0052567,392.90826,281.35333,604.94037,859.0184,914.8693,700.1001,31.982536,24.00204,15.0055065,5.009787,12.987509,10.996866,316.14734,260.09097,534.8358,765.99365,833.12164,720.10583,29.0029,29.001928,5.0113087,8.994753,12.989475,15.004423,339.80753,108.372444,689.99866,690.9688,654.0509,728.08215,18.979696,11.9872265,13.994775,8.004301,5.0034485,10.001042,285.88016,199.99603,679.82794,697.0899,680.0156,675.91754,14.988502,11.996689,13.997022,10.998436,6.002299,15.002115,258.19095,323.99286,741.84485,663.1069,720.08936,969.01337,17.99543,22.98723,19.999529,9.005254,17.995827,9.994402,268.0456,323.99738,672.5875,721.99426,938.15314,745.086,22.990334,24.98969,14.988173,4.0153494,17.005564,12.995392,443.92685,350.14807,730.88605,994.98615,1135.0363,570.2409,28.991264,9.013151,12.987554,2.0017304,14.989041,11.99992,385.9362,401.95874,1013.8151,735.89777,562.10583,1187.1505,15.984428,8.0090275,23.011326,10.001952,14.991561,3.9998488,209.10283,313.3178,565.8344,519.1269,517.1559,621.11334,17.997011,35.99409,9.005307,11.013366,15.9953785,11.988258,1
229.63269,371.05515,750.6608,805.6361,555.33844,540.6735,21.963274,16.948984,16.982748,5.98193,3.9966846,9.958321,131.54869,335.06015,548.51416,706.8063,526.3735,745.672,16.932518,23.99197,14.049225,12.984412,4.0088935,4.0596685,175.63986,353.41385,734.78625,643.8232,757.58734,564.4816,14.073703,18.044176,8.062749,7.0188456,10.01307,10.994752,353.2585,343.34274,726.64087,794.8819,684.31274,769.52484,20.038227,24.037945,14.072669,6.008295,12.010768,8.010272,298.16025,328.48132,706.99615,787.0832,752.77155,581.42365,15.071574,24.019222,8.039692,7.010825,11.013427,3.0354035,160.6113,300.80536,575.93634,693.2567,792.0481,497.97357,14.064993,18.040342,8.989429,9.022797,10.025056,11.0034485,156.62561,282.1875,599.4849,617.48535,511.80014,811.8499,11.014375,20.050247,14.057386,13.979326,10.03529,11.002878,138.74242,220.43634,564.34436,642.6003,481.59607,657.702,13.994359,18.043152,11.035494,11.015775,3.010507,9.006001,289.11023,293.4003,687.49615,796.12036,678.92163,759.7891,25.972256,12.990873,10.060906,6.028204,7.99771,15.963564,291.0027,253.4068,754.3243,769.0498,760.63855,686.17505,16.042746,12.034413,31.938784,12.987081,8.992848,7.01578,146.59837,226.37111,598.28235,655.9383,653.0631,503.04227,17.004242,13.093997,13.976703,10.96827,5.0310826,9.011267,343.72504,291.71094,837.42456,870.37054,483.8495,538.98956,14.990213,23.958794,13.006021,10.002065,3.0251408,8.008516,313.83963,295.9685,829.3556,882.4194,517.9444,498.9256,14.978449,25.948826,11.023798,7.0142927,3.9961476,7.0352345,208.67253,111.51676,444.76044,623.0294,555.8767,719.9883,6.0280066,15.039389,3.062755,12.986406,10.032613,4.0214663,202.35767,110.96588,574.99554,524.67084,698.2243,533.8905,9.016637,17.020418,4.016196,5.978589,11.003922,9.009827,341.8963,349.9436,818.2119,835.6016,926.93677,548.2692,17.016338,16.981188,27.940416,7.983724,9.005053,9.992832,346.013,369.97336,744.7281,861.45874,553.2084,949.8853,27.903725,19.936104,10.07762,11.991313,9.013696,9.96518,214.95891,223.48659,759.2566,764.2245,631.7208,666.66003,27.943373,16.074886,19.966885,9.001318,12.013985,9.993058,1
112.03116,153.99446,663.68463,660.2159,630.8618,677.07654,10.007815,7.983484,4.0215387,2.0042825,1.0078194,2.9981914,249.04805,326.99475,722.7588,588.9374,677.8394,993.9769,6.995923,18.996874,30.99459,10.995726,3.006344,14.998075,267.04388,401.00473,681.92633,662.0557,985.2143,750.9335,26.00755,30.985899,26.975107,11.00426,14.992872,10.009087,287.1698,431.18115,789.70874,754.8862,762.2432,886.0502,33.98688,31.00371,38.98077,10.001505,15.000449,11.001783,253.9943,434.3066,761.7118,804.9004,874.0451,772.058,38.99239,25.018616,26.987019,10.9855385,14.005281,8.017591,250.0544,334.46072,618.80566,838.9389,1033.0159,763.85516,33.983078,28.993887,13.993832,13.006424,15.005817,7.999427,261.82227,374.1609,846.004,603.9383,760.9163,1060.0435,14.986452,27.007814,32.999104,8.004766,14.9984045,12.006654,309.83377,284.15173,770.81396,499.0272,789.0459,927.9901,11.999887,28.994524,31.972767,15.003026,7.9874244,9.985297,361.06158,301.23535,845.90564,594.83386,716.9613,1008.11725,14.0106735,13.985302,32.978245,8.004907,8.995042,10.991689,365.03677,307.30026,613.81647,842.9823,997.97485,737.1498,33.967552,21.00222,16.997437,4.99777,9.999604,8.010518,301.93472,252.25282,499.89203,770.077,915.66876,786.73804,31.008493,28.003756,10.985318,9.0074,10.009541,13.995148,222.17381,158.07494,698.93494,672.9667,740.73456,779.07544,18.98334,14.993849,11.996054,8.013607,1.9996104,9.004175,258.06644,151.91852,687.17114,683.2066,758.9213,742.8458,16.98919,11.00696,11.996738,9.001714,3.008392,11.994263,268.1019,285.96393,690.88043,662.8441,806.7902,1031.8312,19.993555,20.011496,25.993036,8.997185,15.021143,6.99777,264.16818,287.979,683.7327,699.98627,1026.7,809.98236,24.96806,27.988728,20.992231,4.020349,16.006144,8.004779,370.08768,349.86246,749.81836,972.8705,1209.959,631.0101,30.974304,13.985822,11.001272,2.0104353,11.993716,7.004135,366.10727,400.0023,967.14056,731.9817,625.0031,1222.0201,15.994486,13.00353,28.974186,10.00127,11.993646,2.9927502,292.9588,291.15793,577.0145,509.1085,566.10944,608.1071,17.99461,33.008522,10.998004,11.006793,16.993193,11.001149,1
119.94927,102.16113,651.0634,696.9573,604.06256,666.9446,7.00131,5.0056086,1.012468,3.0004113,0.0134099005,4.9946775,215.04695,381.12976,721.80493,648.08875,625.05054,1025.8833,2.002582,22.001545,29.995178,11.9995575,4.0093236,18.992739,267.11203,411.03708,688.97076,651.0044,930.15717,747.04047,29.001125,28.001024,19.99912,12.000346,14.001563,10.002144,289.08835,471.41837,778.89703,764.0597,751.1354,936.07513,31.002031,29.98576,30.014336,9.00024,14.010136,12.999392,288.03433,496.1183,748.9806,801.75354,843.2048,765.82556,33.996822,30.002975,20.006996,8.003726,14.996309,11.996973,235.87614,360.49573,607.91345,804.071,974.1367,749.88416,29.01407,26.003325,7.018589,14.005108,13.993142,8.009241,234.06044,398.11157,838.95026,574.9502,705.9621,1095.9553,9.999517,29.997019,29.98189,9.002426,14.007556,16.001274,275.92657,285.99487,763.95667,494.11163,705.807,941.85223,6.9977684,30.002048,23.019758,14.003163,7.013486,14.001936,322.99524,321.0741,844.89996,637.8062,703.97015,1021.8826,17.005133,7.00241,22.006418,9.002582,10.003384,9.001738,372.886,283.08105,598.7762,873.87,940.91565,751.07635,28.994392,24.000702,15.998349,6.0034447,8.997891,8.005854,276.076,263.9971,492.93286,742.9428,852.9581,769.10223,26.003454,28.999802,2.0180674,9.991509,9.012969,13.996432,287.96014,132.19023,684.0781,727.92413,661.901,782.7584,15.992949,10.000575,12.990407,9.013655,1.0146444,9.005683,254.08206,148.01755,679.8563,725.80634,696.2296,726.9176,13.986168,9.996221,13.001671,10.002711,2.002473,15.99335,263.99615,337.82483,699.8208,645.9418,742.0757,1018.02954,15.011598,22.990358,15.023602,8.003128,14.009781,10.9968815,265.95978,336.13983,672.7603,682.8708,950.0856,793.86566,19.985592,25.00549,12.024205,3.0108724,15.00475,10.008903,417.96924,300.05853,736.95306,963.8575,1148.8936,619.04254,25.9979,6.9994903,11.98344,2.9992385,11.004027,9.004269,316.11618,367.90768,969.7814,756.8905,593.9919,1238.0853,12.992463,7.9956455,22.002079,8.998674,10.993719,4.9964867,252.89838,377.0963,563.9643,573.89557,560.952,668.08075,15.013131,35.99609,10.007981,10.000468,15.997491,13.0005865,1
112.00079,175.70287,568.0997,712.79395,564.03876,626.09863,2.0153797,5.997079,2.0007653,7.9944944,4.995759,2.0085819,209.03561,387.11826,662.92773,653.70746,601.03766,961.07697,2.994344,21.010477,29.00228,11.006829,6.9920864,16.002415,281.11066,510.59598,695.9879,724.89825,989.94,701.99915,34.003113,28.99228,19.010088,15.006178,18.992224,10.999795,347.00034,552.9502,678.28284,783.87354,788.92664,847.256,26.012629,30.992054,31.030788,9.999943,16.99422,9.999891,281.97617,589.8189,658.0868,845.8747,901.1489,723.0131,34.99404,31.002617,18.999573,11.000146,15.987809,8.999515,237.97128,448.1299,513.1135,875.81464,1031.9747,713.11316,34.008873,26.998922,6.0030656,15.002876,16.989721,9.0005455,236.0652,465.76547,758.2391,636.7708,678.2694,1027.0686,9.005517,29.006212,29.001858,8.008074,16.991259,14.998578,258.1781,277.9946,692.76,557.8302,696.04254,888.93085,5.9928894,27.003258,23.968035,14.9990225,11.989024,10.999694,325.17465,343.07297,841.97516,649.68896,694.043,967.28467,20.00406,6.006817,24.994247,9.993246,7.0027533,7.998379,357.13684,408.63202,520.06866,889.9978,955.1911,706.16016,26.013094,22.998554,14.992377,8.997082,10.001032,9.006695,260.20355,320.0386,445.96356,816.6123,874.9238,733.9054,25.005804,26.01155,3.0045738,14.987045,13.989621,14.994956,295.99548,234.01433,605.01605,737.74976,649.95984,732.20593,11.002271,10.996028,13.991025,15.982814,5.9978228,10.00977,289.90488,210.13081,625.12933,737.75024,713.941,689.9612,9.000813,11.00151,13.993702,9.003619,6.9991817,12.98552,266.09967,349.94974,660.92725,693.64154,724.1803,978.8833,13.998605,22.014019,17.9932,9.002999,18.999254,8.003795,270.0759,347.8778,571.96625,762.71277,948.01886,757.0686,16.982487,26.002491,13.020291,13.97751,19.978683,10.997278,389.91415,359.99304,644.2342,1043.6226,1171.1881,587.97864,24.979351,7.9931774,12.995526,7.9892488,10.006789,9.999757,361.96124,278.12668,935.111,770.7502,558.1511,1188.9885,8.000632,7.0143757,21.031424,9.998753,10.003151,2.017518,207.11246,360.90274,507.1302,557.83856,577.0836,577.3111,14.011462,35.000805,8.996749,16.999199,13.0043,10.00375,1
97.117645,180.83836,566.3218,726.8919,583.9837,632.97974,3.0079536,4.009219,8.989983,2.0048707,1.9977238,1.0100415,233.99562,296.14474,616.88586,661.79694,601.1173,988.13684,2.0009236,28.975233,22.022856,12.997389,2.009199,15.008981,329.9868,404.1141,676.0635,609.1139,942.12823,713.10474,32.982697,21.016193,12.032859,10.999166,12.013001,11.9971695,397.63983,434.09772,659.97076,765.7504,789.0772,911.9982,26.994287,21.019247,22.029829,11.989757,14.003849,9.000554,356.87442,457.41382,640.1325,780.0287,889.3227,731.9761,33.999466,29.009476,12.014489,12.985464,15.003731,8.004526,328.81784,406.91568,475.13885,758.04254,976.15704,702.09064,33.003822,19.01364,1.0194604,12.996905,12.01412,9.99871,326.87347,406.85114,716.16754,564.9634,648.0793,1057.947,7.986404,36.986176,22.00141,11.988369,12.009161,12.010736,332.9629,321.0259,652.9495,535.8229,634.4593,900.1951,5.009164,31.006268,15.052185,15.007771,5.0059886,10.002369,379.94012,280.13168,800.1465,687.81824,727.93195,982.0977,20.99619,15.972779,14.036944,11.994684,10.00029,7.0065303,359.88962,350.05765,540.1707,822.0078,919.16766,746.9866,25.020214,22.996748,19.977657,5.0070915,10.989522,10.005855,319.05453,356.76266,418.2329,700.9695,829.2536,713.3127,23.97638,28.010725,5.997616,5.020776,7.0041056,15.992823,294.86932,211.07622,625.19226,760.1121,606.3915,739.09937,12.007399,7.0076118,9.015565,6.0079117,3.0118697,10.992376,292.99036,160.98022,634.9793,775.76044,658.36523,671.04126,9.994232,16.981256,10.993742,10.99202,0.006704712,12.007839,312.9214,355.22104,603.11316,610.144,696.15753,966.10913,13.00062,29.972736,7.0341964,12.986445,12.009949,7.000379,318.92294,355.07767,540.264,611.1958,884.1002,742.2308,15.996313,18.028706,4.0072684,6.0120673,13.008331,11.997902,448.77274,470.65152,654.20935,902.06934,1115.1858,603.0039,24.013529,15.98476,19.988337,4.004003,12.983682,10.999981,418.81918,396.78598,881.3238,788.7671,586.07587,1193.9204,8.986081,14.984104,14.02174,13.992237,13.0022745,2.998565,218.12828,338.30865,532.9915,637.66516,634.6971,672.0483,13.023249,31.003714,17.993788,11.008081,14.004829,9.001781,1
185.82588,150.00616,588.88727,607.92737,590.99603,650.0567,2.989977,7.0003157,1.0041891,3.0053716,5.000174,2.993204,271.038,431.10684,666.1698,587.1413,634.0441,1019.0262,2.0006697,20.002367,29.969229,13.997942,6.9893475,16.995268,326.8767,423.03094,671.03156,607.95526,990.9899,730.0134,32.99657,29.988344,20.008888,12.001577,16.988499,9.997625,327.04,490.9511,698.966,679.09454,781.9351,928.9705,26.995968,30.015461,30.020016,7.0027676,13.0033245,11.00332,294.0373,525.98425,681.1485,731.1921,897.9914,748.90643,34.01003,28.012796,19.973558,8.011879,13.999962,10.007178,287.82825,422.1623,531.9149,761.2013,1036.9553,729.082,33.008404,27.995636,7.005382,12.005755,14.99588,9.99818,284.0229,420.0736,767.1636,522.1457,710.99005,1089.1067,8.008377,28.011198,29.998486,11.001513,17.000221,15.995399,273.96976,288.03754,706.062,441.01233,732.8744,930.8278,5.003261,26.010727,23.023314,17.994907,12.010628,12.003284,307.13348,382.90143,821.0159,543.0513,706.9678,1013.039,20.997246,9.011064,23.967539,10.997639,12.992927,7.005788,394.8965,336.98325,541.0728,825.0122,975.82086,742.0438,24.996428,22.0044,15.982312,6.002165,6.0082245,9.999696,327.94058,238.2493,437.08466,697.8975,900.0782,743.87476,24.005674,25.011278,2.0030775,9.999983,11.990676,14.001373,355.87988,158.14886,625.8696,645.0092,688.79443,770.01227,12.001523,15.993908,13.000866,10.999263,5.9895477,9.003877,327.83804,192.07687,629.97485,630.93854,740.8153,702.0141,10.005123,12.006025,13.00073,11.992894,7.0025153,13.990554,315.89413,335.9996,649.95905,581.03845,759.0395,997.04553,13.009325,21.001104,17.020561,10.00267,17.00455,8.994657,329.9252,340.15686,590.9632,652.06256,983.16656,772.86755,16.003986,26.99494,12.022995,9.005812,15.996942,12.002479,417.95715,330.01483,663.2093,929.0629,1197.9563,601.9715,24.011177,8.9981165,11.996592,3.0083847,8.003666,10.999267,326.0919,374.01212,920.18225,666.2142,582.866,1224.847,9.0162115,7.999389,21.99688,9.002654,10.003798,2.9984922,221.08873,347.18918,521.9327,481.0461,582.11194,661.06116,13.004501,34.004814,10.012283,14.004567,13.008417,10.997891,1
71.17497,119.05626,594.80054,699.9991,603.0148,663.79736,1.0091224,3.0108485,4.9797697,2.9962122,3.0002866,4.993024,267.8366,477.91867,657.95844,638.81116,634.0485,967.1489,6.0010777,23.996048,26.01722,13.999243,6.9958878,13.005878,330.04736,396.19763,695.0026,671.82623,1012.9964,737.99774,36.96231,26.008387,20.011595,10.021063,15.000765,8.008275,327.82037,442.52087,707.2296,766.87946,823.9339,911.0612,25.001173,26.00398,31.99937,10.992776,12.995669,12.997666,276.9835,488.59686,684.9636,810.8582,926.0023,763.13525,37.994373,28.008196,19.974709,11.995033,13.996053,5.9992266,291.00253,470.69308,529.9728,822.8747,1054.9725,728.95325,36.998905,24.01001,7.0075393,12.008075,15.011528,8.003347,290.93762,411.24472,766.93933,592.0566,705.0237,1024.9789,11.984481,32.003986,26.010096,11.003201,15.002146,12.006982,326.88867,332.73996,696.09064,514.9968,720.9596,885.08636,9.007678,33.989758,24.99741,17.991581,8.003008,8.019386,391.95,393.88226,843.0051,641.06396,731.0152,977.2081,19.009531,12.9987335,26.009224,12.990122,12.994901,8.999026,320.03323,308.1661,547.013,882.9417,979.845,759.97595,29.00374,25.988937,12.02325,6.0041475,9.999203,8.005312,297.06366,342.8487,430.97577,763.9611,899.9868,716.1282,28.004448,30.99047,4.006727,10.003133,10.008079,12.010773,237.07303,182.85823,631.98114,722.8714,675.05316,722.16394,10.004656,12.00413,12.997332,11.008473,2.0036561,7.0044436,297.09967,214.97133,650.0385,729.22003,738.9428,687.91943,8.000554,13.985087,16.990984,11.992009,5.0096087,10.012199,318.8839,394.9614,641.8492,656.9415,749.0145,963.03284,16.99742,24.987925,18.990036,11.994476,15.0103655,6.99845,310.944,394.63358,595.06055,709.82355,973.0117,761.05615,19.998064,23.002426,14.012185,8.992928,16.004854,10.002791,357.12985,398.65088,672.89795,990.9588,1195.854,635.988,27.999357,12.984737,15.980919,2.9981759,11.995977,8.998108,420.85913,396.86188,918.23883,759.7746,595.03235,1177.0962,5.0088625,11.999313,21.994772,12.993668,11.997841,1.0075283,235.94806,387.95148,540.0082,559.08856,617.935,667.00085,17.001995,35.992775,8.017322,14.001288,14.995602,8.996048,1
77.99085,125.967285,588.93036,646.93665,621.9399,653.0008,1.9931853,6.998297,0.021746064,5.003809,4.994994,3.003015,274.833,476.81012,685.86163,609.9899,648.94525,1000.0238,7.0018144,20.00515,30.993088,15.988621,6.992768,17.000225,354.85425,429.1995,676.9146,639.05945,999.9877,733.03314,37.99188,29.996487,21.008373,8.01108,18.982996,10.003236,277.36157,510.75375,709.0124,719.9484,809.0199,904.0539,26.001844,29.983217,31.006563,8.996685,16.997295,10.999277,267.91888,560.166,684.9799,767.9948,903.0143,755.9347,38.990417,31.998032,21.00448,10.003439,15.991541,9.986799,297.8779,495.75476,547.89795,791.9989,1043.9801,735.9018,38.00719,27.996035,8.001936,10.01019,16.997925,8.001199,297.75174,459.8788,785.069,554.9171,725.90967,1067.7739,12.989251,28.001099,31.002161,12.9887295,17.001633,15.988709,325.8709,329.87933,718.03503,476.0381,741.875,919.9533,9.996489,29.996714,24.014448,17.996761,12.000872,12.006866,370.9385,384.80017,841.0283,580.03253,738.00616,1000.0399,19.992558,7.0017066,25.005404,12.9877615,9.005317,8.991722,378.82285,332.97864,541.12103,865.93787,986.98267,743.01666,30.002659,21.995115,17.00391,8.00647,8.002413,8.005594,323.77747,333.8352,460.97256,728.91425,904.8456,753.0558,29.002031,28.995262,3.0092008,8.012481,13.997057,14.00134,262.0121,190.08916,625.9525,673.9996,693.87744,762.8485,10.9967575,8.005519,11.989753,9.01013,6.0011153,9.010018,270.0537,224.02937,635.9511,667.8572,745.7204,709.02844,9.001488,8.0049515,12.00307,13.987491,6.9966664,13.995692,341.94104,399.9229,679.74915,617.97375,767.70374,1003.9065,17.992056,21.011993,18.014252,11.990199,18.995762,8.989791,343.9054,398.17358,607.0703,689.16345,992.06586,780.0412,20.992561,26.999556,13.0129175,7.003407,19.982534,10.001156,372.07776,365.88907,672.9504,963.7957,1205.0099,619.01324,28.99704,9.006846,11.000364,5.0036154,9.999224,8.99558,366.0207,342.06912,947.79266,707.136,617.99664,1219.8015,4.019544,5.995214,22.992771,10.990084,10.004778,2.9956222,268.99298,385.2529,522.0137,514.19525,596.97595,644.1149,17.99254,34.00536,10.998401,12.009872,13.008292,11.000603,1
