Buying,Maint,Doors,Persons,Lug_boot,Safety,label
-0.06490254,1.4066869,-2.235798,-0.51247686,1.3340479,0.48526186,2
1.4804211,1.4354038,-0.54017586,0.23272929,1.5718637,1.4611533,2
0.38923293,0.25769606,-0.029598974,-1.9608191,1.4139748,-1.5289993,2
-1.1796474,1.6551508,-0.87069833,-1.0527732,0.9841875,-0.20034151,2
2.3072915,1.2134267,-0.86981153,-1.0376762,-0.78534406,0.0018884251,2
-0.2816045,0.26891613,-1.5040524,-1.2233588,-0.4516102,1.8992023,2
1.4211688,0.1629519,-0.9604721,-1.2162064,-0.40457112,1.938666,2
0.5689533,-1.7987231,-1.512927,-0.749928,0.9296857,1.0280448,2
0.40132168,1.6394002,-1.201474,-2.1198657,-0.05881153,-0.46935976,2
-0.54594755,0.29226732,-0.76558423,-0.15980679,2.0649853,0.9362538,2
-1.4998076,-0.3334574,0.19963393,-1.2735353,-1.0964895,-1.6901908,2
0.2987146,-0.08145395,-0.83376926,-0.6952324,1.0462451,2.1608503,2
-2.0579815,-0.19420213,0.5258253,-0.40922552,-1.0808296,0.23208977,2
-1.861568,-0.19690026,0.80068016,0.25097534,1.7334106,0.36251184,2
2.1372929,0.7288152,-0.4903643,-0.6143433,-0.2826647,0.9233954,2
1.5688218,-0.2575304,1.4634042,1.3509082,-0.95701134,0.8367749,2
2.6999671,-0.22768065,-0.2919898,-0.05162595,0.28418285,-0.08364887,2
0.16754353,-0.021092117,-1.8545364,-2.01124,0.14959447,0.11920188,2
-0.28580528,0.5784462,0.9787371,1.7270836,1.673466,1.1874412,2
-2.431165,-0.021609873,-0.062469944,0.8179846,-0.9209554,1.4206841,2
0.7268082,-1.0369713,-1.9700329,-0.15020594,1.2209413,-1.6608381,2
-1.0514953,-0.5571312,0.31346387,0.22988778,2.0203393,0.777338,2
-0.5491539,1.5963807,-1.6634747,0.86480784,0.0018559373,-1.8102643,2
0.3680052,0.46727434,-0.6204975,-0.48896676,-0.11296975,1.9565834,2
0.9729302,-0.37885687,-0.10447484,-2.0733554,-0.3756982,1.4813432,2
0.7191759,1.9313422,-0.86577916,1.8000234,-0.87013376,-0.04641679,2
-2.307508,0.30787912,1.7623415,0.8493414,-0.6007107,0.49748364,2
1.2719421,-1.8125404,-0.41064295,-1.3079399,0.7287576,0.24269138,2
-0.29357702,1.8357989,0.5633718,1.0459862,0.102722086,1.9977655,2
-0.6937583,1.05055,-1.0701257,-1.3696753,0.69236135,-1.9004874,2
-1.5158587,0.038247526,0.12959243,-1.8464152,-0.54203045,0.2910504,2
1.6652954,0.08904706,-1.5400102,-0.3504964,-1.2901666,0.87678987,2
0.6075637,1.0038925,-2.389528,-0.19609678,-0.67361146,0.22284912,2
-1.3207631,-1.3548784,-0.5919137,-1.7768663,-0.13992698,-0.9244861,2
0.17109936,2.0984807,-1.3074117,-0.863896,-1.3834481,0.09666299,2
-1.7110777,1.696977,-1.2874761,-0.8711836,0.88151026,-0.66286385,2
0.6276492,-1.7750218,-0.88274956,0.2820857,0.40950102,-0.8589383,2
-0.5306389,-0.038000613,0.08262965,1.1742586,-1.0877541,1.3736635,2
-0.7351278,-0.7418181,0.8190963,0.47170067,1.5861192,1.5845666,2
0.25926104,1.096609,-1.8746643,-0.36992154,-0.6360981,-0.18573967,2
-0.01440577,-0.15284827,0.82094026,-0.19209899,1.2255503,-0.83014977,2
1.0282633,0.80111754,-0.16896419,-1.3825203,0.8811017,-0.86871445,2
0.869611,1.551747,0.7348968,0.14308403,0.33539626,-1.4444678,2
-0.4484388,-0.7961093,2.0654347,0.0827062,-1.0891507,1.1096355,2
1.5245831,0.59269917,1.197532,-1.5529195,-0.7006657,-0.18156558,2
1.446137,-0.9927158,0.19442005,-0.84417295,0.15737437,1.1356027,2
-1.6704416,-1.78996,1.2248145,-0.8636481,0.8201421,0.25650218,2
-0.46196523,1.5450109,-1.9708188,0.0031909086,0.7396891,-0.8256039,2
1.384713,0.59642756,1.0447587,1.2435595,-0.9101726,-0.6163184,2
0.22126427,-1.4765404,0.007724883,-1.615115,0.5240105,1.0122558,2
1.1507484,-1.6521298,-0.12121698,1.1752481,0.27590644,-0.23009656,2
-0.9374529,-0.24590316,-0.29819804,1.520179,-1.9267192,0.061016917,2
1.1174005,0.54088247,-1.0949447,-0.28066844,0.9330056,2.0855393,2
-2.0048757,1.6620685,-1.1829867,-0.49396205,-0.44957066,-0.5278981,2
-0.471778,-1.2403972,-1.1260254,-1.2223529,0.65683913,0.91985244,2
-0.09226124,-0.07673408,0.8428147,-1.8236519,2.0706408,-0.30391535,2
0.76611197,-1.3912448,0.24940653,-0.24883336,-0.58203936,-2.2393017,2
-1.0916561,-0.19020683,0.014709173,-0.6711189,0.78756124,-1.3295858,2
1.1843345,1.722996,1.2194061,0.6950109,0.7515494,0.7035003,2
2.2806036,-0.13137834,0.84259826,-1.1612923,-0.52126575,-0.41896114,2
-1.0505414,-1.336059,-0.9387964,0.13520819,-1.3858427,-1.551772,2
-2.0006998,0.9670094,1.3666867,-1.4108967,-0.029405782,-0.50251985,2
-1.3581345,1.4282433,1.3579717,-1.3414983,-0.4440286,-1.2696923,2
0.45249707,1.2729636,0.37158993,-0.85312724,1.2274003,-0.7532808,2
-0.1557872,0.39507693,-0.8005388,1.7152954,1.665691,0.28137937,2
1.6164683,-0.21163502,0.64456546,-0.47398114,0.8161905,1.3590627,2
-0.48166212,-0.24481152,1.1450237,1.0134982,-1.0316205,1.2784237,2
-1.7997303,-0.22048914,-0.555891,1.5233331,-0.17264841,-0.30747226,2
1.1544148,-0.16896981,1.139688,0.028694917,-0.8305939,0.38338578,2
0.58237284,1.6511954,0.8296841,-0.7488912,0.62762046,-0.083524175,2
0.45212764,0.5481984,0.3829021,1.0979742,-2.2419274,0.052567735,2
-0.17493771,1.3987428,0.8896624,-0.97509825,0.54947406,-0.7734132,2
-0.41090664,-1.1780341,-0.80742294,1.699778,1.1999992,-0.47388056,2
-0.51298845,-0.58997583,-2.3761175,0.49831182,-1.0217159,1.2475467,2
1.2395506,-2.1852307,-0.31481448,-0.509111,-0.29852223,-0.083545774,2
-1.0393888,-1.0104259,-0.71307623,-1.4631437,-0.11527031,-0.18629597,2
-0.21103461,0.71846807,-2.3896246,0.8053596,0.18472461,-1.2946341,2
-0.15826279,-0.66292346,-2.0882647,-0.20719722,-0.99712944,0.073408365,2
2.3145554,-0.37131178,-0.20390283,-0.7065221,-0.31178457,-0.5396336,2
1.2157675,1.1002203,0.79100657,0.78204226,-2.1684208,0.7352273,2
-2.4473057,-0.26572418,1.2151008,0.31806594,-0.21184058,-1.5405203,2
0.49770403,-0.72523266,-0.6572037,-2.1377332,0.35832608,1.1901984,2
-1.2016177,-0.7546373,-1.5402694,-1.6940078,1.3457435,0.8023904,2
1.7899215,-0.039354876,-1.6719992,-0.47164416,-1.4132252,0.48620057,2
-1.1592826,0.3509251,2.1165152,-1.2407163,-0.28451064,-0.4165618,2
1.2131994,0.8251622,-0.43496808,-1.2082721,-0.9799025,1.8145646,2
0.71511936,-0.58775777,0.94637656,-1.671091,-0.37152922,1.1998947,2
1.5726206,-1.154231,2.1459703,-0.50752133,0.44350407,0.4971551,2
-0.5647133,0.81010306,1.4508836,-1.7051239,-1.13729,1.4949262,2
-0.12391536,0.041992173,2.8456283,-0.7887808,0.1504562,0.21145351,2
1.801405,-0.3836403,-0.5510712,0.35318062,-1.4655333,-0.004689752,2
2.142933,1.6380359,-1.147351,0.0197392,0.7357636,-0.15200464,2
-0.80821085,-0.07370962,0.60356414,0.78077745,-2.1854022,-0.5220017,2
-0.7624596,0.36470386,-0.61420614,-1.5441097,-0.6444264,0.028285936,2
-1.288565,0.5957089,-1.3602967,1.287763,-1.4880152,0.13147171,2
0.53151226,1.2175657,0.62128687,-1.1181483,0.90560675,-0.76525587,2
0.802016,-0.5077799,1.229715,-1.3157066,0.25651398,1.2538631,2
-1.6871738,1.9784647,0.5155685,0.7317597,-1.2052342,0.13735934,2
1.3734372,0.7679484,0.47792304,0.8136886,-1.8101318,-1.3589385,2
0.6410401,1.7422621,0.9920559,0.52299064,-0.41654825,-1.5440509,2
-1.8599815,1.2861757,1.4505107,-0.07458627,-0.40753365,1.4969401,2
0.0293303,-1.895114,0.95814884,-0.2674003,0.03802227,-1.9201376,2
-0.8716835,-0.8935273,-1.3428218,0.34125498,-0.23953587,0.6869868,2
0.0018808115,0.24472404,-1.9951885,-1.614367,-0.7126916,0.30697402,2
0.024331318,0.19786629,2.6612344,0.041079696,1.3160766,-0.115410134,2
1.3965278,1.146284,-1.266948,-0.93889046,0.7656402,-0.9954847,2
-1.1729801,-1.2793325,0.87763643,0.5475069,1.6665287,1.5093606,2
-0.3661085,1.2499592,-1.5076882,-1.4513834,0.13109145,-1.5360544,2
1.1876259,1.0269996,-0.7874291,1.0571362,1.5381222,-1.6918831,2
-0.4257711,0.7540036,-0.6567359,-1.3275796,0.6977321,2.436328,2
-0.48307565,-1.6435213,-1.0029267,-1.7146815,1.416065,-0.5845413,2
-0.4891542,0.2934824,-0.4662033,-0.6774488,-1.011943,1.8866186,2
