fLength,fWidth,fSize,fConc,fConc1,fAsym,fM3Long,fM3Trans,fAlpha,fDist,label
0.17631958,0.17497316,-1.9169167,-0.021391777,0.5600002,0.46090454,0.7559139,0.11428616,0.7718639,0.23165335,0
0.28918153,0.8461618,-0.33422017,0.22890498,1.6476547,1.1194097,1.4806262,0.19301245,-1.7236775,-0.7037548,0
-0.16420484,-1.2074325,-0.63779765,-0.26385373,-1.0860218,-0.38379562,-1.0999088,-0.19274557,-0.7045742,0.90198684,0
-0.47842726,-0.13675761,1.4514097,-0.689524,-1.1050757,-0.7375329,-0.10585552,-0.60778594,0.31802166,-1.2780997,0
-1.143991,1.0533563,-0.011977766,1.2805035,0.4741034,-0.50301945,-1.0039186,-1.3010073,0.37520367,-1.0522735,0
-0.21274684,0.2857872,0.6007617,-0.3752108,0.16435513,-0.5027583,-1.5400527,-0.63458025,-1.7996023,-0.42859387,0
0.017139746,0.37841994,0.098179944,0.39289588,0.9723843,1.398895,0.1534777,-1.076167,2.3431814,0.53416944,0
-1.1401211,0.089827314,0.65839183,-1.3232769,-1.2629387,-0.0810782,-0.035497867,-0.3387511,1.3347908,0.2929631,0
1.2442528,-1.4020531,-0.3600628,0.032048777,0.99773884,0.81544614,-0.24134514,-1.2938492,0.11136073,-0.20217979,0
-0.99273753,-0.47095305,0.296652,0.21541333,-0.33783883,-0.06297765,-0.92317563,-0.788945,1.499346,0.5120953,0
0.29104662,-0.78191406,-0.35035,1.4572561,0.91787994,0.07364233,-1.5379606,-0.4407564,-0.040073078,-1.005888,0
-0.12852475,0.43912062,0.5773359,0.64748734,-0.91649467,-0.7068395,0.49324894,0.96012837,-0.56537646,1.5102553,0
-1.380546,0.7004356,0.14531797,0.6584298,1.5850828,-1.1891096,0.28978682,1.4512761,1.4655706,1.89078,0
0.8280569,1.0190624,0.61075085,0.7942836,0.891536,0.83620566,-1.0642909,-2.3941915,0.023887541,0.46057147,0
-1.4747621,1.8960241,0.6554143,0.4360384,0.11544488,-0.047205098,0.31860733,-0.7873891,-1.6369256,-1.5306611,0
1.283192,-0.70112896,-2.0714982,-0.3528159,1.3476776,0.99744904,0.8729939,-1.8492448,-0.9150459,-0.1442089,0
-0.1304632,-0.82608306,-0.042626403,1.8874485,-0.15579681,-0.25839323,0.022481235,-1.1378547,0.20169814,0.40462345,0
-0.1553606,0.9191395,-1.1246221,0.9694348,-0.5008741,-1.0360496,0.38837948,2.152447,0.43923128,1.8653755,0
0.2971021,0.8943766,1.0990282,0.7030576,-0.15622939,-0.9382223,1.3650919,-0.4523975,-0.9275955,0.46251148,0
-1.5179527,0.27693668,0.67572737,-0.6767552,0.96378046,0.5018106,-0.30273247,0.45881742,-0.9309396,0.39114228,0
-0.27184463,0.8173454,-1.977707,0.32276866,-2.244534,-0.9386505,0.8690241,1.3539174,-0.36684334,0.4281119,0
-0.060682707,-1.8880315,0.046056617,-0.5351517,-0.3743059,-0.21381824,-2.6641543,0.4253768,0.38721386,-0.18372937,0
-0.6371221,1.9913905,0.53720456,0.08937104,-0.3047316,2.4818144,-0.32624763,0.15243669,0.8219859,1.3422267,0
-0.16244324,-1.4287078,0.4861303,-1.451318,-0.93644786,0.64339095,-0.3728997,-0.15299779,0.73672557,1.1385874,0
-0.1561491,2.125811,-1.5704801,0.5036335,-0.8922014,-0.4896487,0.6089343,-1.1547636,-0.10910416,-0.30332917,0
-0.15262373,-0.91503185,-0.074975885,-0.098892614,1.6491392,-0.84338355,-0.37524733,0.35076228,-1.4923805,2.5358734,0
0.67255956,-1.043646,1.197905,-0.829728,0.062297273,-0.92848396,1.1752459,-1.3554938,0.5327056,0.44756925,0
0.16643839,-0.21993607,1.7174349,-1.4686652,-0.8082784,0.6544096,-0.13255069,-0.13525115,-1.8752003,-0.071692154,0
1.2637581,1.2152855,0.62838775,0.0013103038,-0.7386807,-1.4275168,0.034408644,0.32226703,-0.5745446,0.93438077,0
-1.0320716,-0.5142852,-0.37552384,-1.2038754,-0.92415494,1.2799735,0.1920721,-0.93333316,-0.29545113,0.01388078,0
1.444486,0.25486514,-0.25194165,-0.18361701,0.93024766,-0.6372973,0.8994103,-1.0562896,0.8425148,-0.895288,0
-1.891495,-0.88062066,0.54365164,-0.6763544,-0.3182559,0.75049806,-0.30925092,0.9053899,-0.5545453,-0.8318735,0
-0.98958707,0.26709092,-0.8250268,0.71061987,0.37833762,-0.8509252,2.0403154,-0.16629052,0.13150123,0.13170649,0
1.1052924,1.1749094,-0.82171506,0.10486764,0.4532894,-0.17602515,0.72107905,0.0039973054,0.9242466,-0.07788595,0
0.3039156,-0.9580884,0.5106773,-0.5535507,-0.3506055,0.10206645,-0.881848,-0.8258276,0.77056515,0.20064506,0
-0.38082504,-0.95308536,-1.7134417,-1.1530896,0.98975146,0.1370344,-0.15193585,0.329479,-0.972541,-1.4943947,0
0.57751155,1.5177451,-0.62988764,2.388366,0.23697676,0.067267574,-0.42299348,-0.8190086,-0.4210692,-2.0144515,0
-1.8387969,-1.2679582,-0.6147546,0.0055136345,0.140456,1.2858067,-0.37274966,-0.41090024,-0.12964076,-1.3384106,0
1.5014089,-0.12820908,1.0950365,-1.2885482,-1.8296458,0.2783606,1.5048778,0.5654233,0.2219007,-2.235985,0
-0.09871978,-1.0618665,0.367205,0.08387967,0.14880767,-0.8090893,-1.0881273,-0.7325796,0.93250835,-0.10412944,0
-2.178418,1.4476919,-0.2161704,-1.1189198,-0.5182651,-0.5052038,0.110208556,1.0131953,0.78020644,-0.27756703,0
0.35116285,0.6556324,-1.6172109,0.80174625,-0.4221632,-1.3864162,-0.2953654,-0.80496204,0.99974287,-0.28304633,0
-1.4738368,-0.39253134,-0.7908287,-0.4992644,0.8548321,-0.13659737,-0.31281286,-1.9557902,0.5769793,0.93683475,0
0.58910257,-0.42268,0.4541076,0.9132488,-1.4936601,0.08298445,-1.7023836,-1.6919223,-0.35174656,-0.87897813,0
0.122587055,-0.4474549,0.5744202,-0.25206026,0.53023684,-0.078080595,1.9411228,-0.15652007,2.1895118,1.3161175,0
-0.24015047,0.5581385,-0.67284995,0.33980775,-1.0262632,-0.2261401,-1.2298534,-0.7095054,-0.49118453,2.839199,0
-1.0288086,0.312089,0.9624554,-0.56591713,-0.8478604,0.4791324,-1.2028123,-1.5007659,-1.2735941,-0.21830587,0
-1.7186432,-0.21253079,-0.015271269,0.5889843,-0.7884704,-1.0847609,1.0512218,-0.2996746,0.023327727,-0.6843945,0
1.1615386,1.580125,-0.23952675,2.04481,-0.29142946,0.6546116,-0.9186772,1.2591656,0.20886162,-0.3299285,0
-0.05222418,-0.5137409,0.012009352,-1.0571628,-0.27451974,-0.30878174,-1.5442458,0.53725797,-1.5192065,0.61771363,0
0.94759756,-0.14032528,1.1390483,-0.33248878,0.5124862,-0.3067891,-1.6005024,-0.6746216,-0.07125697,1.0141242,0
-0.55943084,1.4476874,0.038969327,0.5622212,-0.043322034,-0.84233934,0.45188394,1.926801,-0.32969767,-0.34573984,0
-0.7634183,0.67223036,-0.30604666,-0.6480614,0.94322884,-1.7735847,0.044196602,1.225028,0.13554753,0.4195611,0
-1.1666418,-0.6082586,-1.0298005,1.5177236,0.54232323,0.8440742,-1.5068244,-0.52018636,1.2250402,0.09490542,0
-0.2019864,1.0188212,-0.5239237,-0.63628,0.25437087,0.54399174,-0.5312192,0.89477104,0.6544702,-0.5965584,0
-0.41784963,-0.71045923,1.5579572,0.32147273,0.6733314,0.40193886,0.2621477,-0.34620354,-0.09533859,0.5952411,0
-0.7461604,0.69682884,-0.8257696,-0.12265582,-0.18175225,0.7251706,-0.076474704,1.3992201,-0.82625103,0.31592056,0
0.76427567,0.68962675,-0.26966104,-0.11624365,0.7522897,-0.40980548,-0.7066531,0.066770196,-1.0489154,0.8685123,0
-0.70241773,-0.65495485,-0.8939967,1.997907,1.1649574,0.34174645,0.28981817,-0.05214535,-0.7398524,-0.81793123,0
-0.7225087,1.5565246,1.285271,1.0774646,-0.5185019,0.2035951,0.13937402,-0.4852131,-0.09988397,0.63092923,0
1.1110547,-0.20919031,-0.23347896,-0.2743927,0.39564925,-0.3066504,0.44634303,-0.06104175,-0.035165794,-0.287195,0
-0.8611816,-0.59720236,-0.22334692,-1.0601205,0.6316366,0.831214,-0.47552854,1.6495775,-0.28434974,-1.079799,0
0.6965499,-1.6929169,-0.8369848,0.53147036,0.68233746,-1.4033926,0.14057517,0.84461796,-1.1346473,1.444516,0
-1.7046691,0.44316974,-1.5518343,0.24558814,-0.66750723,0.474312,-1.1741561,0.5235454,0.51744497,-0.080487646,0
-0.93642884,-0.6792151,0.354534,0.117651254,-0.50156826,-0.8844585,-0.96588373,0.45655185,-0.78601444,-0.009959921,0
-2.0479283,0.17800114,-1.2398884,-0.598041,-0.9220706,0.85510045,-0.76655906,-0.840268,-0.2258412,0.8922302,0
-0.35696205,-1.1045952,-0.10294967,-0.9184604,1.5053632,1.0670253,-0.23245934,0.25861815,-0.27666155,0.46240976,0
-0.5608443,-0.5859237,0.56762815,-0.4122843,-0.37136048,0.6258734,-1.7109219,0.5157165,-0.88818806,1.5749451,0
0.5226698,-0.2803956,1.1491834,0.25206617,0.5959144,-1.3025035,1.4109688,0.77946407,-0.8305008,-0.21958427,0
0.21316595,0.29759145,1.0293617,1.2457582,0.9196684,0.84493685,-0.19191092,-0.7055884,-1.1747015,-1.9382985,0
0.41064027,-0.7262981,1.0692339,1.2891679,0.16242981,-0.32739878,-0.35630932,-1.1536672,-0.41210547,0.88172483,0
-0.011420755,0.5119117,1.4670049,0.7489316,-0.7911948,-1.1910332,0.057739936,-0.2830001,0.07775761,1.0955981,0
0.4409608,1.0499256,1.4853051,-1.0279493,0.114247024,-0.19282256,-0.017765462,-0.621693,-0.7020654,1.5373379,0
1.3454537,-0.6306927,0.6224033,-0.42131594,1.4103826,0.43796206,0.59158736,0.43895105,1.114589,-1.3833864,0
-1.4409523,-0.07193645,0.8021468,-0.83473593,1.8186367,-0.15653881,-0.07827174,-0.015103761,1.2096664,0.63061064,0
-0.5922683,-0.88337225,1.6779524,-0.21663825,-0.38893843,0.2430197,0.11301492,0.70716614,-0.7803385,0.8282064,0
-1.1206833,-0.68530095,-0.07150718,0.4377272,-0.19280674,-0.20739238,-1.0492822,-0.82365507,1.0475479,-0.35821036,0
0.7189887,-0.43117294,0.043983072,-0.508006,0.84357804,1.4218277,-0.9249913,-2.134711,2.2309566,-1.4884144,0
-0.31843162,-0.20598653,0.61301374,-0.9086406,-0.5490767,0.11242271,1.6279683,-0.31904906,-0.4266346,-0.26990888,0
0.38401732,0.7380611,0.13427,-0.7601631,0.1035669,-0.4451751,0.49023646,0.15725972,0.54873943,1.1561774,0
1.2788329,0.5800546,-0.30335414,1.7324802,-0.62285763,-0.2789213,1.00837,1.2926669,0.252782,0.09218994,0
-0.33726567,0.11295908,-0.17065191,0.58745754,-0.57543415,-2.1784422,0.16202393,-1.4259174,0.59094596,-0.088618204,0
1.7216673,-0.021641424,0.5267056,-0.5530561,-1.1307316,0.23155572,2.5148342,-0.3925008,0.82646495,-0.27495837,0
