 parents,has_nurs,form,children,housing,finance,social,health,label
1.8785031,0.64066315,0.9818002,0.48013362,-1.1526208,0.1891067,0.15507987,0.35198027,2
1.0024985,0.19503903,1.1957982,1.2232989,-0.77461183,1.0889009,-0.4083721,-0.3999862,1
1.0645877,-0.75549114,-1.5610623,1.0580097,0.22963977,0.24831165,-2.1737692,-0.86108816,0
0.9360621,1.1830466,0.073550805,-0.027528318,-0.828064,0.82047397,0.4556978,1.6057274,2
1.4073068,-0.16518122,0.0018381104,1.3704618,-0.4188355,-0.97848696,1.5282075,-1.0858066,1
2.0593002,1.7395542,0.1702965,0.3609275,0.9423718,0.41464424,-1.7869481,-0.22868428,0
1.39967,0.41341513,-0.7901612,0.7078367,0.5909764,-1.2137733,0.55709827,1.0590287,1
0.987331,-0.88691187,0.6584496,0.4265473,1.0369604,0.07333599,0.23963687,-1.2390128,1
0.34712666,0.25589705,1.2020174,-1.0760955,0.17222714,-1.706721,-1.0495089,-0.11554016,0
-0.1269436,2.0878139,0.17939249,1.4966822,0.18530965,0.504274,-0.7762966,0.579448,4
-1.543048,0.027954794,-0.60840166,-1.5910383,-0.58470654,0.21408622,0.83870625,0.8338663,1
-0.24922906,-0.83008283,0.16487919,-1.4892426,0.120123975,0.1870526,0.017815046,0.16653965,0
-0.36102426,0.6344897,-0.0769759,-1.5827088,-0.20324549,-0.12335964,0.8954651,-0.70638144,4
-0.37535095,0.64182615,-1.8534299,0.19734876,-0.20186692,-1.203735,-1.8316176,0.1971678,1
1.1413974,0.21093816,0.6414338,1.1479607,1.2090518,0.4518018,0.76028436,-1.1978279,0
0.39334965,-1.1672034,-0.20549987,-1.9689945,-0.3230207,0.5646635,0.22289607,0.7325527,1
1.7134558,-0.6747744,0.5838932,1.0188563,-0.2680506,0.46506646,-0.55646956,1.6295819,1
1.7086636,0.0631542,-0.19837986,-0.28402835,0.20038667,0.70072806,-0.5270543,-0.47039247,0
2.1049638,0.17049956,0.9499114,0.6267506,-0.7696473,0.80179745,-0.39886913,0.66337323,4
0.4066456,-0.032752417,-0.68542886,0.5905271,0.33457157,-0.017040705,-0.2558337,-1.6785972,1
-0.6582338,0.27282777,-0.6592891,-0.19070485,-0.7790454,0.44015768,-0.0068405718,-0.4318561,0
