col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,label
-2.189241,0.35904297,0.99363005,0.001506269,0.5567015,-0.63006705,0.75533825,2.593967,0.081329666,0.45799923,9
-1.2266828,-1.1931584,0.08652967,1.2095646,1.1288257,-0.53765404,-1.1929083,-0.80413604,-1.93467,0.5800736,9
0.751988,0.7345711,1.6840705,-1.4304322,0.9956502,-0.5728306,1.534397,-0.45323032,0.9970634,-0.9343975,9
0.94338626,-0.9069488,-0.73803234,0.7652822,2.507328,-0.11406396,-0.2703087,-0.9187066,-0.7579969,-0.1838384,9
-0.92497504,-0.03929714,-0.485863,-0.988234,0.2847258,1.3599912,0.6832262,0.19399157,-0.9785075,-1.4273325,9
0.54609877,-0.40936887,0.2638479,1.683824,-1.9029524,0.11368189,0.17450231,-0.43412107,-1.0795282,-0.48621345,8
-0.08071427,-0.60790765,0.94605255,1.6626915,0.28662074,-0.84697324,-2.711597,2.34999,-1.2664781,1.7673616,8
0.7409974,0.3542792,-0.14810015,0.25721788,1.7991513,-0.3878999,0.084216364,0.45605922,-0.50943863,-0.09053808,8
0.317001,0.15086544,-0.7837386,-0.73074126,0.27216542,-1.0157962,-1.3554386,0.6307571,0.5076984,1.2610725,8
-0.83565193,0.456156,-0.8800145,-0.44249016,0.60580546,-1.3367033,1.3546028,1.2925116,-0.06795326,-2.0813673,8
-0.15120906,-0.29712063,-1.2633495,1.0356998,1.3685625,-1.3849726,-0.8797888,-0.1940547,0.24048021,-1.3769544,1
1.1025131,-0.5883428,-0.6512125,1.1345218,-0.10456854,-0.8921655,-0.7955895,-0.7183194,-0.11899338,1.0611265,0
0.7706809,2.2013538,-0.7419003,-0.48333913,0.6262201,-0.26599196,-0.75346494,-1.0430921,-0.67421067,1.0475057,0
-0.7029038,-1.1256052,1.0634103,0.09502045,0.29239,-0.50189096,0.26350686,1.3822643,-1.1482719,-0.3648419,0
0.23341621,-0.8507186,-0.6471374,1.0127469,0.05559451,0.21428692,1.1925191,0.49186164,-0.551178,-0.72476333,1
