class,region-centroid-col,region-centroid-row,region-pixel-count,short-line-density-5,short-line-density-2,vedge-mean,vedge-sd,hedge-mean,hedge-sd,intensity-mean,rawred-mean,rawblue-mean,rawgreen-mean,exred-mean,exblue-mean,exgreen-mean,value-mean,saturatoin-mean,label
-1.014032,-0.30565858,0.14555293,1.5302539,0.05920971,0.10996574,0.19616729,0.51208633,-0.08725453,-0.12560046,-0.06541079,-0.27135086,-0.17800626,1.5580035,-0.6987271,-0.53934675,-0.30846226,-0.4069,0.5175681,5
0.9092322,-0.4359034,-0.053560883,-0.3919145,0.028713197,2.2288039,0.2665055,-0.7209674,-0.3479654,-0.24282883,-0.31120524,-0.106554046,-0.34778163,-0.022080615,0.30351508,-0.33940125,-0.32068154,-0.19183081,-0.3440612,2
1.0212768,0.17017028,-0.056909196,-0.10084361,0.3100677,0.8098665,0.014533125,-0.0059449747,-0.055010237,-0.695639,-0.6806219,-0.51860225,-0.60456467,-0.13499081,0.10603662,0.17574668,-0.46729025,0.91732454,-0.5974113,1
-1.8281276,-1.5824908,-0.037173558,0.24624498,-0.38061,-0.3030907,-0.06731282,-0.07322794,-0.08254408,-0.03782491,0.016128805,0.073291734,-0.024214346,0.56993395,0.15472645,-0.83864075,0.1116969,-0.041298267,-0.18052807,5
1.8216456,0.6959759,-0.023608664,-0.2877798,-0.105651304,0.6528428,-0.21548936,0.47332332,0.33159098,0.1818028,0.30129412,-0.013225463,0.122548155,0.67472816,-0.28009918,-0.3092835,0.079190865,-1.0730717,-0.46875906,5
-0.27834725,0.82676053,-0.024278147,-0.11183582,-0.21621865,-0.23127714,0.05165515,0.6392598,0.51549345,0.015561879,-0.00050214306,0.20958146,-0.09694446,-0.50505155,1.0559309,-0.99117166,0.115294665,-0.2859357,-0.72155935,5
-0.48837662,0.17321154,-0.101257935,0.23741014,-0.21215251,0.30127674,-0.13177302,-0.1831646,0.22216207,0.22452958,0.42697814,0.40123227,0.19074956,0.058265936,0.7534882,-1.3613924,0.4815329,-0.3684837,-0.56787854,6
1.0435333,-0.7844361,-0.080274455,-0.30659586,0.0903838,0.44261312,0.33935612,-1.0420316,-0.46232927,-0.29850087,-0.3083444,-0.0067984937,-0.40223888,-0.55864424,0.70292735,-0.5697697,-0.16858861,0.2534163,-0.5136297,0
-0.8486377,-0.98692816,0.02770821,0.07872926,0.011076391,0.20388612,-0.34898934,1.5257999,-0.015762158,1.4790077,1.5831566,1.176888,1.4482774,0.039904702,0.22998407,-0.69732666,1.3934698,-1.4976685,-0.72219485,2
1.8168641,-0.015239276,-0.10449174,1.0001872,-0.10167682,3.7217944,0.47236133,3.3955617,0.23531619,-0.012473498,0.22149268,-0.029541522,0.170154,-0.4522148,0.2929708,0.0060306266,0.25501046,-0.083800286,-0.30164474,0
2.1805546,1.2015091,-0.011305172,-0.3640766,-0.18959409,1.8549731,0.305407,1.30071,0.72425103,-0.20169468,-0.1959095,-0.29335588,-0.23784187,0.19572115,0.18346035,-0.089194484,-0.19030282,-0.12747939,-0.40846807,3
1.0264933,1.2887688,0.005169254,-0.121647194,-0.01753997,-0.2730715,0.24198556,1.48051,0.47484103,0.05014928,0.13628326,-0.021073222,-0.13106039,0.60295427,0.28425735,-0.8608799,-0.06294605,-0.63734794,-0.23395303,4
-0.06307371,0.8380201,-0.10351932,0.21964996,0.037249755,-0.44914937,-0.14702281,2.1847084,0.88343376,0.1813406,0.25628582,0.24281953,-0.018417034,0.15389402,0.5261694,-0.89291227,0.19473907,-0.988377,-0.661526,4
-0.5765678,-1.2761021,0.20884049,1.7447332,2.8984659,0.4199074,0.70728177,-0.5239002,-0.12353582,-0.4428043,-0.35442224,-0.4985594,-0.6468454,1.4512508,-0.44860843,-0.5991265,-0.53360075,0.6335629,0.15300426,5
-0.47595292,-0.71118736,0.049390204,1.8717037,-0.08818279,0.28076935,0.15506461,-0.8266195,-0.61671823,0.12049253,0.0154959895,0.16711372,0.051971518,0.54024154,-0.28140697,-0.10178888,0.045719434,-1.0913297,0.11053371,6
-0.4877329,0.042446196,-0.015376605,0.3232172,0.20349698,-0.85204864,-0.34992337,-0.408332,-0.12199218,0.07923852,0.08111963,0.29322523,0.102153264,-0.78947544,1.0872105,-0.9523111,0.2940533,-0.55442655,-0.6044716,4
0.2937234,0.79243684,0.0067560486,0.05335045,-0.28526205,0.058566157,0.09344084,0.7032462,-0.07434238,-0.50031334,-0.3799657,-0.6006651,-0.5602378,1.0554057,-0.7781807,0.22200397,-0.6482195,0.21347135,0.6787148,0
-0.21302083,0.74494725,0.045335107,-0.2762136,-0.23824847,0.63102335,0.23693669,-0.96476555,-0.3368501,0.25273016,0.099722415,0.49888405,0.2779341,-1.4423342,1.1871465,-0.5290426,0.4098012,-0.24457447,-0.6641783,5
