A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,class
b,'(-inf-38.96]','(-inf-4.2075]',u,g,w,v,'(1.02-inf)',t,t,'(0.5-2.5]',f,g,'(105-inf)','(-inf-492]',y
a,'(38.96-inf)','(4.2075-inf)',u,g,q,h,'(1.02-inf)',t,t,'(2.5-inf)',f,g,'(-inf-105]','(492-inf)',y
a,'(-inf-38.96]','(-inf-4.2075]',u,g,q,h,'(1.02-inf)',t,f,'(-inf-0.5]',f,g,'(105-inf)','(492-inf)',y
b,'(-inf-38.96]','(-inf-4.2075]',u,g,w,v,'(1.02-inf)',t,t,'(2.5-inf)',t,g,'(-inf-105]','(-inf-492]',y
b,'(-inf-38.96]','(4.2075-inf)',u,g,w,v,'(1.02-inf)',t,f,'(-inf-0.5]',f,s,'(105-inf)','(-inf-492]',y
b,'(-inf-38.96]','(-inf-4.2075]',u,g,m,v,'(1.02-inf)',t,f,'(-inf-0.5]',t,g,'(105-inf)','(-inf-492]',y
b,'(-inf-38.96]','(-inf-4.2075]',u,g,r,h,'(1.02-inf)',t,f,'(-inf-0.5]',t,g,'(105-inf)','(492-inf)',y
a,'(-inf-38.96]','(4.2075-inf)',u,g,cc,v,'(-inf-1.02]',t,f,'(-inf-0.5]',f,g,'(-inf-105]','(492-inf)',y
b,'(38.96-inf)','(-inf-4.2075]',y,p,k,h,'(1.02-inf)',t,f,'(-inf-0.5]',f,g,'(105-inf)','(-inf-492]',y
b,'(38.96-inf)','(4.2075-inf)',y,p,w,v,'(1.02-inf)',t,f,'(-inf-0.5]',t,g,'(-inf-105]','(492-inf)',y
b,'(-inf-38.96]','(-inf-4.2075]',u,g,c,h,'(1.02-inf)',f,f,'(-inf-0.5]',t,g,'(105-inf)','(-inf-492]',y
b,'(-inf-38.96]','(-inf-4.2075]',u,g,c,h,'(1.02-inf)',t,f,'(-inf-0.5]',f,g,'(105-inf)','(-inf-492]',y
a,'(-inf-38.96]','(4.2075-inf)',u,g,k,v,'(-inf-1.02]',t,f,'(-inf-0.5]',t,g,'(-inf-105]','(-inf-492]',y
b,'(38.96-inf)','(4.2075-inf)',u,g,k,v,'(-inf-1.02]',f,f,'(-inf-0.5]',f,g,'(-inf-105]','(492-inf)',y
