parents_great_pret,parents_pretentious,parents_usual,has_nurs_critical,has_nurs_improper,has_nurs_less_proper,has_nurs_proper,has_nurs_very_crit,form_complete,form_completed,form_foster,form_incomplete,children_1,children_2,children_3,children_more,housing_convenient,housing_critical,housing_less_conv,finance_convenient,finance_inconv,social_nonprob,social_problematic,social_slightly_prob,health_not_recom,health_priority,health_recommended,class
0.08186508,-0.01063715,0.94346136,-0.07005513,-0.15645245,0.20112437,0.9878721,0.07509024,0.07205902,0.16214795,0.7981452,-0.14346479,0.9995288,-0.01063223,0.059914544,0.026000103,-0.082987934,-0.02462556,0.99962854,0.95119953,0.08858757,0.23015223,-0.2661483,0.9990632,0.06808721,0.98741716,0.12265901,3
0.07354528,-0.003099126,0.9345087,-0.057629608,-0.13199475,0.18867916,0.98533297,0.06464094,0.06466617,0.16452803,0.7854229,-0.13797231,0.99936736,-0.010244473,0.058715705,0.027634222,-0.06962158,-0.028383937,0.9994647,0.9437788,0.09417147,0.22500385,-0.25281483,0.9986834,0.07331847,0.9842615,0.11839374,1
0.087613955,-0.0025777386,0.95150346,-0.090499595,-0.15883106,0.20564887,0.9909626,0.07555685,0.059350543,0.17542143,0.8160007,-0.15200618,0.99969804,-0.011333241,0.05731937,0.026866037,-0.09367395,-0.02718712,0.99976623,0.96101075,0.04578826,0.2307079,-0.26638213,0.99939424,0.06712837,0.9901511,0.14077316,1
0.08182053,-0.0031380998,0.95414245,-0.09381779,-0.14662397,0.20516853,0.9906721,0.07363368,0.059488453,0.16931579,0.8203417,-0.15560237,0.9996999,-0.009917169,0.05928894,0.02525757,-0.09084742,-0.024875745,0.99976444,0.9599098,0.053197037,0.23857145,-0.27253696,0.9994023,0.06688022,0.9901447,0.13405539,1
0.09285086,-0.0015822487,0.95952004,-0.102105975,-0.16354096,0.20337369,0.9926534,0.08583737,0.06276377,0.16612163,0.83192396,-0.15636986,0.9997955,-0.0144984955,0.070699185,0.026774958,-0.08930414,-0.024956824,0.9998381,0.9662,0.063637435,0.25861952,-0.27718323,0.99955785,0.076678395,0.992105,0.13174602,3
0.07363744,-0.009328124,0.9303042,-0.04190931,-0.14313455,0.1868966,0.98335934,0.063784294,0.07120453,0.15322837,0.7844844,-0.1339894,0.99922806,-0.010364113,0.05726378,0.026663233,-0.06807081,-0.028058277,0.9993384,0.9379259,0.10765522,0.22348295,-0.2539729,0.99841696,0.07155469,0.9823186,0.10988702,0
0.086442776,-0.018423894,0.9545221,-0.093504794,-0.15642206,0.2015294,0.99108565,0.084381744,0.051767427,0.16463009,0.8204213,-0.14807883,0.99971753,-0.010952679,0.056801952,0.030915992,-0.095522515,-0.030210344,0.9997817,0.96076465,0.03835417,0.24634457,-0.26473722,0.9994149,0.06638759,0.9904573,0.12014786,1
0.08070064,-0.0055456487,0.9396833,-0.06001879,-0.1419953,0.19318897,0.986421,0.070313565,0.058128495,0.16573994,0.79924184,-0.14881335,0.9994745,-0.011352222,0.05827083,0.029512644,-0.07393236,-0.024264043,0.999572,0.9466785,0.0858156,0.22227046,-0.25935745,0.9989294,0.07235977,0.9858993,0.11496254,1
0.083219394,-0.007596935,0.9411022,-0.059037786,-0.14607519,0.19476347,0.98696566,0.0669617,0.06386009,0.16377534,0.8010726,-0.13901517,0.99948275,-0.012788317,0.059832778,0.02787036,-0.078688376,-0.02622797,0.9995718,0.94827884,0.08855575,0.23038422,-0.2578328,0.9989506,0.07361647,0.9864711,0.117142424,1
0.09681167,-0.0077286316,0.95760936,-0.09983092,-0.15272938,0.20209606,0.99180454,0.078646496,0.056120113,0.17187671,0.82926744,-0.16430174,0.9997576,-0.012530636,0.057644643,0.02891265,-0.10007217,-0.02459964,0.9998157,0.9634319,0.032854144,0.23343599,-0.27426976,0.9995248,0.05966361,0.9914559,0.13224885,3
0.0878901,-0.005215955,0.953987,-0.0946854,-0.14927295,0.20865189,0.9909669,0.070972905,0.061173875,0.17657177,0.81442386,-0.15186188,0.99971753,-0.009962747,0.057223547,0.026303157,-0.08948623,-0.025981627,0.99978495,0.9608278,0.04611206,0.24192429,-0.26921344,0.9994293,0.07611807,0.99057007,0.12926398,0
0.0891015,-0.005917875,0.95356065,-0.0915285,-0.1538386,0.20154671,0.99050385,0.07797271,0.050761197,0.17220332,0.8220018,-0.14567493,0.99968743,-0.0070383465,0.05862621,0.025729297,-0.08277197,-0.029632749,0.99975187,0.95905596,0.052316956,0.23556606,-0.26940337,0.9993817,0.0718324,0.9899861,0.13080078,1
0.08886561,-0.006257855,0.9515591,-0.089909084,-0.15911728,0.2052883,0.9903671,0.075968206,0.05777899,0.16966555,0.81811714,-0.15381855,0.999684,-0.009046263,0.05350071,0.027489504,-0.089613795,-0.025188757,0.99976164,0.9582789,0.037990518,0.22600408,-0.26833957,0.9993766,0.06026257,0.98981076,0.13458128,0
0.09228296,-0.005445471,0.94720507,-0.07266734,-0.14854446,0.19627824,0.9885235,0.07325806,0.06225344,0.16726829,0.80843353,-0.14712992,0.9995851,-0.007719695,0.059578184,0.025407009,-0.08784415,-0.019804772,0.9996731,0.9529601,0.087426245,0.22869962,-0.26529217,0.99920154,0.073330045,0.98828274,0.12820648,0
0.086599424,-0.0069570313,0.94713897,-0.07768512,-0.14295216,0.20278667,0.98965985,0.0626012,0.06417674,0.17145824,0.80605525,-0.14896703,0.9996317,-0.011876006,0.058159824,0.023982022,-0.09155721,-0.024880728,0.9997159,0.95629036,0.07472608,0.23587202,-0.26652673,0.9992516,0.073674105,0.9887357,0.121759385,1
0.07875245,-0.0067996453,0.9428455,-0.06407813,-0.15016189,0.19794294,0.9873492,0.06862746,0.058375277,0.16796653,0.80275124,-0.14073755,0.99950624,-0.01245004,0.05581545,0.0262717,-0.0769984,-0.028858045,0.9995949,0.9491867,0.082133316,0.22896335,-0.26013267,0.9989974,0.07366064,0.98636657,0.11797589,1
0.080129065,-0.009761984,0.93394125,-0.04843207,-0.14339715,0.19209102,0.9853967,0.054638665,0.055553403,0.17321967,0.7895014,-0.13542451,0.999336,-0.011017059,0.053532265,0.027008353,-0.0749537,-0.027934501,0.999469,0.9437927,0.07976045,0.21792962,-0.25504583,0.99871653,0.07325926,0.98398775,0.11790653,3
