Feature_0,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27,Feature_28,Feature_29
-0.75106615,0.38515854,-0.90906316,-0.4335324,0.5375357,0.14095931,-0.2696373,-0.690712,-0.12564717,0.037141845,0.6002461,0.20314935,0.10184844,-0.5455151,0.101792455,-0.1826278,0.24631228,-0.814522,0.8648469,-0.15399466,0.34741026,0.27907518,0.10280029,-0.07239819,0.7987887,-0.12676819,0.33121228,0.10844286,-0.69853127,-0.49559894
-0.6691143,0.6610933,-0.03558,-0.37888983,0.34917355,-0.074753284,0.6621666,-0.36894467,-0.29560235,-0.40182784,0.50024056,0.1434217,-0.013287168,-0.29262128,0.09988274,0.35748258,0.4589969,-0.85866934,-0.004454152,-0.5595501,0.46966538,0.4013391,-0.33284715,-0.22957613,0.17162491,-0.3371013,0.43566662,0.5173569,-0.546922,0.019020878
-0.7724126,0.8218601,0.01796498,0.7739638,0.1239204,0.5288457,0.81414884,-0.9056926,0.7691986,-0.6529474,0.41601864,0.11599557,0.2949721,-0.15846522,-0.29387861,0.6349909,0.7173926,-0.70134234,0.596169,-0.6556882,0.4856823,0.65418506,-0.41313708,-0.4755046,0.265325,0.15118732,0.27148175,-0.046376552,-0.8906984,-0.052613165
-0.49932584,0.5051413,0.23487408,-0.41232485,0.7421987,0.5211469,0.6021275,-0.40107659,0.45017222,-0.0048751268,-0.129086,-0.04449819,-0.15259072,-0.6767663,-0.27468663,-0.1069819,0.659158,-0.6440062,0.17975092,-0.0039565065,-0.18655972,-0.29491338,-0.03513347,0.081253864,-0.23854597,0.17757237,0.3133451,-0.07556228,-0.4574748,0.37001258
-0.4455458,0.45315534,-0.5057973,-0.26918238,0.6889815,0.39070988,0.4246719,-0.40385592,0.5033036,0.45477763,-0.30080745,0.47362617,-0.4301289,-0.7826359,0.03108672,0.47391912,0.55276453,-0.2315057,0.14508428,0.11071766,0.026376294,0.346839,-0.49003446,-0.5064346,0.2690971,-0.7208168,0.3427143,0.13816781,-0.6714301,0.19139107
-0.3483854,0.38738096,-0.16282728,-0.31830975,0.58999276,0.29164934,-0.031436097,-0.7891296,0.77536595,-0.22474295,0.12410693,-0.24243319,0.38345793,0.33509877,0.27685353,-0.090193644,0.33574328,-0.18269727,-0.47026563,-0.31564975,0.42956334,0.19571474,-0.3264644,-0.104793794,-0.753104,0.3737999,0.77030843,-0.0780253,-0.44826043,0.3817576
-0.538252,0.19432065,-0.16894276,0.49016014,0.490751,0.5409529,0.61819845,0.7619348,0.17205672,0.10027974,-0.09695335,-0.51578325,-0.04113341,-0.5716021,-0.3449755,-0.37287956,0.7165257,-0.70126617,0.3352868,-0.2520306,0.3666691,-0.36375502,0.055283915,0.62237215,0.22385317,0.078949235,-0.118503734,0.42523327,-0.91398895,0.5541635
-0.1552342,-0.14862737,-0.19023333,0.3540681,0.73483646,0.5793829,0.52966607,-0.6093869,0.40379396,0.031991705,-0.1048002,-0.17097591,-0.17935148,0.12577967,-0.0019899607,0.14794005,0.61902046,-0.6337897,0.18972412,-0.24026111,0.14209545,0.03731675,-0.26883215,-0.15056923,0.31076223,-0.011074334,0.36528525,-0.07239499,-0.6447277,0.18503536
-0.31110758,-0.45280272,0.11367931,-0.18441764,0.60750645,-0.13647707,0.15062436,-0.26201585,-0.33471918,0.36007738,0.69051915,0.20452185,-0.3696238,-0.46614933,0.037322056,0.51603204,-0.01606423,-0.8442852,0.32222375,-0.2874137,0.17355025,0.08133667,0.42953,0.28460398,0.5214477,-0.46539715,0.6912529,0.27213183,-0.76499844,-0.28579354
-0.6174829,0.27403444,-0.21580829,0.107841626,0.20372024,0.54337096,0.30562896,0.0134515865,0.6671962,0.05570429,0.19240585,0.2251814,-0.47095227,-0.22713692,-0.31453565,0.235916,0.05495275,-0.8736193,0.20507619,-0.37670723,0.5844463,-0.18177271,0.038097214,-0.5021707,0.02707194,-0.057970043,0.49897248,-0.16886431,-0.61859524,0.35006577
-0.6472107,0.38591194,-0.63068545,0.108962744,0.31699064,0.79981804,0.19640456,-0.5191652,0.12551047,-0.24428204,-0.06446956,0.19805121,-0.41940907,-0.22714265,-0.4712169,-0.12459044,0.14833006,-0.646813,0.57367563,-0.30857638,0.48988688,-0.11731819,-0.18482567,-0.5892056,0.020899344,-0.23651572,0.49870726,0.20544732,-0.67286277,0.63734037
-0.71423215,-0.09769056,-0.4292931,-0.05174459,0.5699414,0.7576987,0.6775172,-0.8756467,0.6395535,0.83488965,0.74073744,-0.8116074,-0.72019815,-0.21438937,-0.71701366,0.27775523,0.42965654,-0.917218,0.54511815,0.29481876,0.12488567,0.02362162,-0.4622079,0.09328645,0.50563955,0.39737323,0.38139036,-0.43602106,-0.59593266,0.8071893
-0.5463645,0.6122179,0.3969472,-0.39029348,0.6761053,-0.1674714,0.2270442,-0.2881061,-0.7632574,-0.15366964,-0.18947208,-0.15759566,0.3467544,-0.4028894,0.12057492,-0.24131688,0.15268718,-0.61355615,0.20212641,-0.1924699,-0.3729296,0.6582262,0.41364446,0.57485807,-0.24543737,-0.021470783,0.5840479,0.6678046,-0.9448894,0.60785604
-0.30572534,0.56706566,-0.31971288,0.5837405,0.61534226,0.9306947,-0.28025928,-0.7866594,-0.1774256,-0.055550776,-0.11763469,0.38515577,-0.5470867,0.41011545,0.4382567,-0.44489554,0.049987555,-0.901842,0.2734888,-0.14329769,0.6807859,0.25912777,-0.6763948,0.057926998,-0.34897375,0.79757345,0.35380477,0.44262552,-0.53889465,0.092210755
-0.77308804,0.6637222,0.008621937,-0.5350653,0.5685733,0.40615717,0.26538715,-0.57449913,-0.2936883,-0.29785964,0.6653066,0.27212542,-0.25411847,-0.5493744,-0.13216682,-0.016452428,0.24099796,-0.43190166,-0.22358607,-0.51122373,0.25102526,-0.19183712,-0.2987368,0.2767579,-0.06166658,0.4238683,0.7324041,0.31801632,-0.6201532,0.70628047
-0.6542776,-0.24137971,0.08733154,0.12999493,0.35889944,0.077919975,0.40415975,-0.33194187,0.6381607,0.030949447,-0.121543445,-0.08725146,-0.21160427,-0.030119307,-0.16020751,-0.12410932,0.54039747,-0.700278,0.3789259,-0.4673388,0.35505766,-0.2280844,-0.1362733,0.14768632,-0.18380627,0.020829443,0.4561652,0.26348418,-0.8113017,0.28329137
