Feature_0,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27,Feature_28,Feature_29
0.0113983825,0.6358318,0.41837835,0.38768727,0.27811286,0.625502,-0.09339095,-0.053832572,-0.045003887,-0.52959263,0.29106453,0.24510878,-0.12874287,0.36292142,-0.050375413,0.022602849,-0.6587872,-0.12921897,-0.008158523,-0.43209672,-0.49571005,0.5488215,-0.084585704,0.35242125,0.6298411,0.720023,0.14942318,0.5539454,-0.64810497,-0.09742563
-0.81253797,0.5711816,-0.31475234,0.06470387,-0.059857365,-0.081173874,0.3240147,-0.2735107,-0.30912212,-0.15965337,0.72255003,0.025313564,-0.72306234,0.52038753,-0.18311773,-0.65320075,0.06387353,0.80255675,-0.32359147,0.23997164,0.35386303,-0.10984534,0.03798514,0.41474608,0.4319861,0.2004852,-0.046344552,-0.25471556,-0.44583645,-0.25696057
0.5222183,0.4594687,-0.2800746,0.18687053,0.07853345,0.2409687,0.37897867,0.18567497,0.3069421,0.027259948,0.3080405,-0.18732738,0.2664817,0.16409802,0.31349394,-0.29703847,-0.019251905,-0.25675517,0.46004233,-0.85435694,-0.21303208,0.4290998,0.7725832,0.27099967,-0.006159445,0.33183438,-0.30275223,0.11421434,-0.24043049,0.12846257
0.45533654,-0.2396234,-0.7930733,0.66238517,0.40570113,-0.54228544,-0.15671279,-0.18404327,0.060394313,-0.23075983,-0.07788039,-0.0766062,-0.2976518,0.58630085,0.30108133,0.101896375,-0.010637003,0.6224638,0.4015171,-0.28972304,-0.47990975,0.51626384,-0.43692815,-0.59429,0.26333654,0.3126906,-0.11511194,0.54682463,-0.4043195,-0.81783015
0.74511594,0.49565533,-0.27634922,0.74810153,0.6741076,0.4747149,0.16006097,-0.63021827,-0.20050418,-0.8658882,0.52360934,0.13356967,-0.61509645,0.32363728,0.5340833,0.11167111,-0.3005536,0.6395736,0.5252939,-0.7856678,0.2326899,0.6058649,-0.45085454,-0.16661437,0.7301203,-0.3327922,-0.7323329,-0.30439165,-0.75384146,0.24437198
-0.0010311588,0.4960061,-0.44886523,0.5659748,0.07607195,-0.14952789,-0.51629263,-0.28022525,-0.042420667,-0.66898656,-0.3593125,-0.39141652,0.021492343,0.9563247,0.14709549,-0.7368025,0.3173158,0.8439094,0.15002948,-0.627971,-0.48747692,0.52661407,-0.38560376,0.10740228,0.144803,0.49266472,-0.22244224,0.2935359,-0.8286676,-0.570624
0.11304631,0.3718059,-0.42031506,0.44238108,-0.3579719,0.22802804,0.46006417,-0.38954002,-0.22796664,-0.33944166,0.37517622,-0.47469082,-0.59568775,0.71665245,0.5583894,-0.32789922,-0.006478532,0.9008972,0.10374467,0.051284574,-0.074974395,-0.54563206,-0.0252668,-0.105172046,0.2968196,0.27228177,-0.16562597,0.027092949,0.23942517,-0.3194716
0.45788217,0.60175824,-0.52865964,-0.23724842,-0.11109504,0.8192043,-0.093856566,-0.36490133,0.5787504,-0.24303766,0.45563474,-0.1694894,-0.41069964,0.7570382,-0.55506796,-0.69118994,-0.10644219,0.74263316,0.35850614,0.3869765,0.30724645,-0.36738238,0.29492822,0.42643407,0.37848118,0.4670393,0.50013584,0.6824683,-0.45239487,-0.24936575
-0.004003715,-0.34688213,-0.20219736,0.269288,-0.15556501,0.11840238,-0.18724048,-0.3294062,-0.37791052,0.25456047,0.4218139,0.21382737,0.113107696,0.19664846,-0.5356225,-0.2226717,-0.5383196,0.19383553,0.35463685,-0.13573506,-0.22766137,-0.092231266,0.3227481,0.42551982,0.4863863,0.29930714,-0.60071194,-0.074531935,-0.5974186,-0.06897213
-0.441685,0.44543442,-0.7000478,0.13090196,0.80811584,0.34755483,0.52121216,0.23230833,0.4590867,-0.55404353,0.74789953,-0.18437283,-0.038595866,0.4264343,0.38291755,0.3734656,-0.55923873,0.61277485,0.01903986,-0.48176923,-0.21034858,-0.3506636,-0.45612565,0.051359095,-0.11731643,0.20766185,0.30496636,-0.124054104,-0.49360478,0.059597835
