,Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount
Time,1.0,-0.024552429335723082,0.028357676880158948,0.10571187655196569,0.10049171121690476,-0.08778889536045327,-0.10591138801163186,0.09219828643332789,0.030933368531038518,-0.11313968279818433,-0.07916523835353606,0.13820654110622618,0.10747081714448592,-0.16467484159243878,-0.13803706906794502,-0.024781786554337867,0.06602367587604596,-0.06392242388642577,-0.1728100016664579,-0.0029368447098186336,-0.014445834205390792,0.13358311292982436,-0.007864891022767048,0.00020007273483954295,-0.02232305451581832,0.054695006438258004,0.15407796862713685,-0.010315853177716015,-0.14544610232265842,-0.24574486014139812
V1,-0.024552429335723082,1.0,-0.0081156668504381,-0.11828339711842602,-0.15260322675323312,-0.1403438078809135,-0.11060132397759997,-0.12160475843481826,0.0017563352899463852,0.09020101241998042,0.0015636788508212765,-0.08581111764832458,0.0641958593918102,0.03247996012419828,0.05831645169638689,0.1953831692740385,-0.06543943125310593,-0.04403656251146971,0.0707165359773672,0.01254481931759361,-0.06636569430301285,-0.2230507355089396,-0.08900724878727001,0.1198456156218621,0.06863009694359366,-0.15245870802647477,0.1913219966064173,0.011749297865763212,-0.0537353482470708,-0.21109376802060273
V2,0.028357676880158948,-0.0081156668504381,1.0,-0.06262688924354819,0.1807188216641599,0.017215693774170395,0.1628771134655694,-0.19976632800318833,-0.19068076321780247,0.13378746330712743,0.09984983089288564,0.23440525481090704,-0.027398054927295797,0.13547648289409098,0.2284549023767559,-0.1507553677622025,0.13443986524617277,0.04410078388506239,0.0045222264456420995,-0.12057402337157008,0.05927475443731357,0.044091161874047005,0.09031726331033571,-0.11915295077267325,-0.01557340585155925,0.05126841452948847,0.0978698810767137,0.03371748717355675,0.2176439775972834,-0.019169086563343356
V3,0.10571187655196569,-0.11828339711842602,-0.06262688924354819,1.0,0.04448950479394971,-0.10210402503060989,0.005310099915553956,0.3018681302856086,-0.012272857971753936,-0.030569296979511117,0.023894684805516268,-0.0745485585299661,-0.11197701112170352,-0.07855517062993313,-0.22310953950656215,-0.030443318143014247,0.027041579332784556,0.051361623473496605,-0.01387098306760501,0.18479249133392986,0.29558320579027725,0.08334178482175442,0.13998428298630666,-0.10036558297788598,0.2761303353780199,-0.021130356114825305,-0.0406981225955868,0.05951451899325818,-0.06382573044880356,-0.11900357904542305
V4,0.10049171121690476,-0.15260322675323312,0.1807188216641599,0.04448950479394971,1.0,0.043199203841330205,-0.09669885814525767,0.026484846474786713,-0.17040707428870197,-0.1373632177732777,0.325095659446367,0.010768761709661295,0.04389142311953629,-0.09783115747372939,0.22754886965504859,-0.09248164800490649,0.02360983170081723,-0.021439116596241415,-0.36233735002767437,0.15725178319285504,0.01170866322420148,-0.03865849311763333,-0.02805688122375134,0.010464918118559527,-0.06308253654206811,0.12716749323541127,0.06298002623100622,0.022001218633575736,0.1726799972868659,-0.05701881383554418
V5,-0.08778889536045327,-0.1403438078809135,0.017215693774170395,-0.10210402503060989,0.043199203841330205,1.0,-0.13839506048558803,0.0349726608301821,0.03838085328933823,-0.16236180952762572,0.11140391700147195,-0.15550499006707463,-0.051985777798689466,0.08431401594218504,0.24558207372704247,0.09387166368665784,0.022738758502633898,0.141291031526759,0.07206433245667586,0.03458123775335325,-0.1231369524068924,-0.01303105335084684,0.13540053527561996,-0.02283988653435875,0.06616344057026696,-0.11514397109673534,-0.09500131405310258,0.10725498813998108,-0.17401659716803272,0.04897806944403639
V6,-0.10591138801163186,-0.11060132397759997,0.1628771134655694,0.005310099915553956,-0.09669885814525767,-0.13839506048558803,1.0,-0.15925476960324894,-0.2833782937759637,0.027222601692555286,0.04458749664463236,0.15679041649377526,0.02354065805400769,-0.20976941801318427,-0.042709303751219924,-0.10695306163569747,0.035788658652416205,-0.21986742504269235,0.0051238561405400045,0.15227687493978742,0.1028093256751687,0.02042310591435481,0.08196919399866928,-0.23080936047663453,0.0612120271460596,0.006694052276314336,0.09428568679991962,-0.2219715240923641,0.0464331985739358,0.15990624800079187
V7,0.09219828643332789,-0.12160475843481826,-0.19976632800318833,0.3018681302856086,0.026484846474786713,0.0349726608301821,-0.15925476960324894,1.0,0.24778030851621602,-0.09912930262353284,0.063962456931115,-0.056543020144831035,-0.30787356395986376,0.10411623903250977,-0.19324769169349035,0.10577476381949606,-0.12260762326254024,0.03348526625761321,-0.09218726356785782,-0.058204694202266455,0.07162256617005937,-0.006332224417131534,0.23286905575419378,-0.014006256717711784,0.0025119017995902724,-0.004528652733107752,0.004319986415777773,0.2813918415908666,-0.20905504253581655,-0.17763852510877415
V8,0.030933368531038518,0.0017563352899463852,-0.19068076321780247,-0.012272857971753936,-0.17040707428870197,0.03838085328933823,-0.2833782937759637,0.24778030851621602,1.0,0.12284390664155534,0.05811049831127018,-0.020832609953652468,-0.2983815420698308,0.1283022731420911,-0.21839552741910953,0.051277638034138276,0.12134187458153972,0.18237449621403698,0.1739904794913713,-0.03563303226156542,-0.04310192873930073,0.08464144678460321,0.08419021661400514,0.07877132114515989,0.24106610962766736,-0.1797977372337115,-0.20844873700473707,0.186115920700497,-0.03260553790294794,-0.06672463871205116
V9,-0.11313968279818433,0.09020101241998042,0.13378746330712743,-0.030569296979511117,-0.1373632177732777,-0.16236180952762572,0.027222601692555286,-0.09912930262353284,0.12284390664155534,1.0,-0.17314710619608628,-0.20733396862659748,-0.28779232791021,0.04727219563108009,-0.18422248754362555,-0.08189694448007376,-0.04979685709924467,0.1099139116712259,0.14102034043767345,-0.139471914107813,0.09955862864687494,0.03585377865020575,-0.0007486214254706338,0.01132816791111066,0.13419194515017083,-0.20315783038413973,-0.11103940795150216,0.24591113469477133,0.2650228710386779,0.03833831932821579
