,Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount
Time,1.0,-0.13665513545383023,0.2614500572026101,-0.005023698890691345,-0.03921162739555696,0.0859048626400021,-0.07883100489199887,0.0294330793230028,-0.14627730294735672,-0.07794356391275344,0.08346201071906263,-0.04905108521192112,-0.08700770423934556,-0.018794560911972426,-0.06073543832361651,-0.06149001376019399,0.23580737942550772,-0.049734404898343784,-0.04536834924173002,-0.06703300712257805,0.06884745668884537,-0.016379561755440517,0.12631734201817177,0.0014210211988987024,0.06257870322288553,0.06680836952621703,-0.016336949292085956,-0.050993667540047145,-0.03916161765696363,-0.06310696247726368
V1,-0.13665513545383023,1.0,-0.15721016782276068,-0.28431500467772186,0.10236047005397483,-0.3022189354111056,-0.02396368278868255,0.08521350169840256,0.022197627140380257,-0.4012249283389884,-0.07863500153659815,0.017244668533361932,0.05604030274082755,-0.05148003794871274,0.0531763306268719,0.1115397045266755,0.0502478672471104,-0.17877599824953502,-0.09760393079581657,-0.07507339297507254,-0.10165016600317997,0.04412543133978608,0.24459687132392838,-0.21328703524081982,-0.09907215060798143,0.245860632280142,-0.3552412679129197,-0.0027739023073786464,-0.14521037372718668,-0.08149070180747588
V2,0.2614500572026101,-0.15721016782276068,1.0,0.11406572620154384,-0.06999043664014969,-0.043370054871590374,-0.060086607698451006,0.029630004782632936,0.0692253828755099,-0.1637781725407295,0.272336592487922,-0.15925789595282128,0.0423976973909987,-0.0016761979075315754,-0.09939679694884879,-0.14698116547190593,0.30061827022109705,-0.1492052661616536,0.08947147967737372,-0.08184574348812465,-0.07485116744902001,0.03480281383143882,0.23462618302925448,-0.0031252012624695814,-0.06073229783872492,0.12687084265896276,-0.03397391569243195,0.1093853897684956,0.09969647721721109,-0.1554049265724982
V3,-0.005023698890691345,-0.28431500467772186,0.11406572620154384,1.0,-0.12366885086763689,0.12019658988796361,-0.015875360652826107,-0.12577615854430155,-0.10839473187638328,0.25805456359146745,-0.08402002790131052,-0.028546256033859352,-0.1331522877469487,0.1522079155965185,-0.015431649205637584,-0.23495261645138943,0.07014257117396715,0.06006904590042489,0.15978908299785843,-0.08655081421324903,-0.008893396409668578,-0.08101452557862958,-0.3586900228636982,0.310161636077483,0.08698213926474993,-0.2304000425558034,0.3935201466322358,0.08506261461271823,0.060828786812017026,0.08606398046471145
V4,-0.03921162739555696,0.10236047005397483,-0.06999043664014969,-0.12366885086763689,1.0,-0.028253083857208153,-0.15421991565827523,0.06969685093231112,-0.09178922812541987,-0.100436455904257,-0.29255237700357445,0.0004942084896351382,0.0420666792451032,-0.023525149512117722,-0.06055839796801101,0.042190456466592745,-0.09111845691822665,0.044651985271413105,0.10240020496082411,0.06203838161619403,0.10955153443614862,0.03037949483766115,0.12046636572516305,-0.13175566727505028,-0.22565038442588092,0.02645056128717338,-0.10694981415261523,-0.0986597791215865,0.04520879727448579,-0.26710420179955185
V5,0.0859048626400021,-0.3022189354111056,-0.043370054871590374,0.12019658988796361,-0.028253083857208153,1.0,-0.0767299235057279,0.052799673406638624,-0.12307503242582403,0.23599878504470354,0.019585300206999834,-0.07595370793421119,0.014508309214124649,-0.1697589853127606,0.10294327778826774,0.12347271751294059,0.018427335393202002,0.19916808083914025,0.18363555367155482,0.03716724305455996,0.42847518807270835,-0.06849846622891638,-0.12497645109183146,-0.1411019646951148,0.12802987948209518,-0.036267879043784784,0.3103492791530194,-0.0030106869964279144,-0.12620583896448032,0.09965491806478614
V6,-0.07883100489199887,-0.02396368278868255,-0.060086607698451006,-0.015875360652826107,-0.15421991565827523,-0.0767299235057279,1.0,0.12910770323477677,0.012378107105339048,0.2845810676919861,0.11634467007318117,0.017176981403777453,-0.08235037047731397,0.05671655399731416,-0.1260683729097068,0.03935500116676599,0.1935650666771978,-0.2212228368996935,-0.04285014258309858,-0.2750734131346038,0.039406615420316427,-0.12772712158868868,-0.07858963036890447,-0.1331576461471347,0.07250238945512706,-0.12060858288287993,-0.0634389200837179,0.04758663781338513,0.1826552025830585,0.3330996823852918
V7,0.0294330793230028,0.08521350169840256,0.029630004782632936,-0.12577615854430155,0.06969685093231112,0.052799673406638624,0.12910770323477677,1.0,0.03847918544445346,-0.0010679281794466753,0.16433291376390308,-0.0851138628831552,-0.06364872703791284,0.07724002169894521,-0.1567544493520501,0.09090430577794767,-0.030599631786816628,-0.007361121839785625,-0.10078379062803117,-0.16139843976781457,0.024870787820472213,0.08660215040036326,-0.02272496223594068,-0.19043382542397533,-0.10442387902882602,0.007141648261307706,-0.07515466454520911,-0.15460205305989957,0.12202806740101652,-0.1522276643795744
V8,-0.14627730294735672,0.022197627140380257,0.0692253828755099,-0.10839473187638328,-0.09178922812541987,-0.12307503242582403,0.012378107105339048,0.03847918544445346,1.0,0.007679531235153774,0.05991524246270895,-0.06571102989757716,0.16270672445001202,0.06099423532319149,-0.07710609319349053,0.0708098219378058,-0.046897864452428016,-0.20202817524330383,-0.019892164335000958,0.1117917322734888,-0.20739125181694065,-0.08405707787300813,0.03881378953827057,-0.21756328032935074,0.02958457909566697,0.19157354978931002,-0.17461413829063918,0.15091900388222035,0.08955671022601952,0.1969379412517095
V9,-0.07794356391275344,-0.4012249283389884,-0.1637781725407295,0.25805456359146745,-0.100436455904257,0.23599878504470354,0.2845810676919861,-0.0010679281794466753,0.007679531235153774,1.0,-0.00018279248906583135,0.1199658722356301,-0.11026584056894004,0.24379089865830206,-0.09207495699721933,-0.06252604977195093,-0.10621820993163157,0.019081139433528415,0.015186049286810787,0.08694261652002601,0.12424912964785907,0.09847510571201816,-0.39671041910410126,0.13452200752620772,0.055684717213925414,-0.2618032032191951,0.10771370266795831,-0.005499012757510839,0.1789131857454075,0.3252826203573074
