Feature_0,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27,Feature_28,Feature_29
0.113092564,0.026413126,-0.35900715,-0.26490256,0.11399642,-0.65634596,-0.09840105,0.095776044,0.03331805,-0.0036544432,-0.15980637,-0.19105062,0.03926024,0.34393442,0.29168916,0.062186208,0.27753264,0.37988576,-0.16050959,0.117029965,-0.80117446,0.18482353,-0.47223106,0.05373686,-0.29079896,0.5814422,-0.23600288,0.6231031,0.45685726,-0.0905643
-0.7933225,-0.08551943,-0.23066132,-0.09379777,0.19448526,-0.7092322,-0.57080984,0.03903471,-0.74022657,-0.45790827,-0.56719697,-0.023156358,-0.42706814,-0.077576764,-0.15524046,-0.31390947,0.66463697,-0.26026112,-0.27715257,0.13941796,-0.6088326,0.77155906,-0.8032447,0.61626107,0.16226453,-0.34568095,-0.50683147,0.111552514,0.59599596,0.32552797
0.29483026,-0.3447235,0.17638296,-0.25702265,0.22553597,-0.19023073,0.38383323,-0.1488048,-0.2661303,0.103470996,-0.22609533,0.27540037,0.21560374,-0.1579298,0.40478575,0.31248835,0.3258516,-0.6792698,0.46375582,-0.3547785,-0.08331038,0.137856,-0.3664024,0.3069678,0.48805207,-0.68583256,0.16873303,-0.8475197,-0.31493205,-0.17058699
-0.016794432,-0.091081604,-0.8816749,0.25287598,-0.24770917,-0.17057036,-0.10079168,0.17827898,-0.31529096,-0.8720921,-0.8502147,0.1347643,0.046781804,0.12247385,-0.29730806,0.57787836,0.47017708,0.303365,0.66455823,0.6431827,-0.34258363,0.35332593,-0.3208996,-0.383245,0.24124086,0.36680138,-0.56331587,-0.54683673,0.14747684,-0.5452729
-0.06856728,-0.6761834,0.1505136,-0.2752537,0.3194475,-0.4490586,-0.36697152,-0.042249676,-0.19333726,-0.850863,-0.35338083,-0.09630962,0.29195693,0.14477147,0.02904674,0.073250026,0.114157766,-0.36271328,0.056089334,0.6681701,-0.051115807,0.5655999,-0.41910294,0.43686628,0.0904804,-0.11277129,-0.39668632,-0.23838373,0.0908393,-0.2493652
0.5907407,-0.040778056,0.53429735,-0.47801587,-0.043211646,-0.86364675,0.0860443,-0.050573844,-0.5939125,0.06844423,-0.4926769,0.07951264,-0.23346573,0.5068084,-0.34258887,0.76897365,0.52391475,-0.102821395,0.62838626,0.42477748,0.1391332,0.1171121,-0.27285784,0.88555974,-0.28927436,-0.42264333,0.42665973,-0.1476741,-0.27959245,-0.4608871
0.24568328,0.2275249,-0.25440758,-0.3329986,0.41160327,-0.4996994,-0.074659504,-0.053723194,-0.31005555,0.18399161,-0.35416928,0.011242964,0.046118923,0.06418535,-0.1362075,-0.683876,0.071657896,0.12991616,0.05420122,0.1088047,0.01518906,0.5191818,-0.43494833,0.16923402,-0.094740905,0.041415785,-0.44209188,-0.61757326,-0.33321133,0.31935716
-0.1540717,-0.5116655,0.498528,-0.7893487,0.47991908,-0.64900714,-0.6322124,-0.29268944,-0.1428758,-0.7639138,-0.5902119,-0.6234207,0.1032256,-0.4376848,0.38887563,-0.24528928,-0.6579071,-0.7229295,-0.52810466,-0.116183676,-0.41391703,0.58135843,-0.8942526,0.83421284,0.35282612,0.2752283,-0.6573661,0.2822628,0.8895422,0.03426337
0.0058080223,0.4438375,-0.49177647,-0.09927339,-0.47512522,-0.7785628,0.04158405,-0.55607766,-0.7855725,-0.42775384,-0.6656106,-0.05832616,0.19525814,0.063562654,-0.37214002,0.2728499,-0.50905305,0.032547977,-0.1902997,0.4723675,-0.4789737,0.5584514,-0.39957207,0.4090208,-0.40830722,0.62005913,0.45144364,-0.11789011,-0.88326,0.47543496
0.27594018,0.312731,0.36198258,-0.50588906,0.10359796,-0.61338276,-0.23342763,-0.3407273,-0.5097543,-0.554426,0.069690935,-0.28281483,-0.6060292,0.23694791,-0.19851422,0.36555502,0.2991358,-0.4857005,-0.64568084,0.13362509,-0.18812002,-0.31502587,-0.07041781,0.7796865,0.6187653,-0.00074668886,0.06635327,0.11676016,0.25597388,0.32820615
