,Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount
Time,1.0,0.025371419837229004,-0.0020461557518177205,0.033553335391867924,-0.15776779110335298,0.2362437254081078,0.09975342393447424,0.0729843411879677,-0.14993139534180353,-0.12586163278196463,-0.004967116316996854,-0.0025315164145734695,0.13495018739479395,-0.02882675030637532,-0.17032313644522148,-0.19648614664978586,0.1410879258246692,-0.008957484519360338,-0.007500970338131977,0.12754851759609848,-0.12668824381875793,-0.15496987466799578,-0.029780188102433113,-0.1608707903756176,0.2280446756124151,-0.12861875300746572,-0.038824210685499565,0.2939748186188438,0.06531478560185712,-0.1413413765126602
V1,0.025371419837229004,1.0,-0.03900416504111529,-0.2138728206189221,-0.044046183961503727,0.027519179830423256,0.07366969690006434,-0.18506734643144948,0.004929875951302221,-0.12842984050272413,0.09959767580306726,0.07542555829988337,-0.17494049877061157,0.017911394184288935,0.15338684907613856,-0.05203048749219257,-0.11879323629420956,0.07013170777337473,0.004222318959195031,0.04110204781439122,0.035837649280088514,-0.11548599058889032,-0.00881419930852852,0.09505626213156843,0.012473728666208437,-0.01589183578798137,0.1275973063779875,0.09576615069279978,-0.009259157257588508,-0.12040994725620226
V2,-0.0020461557518177205,-0.03900416504111529,1.0,-0.3219855550349476,-0.0541737699849615,-0.011991030048310636,-0.010260545208024602,-0.20458350651719837,-0.1471528214109923,-0.24115638011823495,0.006521596508693679,-0.03196701424490589,-0.26176018586274863,-0.1972691409536788,0.08179017607453203,-0.007986223997837275,0.19913993432056445,0.13118121070034847,0.25404738764210033,-0.06403983674441269,-0.11732414993098315,-0.03498689364061211,0.013949888471264753,-0.2896023387381783,-0.01782164704978541,0.09218361910735101,0.02913196248963037,0.12123745828855513,0.02673274762654981,0.2790386409721846
V3,0.033553335391867924,-0.2138728206189221,-0.3219855550349476,1.0,0.010252413816326416,-0.18121117855009178,0.16409950455996447,0.17198164941902813,0.12462882239730978,0.09272383447972772,0.13836461626133098,-0.08757763743027952,0.24493541905378105,0.0929257874457458,-0.05522011280778423,-0.08211417283538504,-0.07410702877604718,-0.2707292420972564,-0.1163761699304963,-0.09722623200496269,-0.044166509792400895,0.034300009834116275,-0.07098000506650871,0.17218671871408167,-0.07896451554563237,0.04941818196660563,-0.17630418611974713,-0.002474683660832096,-0.04335433885172177,-0.2719731995801492
V4,-0.15776779110335298,-0.044046183961503727,-0.0541737699849615,0.010252413816326416,1.0,0.002216990841604216,0.10881788963710835,-0.01180465802968247,0.15053375918365608,0.14962495308883939,-0.13465120180673196,-0.1575941436184101,-0.0507475487566338,-0.01396218565980773,-0.12777058090218069,0.10539897553725928,0.04258117498881295,-0.13509940856698488,-0.22837375305494503,-0.03608111372866513,0.2228851905304886,0.03279128465014722,0.012864021646924786,0.045912833859263064,-0.1927160565897255,0.10307961444328681,0.12692288404785035,-0.31250382596627624,0.13182728772732327,0.05278358187363893
V5,0.2362437254081078,0.027519179830423256,-0.011991030048310636,-0.18121117855009178,0.002216990841604216,1.0,0.001449968930090023,0.11321111634379055,-0.10179455125957523,0.04606650955795126,0.08361686928872766,0.21131666173366428,0.08332811739503503,-0.16462728461649145,0.023846964724308414,-0.25166546362069514,0.09305455530728994,-0.20324547660247455,-0.15089576415709935,0.15186157720188323,-0.23399503093867954,-0.07308122548006142,-0.1328236465547023,-0.11923641316829223,-0.006382186252533504,0.04886189890860337,-0.08595223269578652,0.054411879400627236,0.14995086449084705,0.000632800981499793
V6,0.09975342393447424,0.07366969690006434,-0.010260545208024602,0.16409950455996447,0.10881788963710835,0.001449968930090023,1.0,-0.01888839128145164,-0.04237072588815425,0.06502671451493064,-0.038993755082579754,-0.2422096513047896,0.11476897914816617,-0.30051672096652543,-0.05146520458333314,-0.21253060291058948,-0.029568470066177712,-0.21962038408518011,-0.10716909903043569,-0.11769501716864143,-0.10319774887211412,-0.19458414491868403,0.0940744581801935,-0.18618955473422252,-0.12688729405758223,-0.08158311599235953,-0.006570668176164912,-0.046760130196412744,0.20144582399514882,-0.23864561442672066
V7,0.0729843411879677,-0.18506734643144948,-0.20458350651719837,0.17198164941902813,-0.01180465802968247,0.11321111634379055,-0.01888839128145164,1.0,0.13954871913016761,0.07674767122286216,-0.14128255634854314,0.08092105315053587,0.1328590937312444,-0.021906830663455872,-0.08123967649913183,0.19916404209423103,-0.13797896435614287,-0.12605871472513785,-0.2132666692199843,0.1793122992044035,-0.03490512379937752,-0.07894679450734869,-0.09431892004863428,-0.21522995188730829,-0.004446851618358863,-0.024568861325263727,-0.15578453370954307,0.005170254569461723,0.06461266561104717,-0.06630867328221628
V8,-0.14993139534180353,0.004929875951302221,-0.1471528214109923,0.12462882239730978,0.15053375918365608,-0.10179455125957523,-0.04237072588815425,0.13954871913016761,1.0,0.051391834584635886,-0.2233568784183975,0.0024948190313988333,0.11080613201528491,0.2852530554947142,0.1471757060399331,-0.031020757760672407,-0.041719942894278814,-0.12056743825617143,-0.04365531764607377,-0.012796779106863691,0.0013807633439387476,-0.16574989029654044,-0.24093953333305343,-0.11528671200627862,-0.15963110134201694,0.19778268433571317,0.029904846982571634,-0.16992278593223223,-0.025710873116293186,-0.03883587417658822
V9,-0.12586163278196463,-0.12842984050272413,-0.24115638011823495,0.09272383447972772,0.14962495308883939,0.04606650955795126,0.06502671451493064,0.07674767122286216,0.051391834584635886,1.0,0.1686523719539641,0.011072334790485564,0.22879816089854582,0.06053331352113288,-0.02033815161068698,-0.09250979959729058,-0.14865422843726314,-0.20120454999589765,-0.057425388539030696,-0.09070283548129697,0.01834655884387231,0.06208998416191118,-0.07413945315606975,0.1346213820179389,0.08579243615241729,-0.30029298411665095,-0.29310087599029006,-0.24015581782751624,0.004486749180229182,-0.036390541556050995
V10,-0.004967116316996854,0.09959767580306726,0.006521596508693679,0.13836461626133098,-0.13465120180673196,0.08361686928872766,-0.038993755082579754,-0.14128255634854314,-0.2233568784183975,0.1686523719539641,1.0,0.19665916219867136,0.22861058806245027,-0.02622315064227737,0.053246992588491665,-0.12658339321631634,0.002085372919295777,-0.12443821300938311,0.16349590833414027,-0.05567368326933258,-0.05700395599941838,0.16592531421526316,0.09088363439503325,0.07531998942048458,0.13738723949124151,-0.19078074739413178,-0.2844756463986959,0.14250610816870926,-0.03726642645994843,-0.03468798106115651
V11,-0.0025315164145734695,0.07542555829988337,-0.03196701424490589,-0.08757763743027952,-0.1575941436184101,0.21131666173366428,-0.2422096513047896,0.08092105315053587,0.0024948190313988333,0.011072334790485564,0.19665916219867136,1.0,-0.0030990249588384246,0.04227334454608395,0.16180201916172243,0.13871236778297105,-0.019206948227339937,-0.22450198060752186,0.05597705984457692,-0.04095397523997411,0.192527751366793,0.2104097319946771,-0.020478960791181403,0.07218797162629423,0.029269896252492513,-0.06530120617062879,-0.1343941949683222,-0.03886840682885032,0.07667519888999577,0.1556785826372141
V12,0.13495018739479395,-0.17494049877061157,-0.26176018586274863,0.24493541905378105,-0.0507475487566338,0.08332811739503503,0.11476897914816617,0.1328590937312444,0.11080613201528491,0.22879816089854582,0.22861058806245027,-0.0030990249588384246,1.0,0.13362753669851363,-0.19581643755290173,-0.18333293389625432,-0.13886015212045377,-0.09636919626929964,-0.07480260621339929,-0.01866352414490935,0.016617388982836996,0.006680230086882197,0.13343822946359954,-0.06744450685159584,0.08703338503545183,-0.2015176446976612,-0.26350824394447947,0.03945350157209816,-0.03986655772319794,-0.18186964782337733
V13,-0.02882675030637532,0.017911394184288935,-0.1972691409536788,0.0929257874457458,-0.01396218565980773,-0.16462728461649145,-0.30051672096652543,-0.021906830663455872,0.2852530554947142,0.06053331352113288,-0.02622315064227737,0.04227334454608395,0.13362753669851363,1.0,0.04410013959014993,0.07195171273911305,-0.04393126472097497,0.14916220229901236,-0.21073404601710244,0.11755365845260136,0.11358419761631922,0.008241869954155554,-0.15156377686096814,0.12749472397935224,-0.11261895773192503,-0.018330196986162235,0.07828664211292419,-0.09852342821817442,-0.13024734275650213,-0.11632235566056719
V14,-0.17032313644522148,0.15338684907613856,0.08179017607453203,-0.05522011280778423,-0.12777058090218069,0.023846964724308414,-0.05146520458333314,-0.08123967649913183,0.1471757060399331,-0.02033815161068698,0.053246992588491665,0.16180201916172243,-0.19581643755290173,0.04410013959014993,1.0,-0.028045087971121877,-0.13026691371306673,0.11168749759162724,0.10251511569439987,0.05147120078620579,-0.011277628876635458,0.03734373626539631,-0.21552902917453115,-0.028548209758922548,0.07230077212854873,0.023952181828155807,0.13548569982367445,-0.08975063103330418,-0.026641213593511973,0.08185427391607476
