Feature_0,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27,Feature_28,Feature_29
0.27254528,0.1514444,-0.5926757,-0.35883003,-0.7899502,-0.033920724,0.5777781,0.39669323,-0.35129312,-0.67539364,0.18769021,-0.38757518,-0.77019274,-0.21707821,-0.15334441,-0.41380507,-0.71704113,-0.4555316,-0.65228355,0.12327057,-0.5529863,-0.102791965,0.7366991,-0.39242744,-0.15726411,-0.1861313,-0.8425465,-0.3818745,0.104890466,-0.73517185
-0.33308652,-0.19427173,0.08989311,-0.0750307,-0.49584824,0.3477017,0.5736811,-0.07230855,-0.21133576,-0.106187955,0.06765711,-0.5536622,0.033116687,-0.3960213,-0.3562497,-0.5201502,0.058186103,-0.48061532,-0.4962849,0.30606598,-0.34353924,-0.25047588,0.68645334,-0.46780667,-0.32407418,0.037495162,0.097448826,0.06476889,0.00022574363,-0.61304444
0.08434179,0.075540185,-0.51432514,-0.27289528,0.10431053,0.044146087,-0.054339737,0.60023224,-0.10962609,-0.124733835,0.94743806,0.7170464,-0.3600275,-0.4862864,0.19558667,-0.45125097,-0.083040506,0.8014118,-0.20149192,0.5259084,-0.3294941,-0.33286688,0.65919745,-0.8760455,-0.28773883,-0.48973903,-0.82135344,-0.5333756,-0.09847309,-0.2637944
0.3634383,0.4465927,-0.34926206,-0.342656,0.3187677,-0.27216902,0.78883183,0.204706,-0.8354684,-0.50858,0.7127994,0.066859104,0.04903469,-0.48564938,-0.781675,0.37789288,0.9009479,-0.4416425,0.20644295,-0.886989,0.25173673,0.23662114,0.6051939,-0.14478101,0.23951992,-0.4010559,-0.46489826,-0.17390445,-0.22667414,-0.1324264
-0.7584398,-0.15757094,-0.105274275,-0.7313394,0.09682587,0.59604955,0.10767466,-0.19856213,-0.9413236,0.5928492,-0.048454322,0.6352964,0.5121951,0.57685375,0.35275614,-0.88188004,-0.1125683,-0.2727793,0.40747145,-0.41967157,0.36830136,0.013957835,0.32276624,-0.44656423,0.4890034,-0.40718165,0.2845163,0.082272984,-0.22916377,-0.48358345
0.3598914,0.52654606,-0.065054,-0.30967367,-0.28411412,0.29202917,0.7452416,-0.17905562,0.5285903,-0.12153176,0.4531135,-0.8037378,-0.27773967,-0.25476035,-0.13115595,-0.8375793,-0.66701615,0.2731395,-0.8034488,0.5285555,0.16479976,-0.52622545,-0.10405611,-0.4540837,0.41853076,-0.59139955,-0.6172139,-0.18302406,-0.5590359,-0.7157935
0.030119484,-0.5068382,-0.7532925,0.22687796,-0.20406432,0.16954975,0.6373846,0.69076675,-0.055500407,0.14889589,0.54726785,0.3064937,-0.0750182,-0.021596104,0.18786252,-0.4138439,0.8371113,-0.55273694,0.49809518,-0.6276779,-0.4548995,-0.2880379,-0.3005607,0.59177774,-0.48298526,0.7420176,0.28056332,-0.1482218,0.16137992,0.6432011
0.13214007,0.7803285,0.21629122,0.04498854,-0.47913164,-0.4546658,0.38329446,-0.058090914,-0.47949493,0.5975111,0.7584431,-0.49720603,0.03903654,-0.44085026,0.056356076,-0.45038795,0.26433098,0.5947252,0.37518725,0.53919184,0.19237322,-0.3745604,0.38565558,0.17809606,0.18508776,0.0014566121,-0.5515376,-0.28718007,0.23330116,-0.5715445
-0.20542549,-0.29282248,-0.5770955,-0.46872842,-0.10871524,0.57167554,-0.14598961,0.19258067,-0.26557088,-0.2601475,0.0003560345,-0.32026517,-0.3922537,0.43960956,-0.08825269,0.22003269,-0.36609325,-0.3079918,-0.09540584,-0.31815308,0.27771372,0.5659765,-0.25948516,-0.42454892,-0.16979857,0.18802679,-0.63206214,0.35812765,0.01869286,0.27109402
-0.15221371,0.076248296,-0.80308497,0.028979447,-0.52528423,0.7340281,0.7371926,0.12707694,-0.21774113,-0.194223,0.08422674,-0.13763587,-0.65069765,0.19009462,-0.0913036,0.15591308,-0.5461876,0.24661246,-0.16846123,-0.114142895,0.114053644,-9.5273936e-05,-0.71593064,-0.65626425,-0.4728953,-0.048541516,-0.56191605,-0.12175274,-0.5232499,0.6411596
