Buying,Maint,Doors,Persons,Lug_boot,Safety
1.5840416,2.835036,0.5849428,1.5901688,1.9357159,1.8007286
1.6172607,0.4865771,1.5778668,1.9999225,1.9123546,0.4582846
2.7730227,1.0228264,1.8900995,0.5405984,1.988343,0.044370074
2.921174,2.15017,2.1087523,1.9987282,0.17902678,0.39219773
2.8158262,1.173913,1.2523828,0.020454256,1.5543956,0.33281037
2.9948235,2.409954,0.3981797,0.16289926,0.08080532,0.58302575
0.192922,0.50383776,0.8120958,0.7101784,1.8164927,1.9444942
2.9047997,0.17605285,0.99145615,0.41089404,0.08392583,0.5637837
2.1714966,2.8334873,2.949741,1.6378423,0.29814723,1.9973332
2.70636,0.97174627,1.5029408,1.9998208,1.9981782,1.7219652
0.28482956,-0.11655542,2.5551758,0.990225,1.8115258,-0.00067043677
2.9015884,1.0370203,1.8489289,1.9999475,1.9976588,0.48399025
2.7227464,1.6820002,2.3824456,-0.086275406,1.9963115,0.002823675
2.2303057,2.1225693,2.980967,1.2865602,0.37390593,0.48575217
0.8455883,1.1008253,2.9982014,0.77369726,1.2541869,0.0724045
2.8402953,2.9950664,0.13005787,0.3441437,0.25230274,1.2787871
2.6328168,0.37412348,1.8106713,1.9987607,1.9701986,0.088924065
0.87181497,0.38053226,2.9924219,1.8221264,1.4010762,-0.04473176
0.9852332,2.6384492,1.0849538,1.9508237,0.091291904,0.23382582
0.9742204,0.62054646,2.885908,0.402875,0.9127866,0.054673083
1.2389035,2.9131331,0.7249192,1.251563,1.0013307,0.19479151
2.2885218,0.27397913,1.780794,1.805325,1.987222,0.0051077753
0.74637115,0.81072664,0.8925217,0.8008164,1.9102975,1.9997306
2.0123765,0.68170613,0.6191313,1.999998,1.5138075,1.9999841
2.642097,0.80984056,1.0410794,1.9999024,1.9425521,0.8620737
1.6722226,2.5274,0.4923138,-0.053749762,1.5860486,0.99389696
2.9991496,0.5144192,0.9484706,1.6670501,0.24949723,1.2273375
2.592424,0.51942295,0.8741113,0.107676,0.67440665,1.9999774
2.9378753,0.40226877,0.44655678,1.9499587,0.056684695,1.9999995
2.645399,0.016115999,1.0201652,1.1595149,1.103753,0.018218217
0.5379658,1.1808329,0.43616533,1.6216558,1.8993343,1.4434011
0.80025303,1.4278903,2.981777,0.4297794,0.82707465,0.092268966
1.5845414,0.42920995,2.865317,1.2273822,0.6200437,0.062606946
2.5306802,2.8544004,2.085471,1.2072126,1.9999835,0.6618735
0.43449953,0.4235611,2.7681375,1.6810484,0.7028228,-0.0014823636
2.9802597,1.9455068,0.93680924,0.5523879,0.18981093,0.3996768
1.9837985,2.8176546,1.2825562,1.9904459,1.9998235,1.9990062
0.08242811,0.0072551994,1.9903983,0.25191772,0.61114174,0.42035598
2.9503775,1.879126,0.24468622,0.7785745,0.031847354,0.6857017
2.1896791,0.46797568,0.5409352,1.9999776,0.19222392,2.0
2.9106398,0.32328933,0.19995917,1.2256923,-0.07931451,1.8979614
1.9963349,2.9012258,2.981097,0.914031,0.30485493,1.8151219
2.9900124,0.3991204,1.7837281,0.15744127,1.7214346,0.42585826
1.4080061,2.4347498,0.107195124,1.9998772,0.63814616,1.7201464
2.733469,1.5682657,0.5394409,0.0026231506,0.21355045,0.43158406
2.526577,2.903441,2.151956,1.8399167,1.999973,-0.0020697445
0.70478535,2.6352937,0.6821259,0.7078065,1.849842,0.2540127
0.7893095,1.9807909,1.2248346,1.555237,0.0627863,1.4427351
1.4201196,1.0025864,0.56343186,1.9987719,0.027889417,1.6596009
2.1050835,2.9930458,2.7783897,0.6561876,0.08571891,1.7535939
1.6215947,0.64894646,0.48690963,1.5754524,1.855677,1.9302089
2.9065456,1.4298126,2.0970693,0.013268194,0.21621473,0.19471045
1.0556806,0.20201495,1.6963997,1.9678187,-0.020603636,1.9999985
1.4961941,2.9209573,2.939824,0.66518945,0.33477077,0.3164433
0.108741514,0.3498449,2.8217692,0.12735346,1.8221585,1.7304229
2.6800473,-0.33022368,2.7180068,1.0037975,1.9169743,0.061310712
0.4915258,0.8756194,1.8660218,0.63617164,0.8616191,1.988352
1.298061,2.943347,0.7319071,0.027619867,1.999045,1.9651939
1.209824,0.38204268,2.5892136,1.4126045,0.7288165,0.036468014
0.8801939,-0.06889265,2.9112973,0.51210105,1.8638864,-0.041462116
0.58315367,0.7661718,2.3666859,0.16017339,-0.06326995,1.9999661
2.8581798,1.5647199,0.44610518,1.9992038,1.7228891,1.9770404
2.9973717,0.7397126,2.5415993,0.09652723,0.628085,1.989122
2.982245,2.8460274,1.3767987,1.9999739,0.21708341,0.45755154
1.0714252,2.5696084,1.5366964,0.0463942,0.0411664,1.9688278
2.2269382,0.22693709,0.09842082,1.9380052,-0.05410667,1.9861358
1.9991915,2.9287148,2.5393152,0.20459259,1.1167909,0.48923904
2.004386,2.9803789,0.86619806,1.999994,0.027585672,0.6957822
0.57962865,0.94551384,2.9878678,1.2792746,1.8947818,0.40116894
2.2442882,2.9979239,2.6295621,0.09007803,1.548833,0.45664525
1.4707861,2.0953367,0.29912072,1.3398485,1.8985487,2.0
1.2374214,1.2127366,1.0839653,1.8457327,-0.047278557,1.9953061
0.11037445,0.26534426,1.6354725,0.1382329,0.69449437,0.8194738
2.9517746,2.869288,-0.26019967,1.9435318,-0.0009947343,1.9240437
0.93173146,2.349953,0.45697898,0.034012552,0.048728157,1.9925776
2.6505709,2.9964855,2.8511,1.9837263,0.11075705,1.4956629
1.802492,2.9835088,1.921902,0.11543026,1.9987897,0.3619556
2.971977,-0.29391637,2.8181257,1.1032389,1.9548721,0.08984264
1.840817,2.9802222,0.24213395,1.9998189,-0.115046665,0.7061111
1.1427009,2.9011657,1.9271818,0.035419036,1.9960232,0.35047725
-0.013343312,0.67848974,1.5707943,1.9806387,0.94939524,0.08051531
2.9853222,1.7659246,2.9112923,1.9836012,0.56031394,1.452126
2.9468412,2.0325856,1.2509508,1.9999874,0.037967775,0.21238348
2.35863,1.6400065,1.5185305,0.19853307,1.9946963,1.5444667
1.1446986,2.8201327,0.20363262,0.017274005,-0.021513877,1.7543505
1.3888456,2.9041803,2.515698,0.9554644,0.20905405,0.332858
1.8008784,0.53670174,0.6902965,0.48189366,1.4833136,0.026515625
2.6345637,2.006003,1.8254595,-0.05227079,1.9966263,1.2926859
0.6604289,1.7344844,0.4525509,1.3388075,1.9135336,1.9631335
2.7139971,0.25718623,2.2247868,-0.009004901,0.08613641,1.979208
2.2002618,2.6959217,2.5403414,1.9233615,1.9999992,0.20864022
0.1047958,-0.18564323,2.5027404,0.88421786,1.3822865,1.9518698
1.7219987,2.8544075,2.981326,1.3527126,0.15399984,1.4234835
1.3772459,2.8352025,2.9772298,0.29837695,0.4272144,0.24293056
1.5087323,2.0996575,2.9988883,1.832189,0.7955076,0.51328146
0.45457625,1.4504122,2.235818,0.09166679,1.3128076,0.9359612
2.9826133,0.50137943,2.2823625,-0.035523906,0.45695505,1.7797059
2.95484,0.6292591,2.765876,-0.05211235,0.19491488,1.981385
2.909717,-0.18476206,2.3341873,1.8529402,1.9738888,0.065757856
2.9303052,1.334029,1.2094113,0.057512235,0.1530745,0.49430037
0.36333558,1.0411181,0.31761667,1.013785,1.5325639,1.7603794
0.6966019,2.174819,0.64501506,0.012247883,1.9657696,1.9993298
2.9988382,0.8459995,2.91539,1.9384499,0.4746761,1.944987
2.9509153,2.078621,0.72870344,1.8422865,0.05529854,0.23922801
1.8351742,2.9799392,2.591125,-0.03542025,-0.054008275,1.9198521
1.6490161,1.1733302,0.15371977,1.9920589,1.0833714,1.6519359
2.918219,0.49971312,1.3812299,1.998161,1.6654818,0.052881695
1.369445,2.925624,0.19559187,1.938971,-0.040500045,0.3156617
2.8957212,2.9469814,-0.17664304,0.008335505,-0.039319865,0.88910747
0.34121367,-0.24096492,1.7178129,1.6674775,1.6953417,-0.0024437632
2.6929197,2.999719,2.977872,0.3803505,0.49054366,0.9596234
0.415048,0.1090845,1.488225,-0.0051227286,-0.036690045,1.9594647
2.9767797,0.54751456,2.6659722,0.020847099,0.20799454,1.973724
0.18183178,0.033532396,2.4717302,1.9911213,1.7036699,1.4333956
2.9623647,0.20786273,2.0924103,0.8729333,0.7211299,0.07736635
1.7382149,0.008094094,0.45819846,1.777072,0.033719987,1.9991523
2.9999475,0.44085443,2.3428683,1.4915642,1.6409411,0.06997622
0.74942297,0.6585275,2.4919076,1.9692633,0.25792348,1.4741328
0.18123701,-0.01806561,2.7340703,1.9921192,1.8817023,0.032220464
1.7104658,-0.0063708513,1.1152676,1.5436168,1.9054263,1.0865785
1.8460124,2.5736163,2.8276281,1.978318,0.22411491,1.9490976
2.2080512,0.36467394,2.581316,0.010570006,1.948245,1.2785821
0.78014696,2.346643,0.64846295,1.3925774,1.9619073,1.1228833
1.4982737,0.39063308,0.1460744,1.9975489,1.1260592,2.0
0.4214368,1.420141,0.26347739,-0.012862442,0.7063902,0.28045848
1.4864519,1.95742,0.8037075,1.8906286,1.9989175,1.9999449
2.9228015,1.9044001,0.8269456,1.9999999,0.93980724,1.6504756
2.791933,2.318109,2.899818,1.9999955,2.0,0.23921356
1.4441552,2.714233,0.8913832,1.2323349,1.9959033,1.9998152
0.96765393,0.22528477,2.9367652,0.16988748,0.11219501,2.0
2.0734885,1.6148534,1.3058176,1.9723742,1.9970243,1.2460312
2.215288,2.9811206,2.0236406,1.5779918,2.0,1.9951447
1.7156761,1.8968627,2.999973,0.7018308,1.0418245,0.70355034
2.3742454,2.9913988,0.7693915,0.1779372,1.327113,0.6022691
2.4596975,1.9579579,0.39836043,1.9999971,0.22602671,1.7062234
0.83310664,2.2240865,2.7098088,-0.02946953,1.8281236,0.083048366
1.1837224,2.282308,2.9319499,0.083075814,0.75826913,0.71266776
1.3950851,2.5079153,1.422601,-0.066086054,-0.13969113,1.9992764
2.9961581,0.83393645,1.6720787,1.9997005,0.50406367,0.6039449
1.3977138,2.726092,1.1794208,1.9601743,-0.07976834,1.9688451
1.1696943,0.103577614,1.3648657,1.8041915,1.7869526,1.9999795
0.35243535,1.451809,0.30281126,1.9547374,0.20235167,0.12078394
0.86571777,0.6390508,0.060618095,1.8934703,1.442674,1.9999678
2.9785633,2.9747133,0.74567205,1.719262,0.2896541,0.62322295
0.78469193,0.29120928,2.4572842,1.8062203,0.12811695,1.8637817
2.980754,0.05491387,1.5717216,1.6904718,1.3332385,-0.0103275785
0.19461139,0.58903325,0.2654684,0.15554555,1.0850955,1.8616385
1.7565447,2.7993383,1.535456,1.972756,1.9999621,1.9687678
1.3310088,0.04489085,2.9935794,1.8925375,0.09001167,1.9999999
2.9835396,2.9288468,0.5772835,-0.0072113746,0.122357264,0.8273274
2.906507,2.677629,0.0558455,0.3562663,0.05234635,0.9951845
2.0843632,0.42024243,2.674459,-0.104243286,1.759347,1.9985752
2.9338171,1.4975348,1.2917359,1.9999906,1.8918349,0.87870526
2.3979502,2.9700289,0.39201772,0.41378784,0.059521325,0.6945571
1.1734651,-0.26381513,2.1439424,1.6776501,1.8658013,0.011984887
0.55226165,-0.0074043903,0.87440175,-0.024808867,0.15684432,1.8113292
1.6281722,2.8172739,-0.15641293,-0.040060215,0.2648101,1.0075575
0.27653274,0.41425028,1.6021163,-0.023936443,1.2341673,1.997088
2.410833,2.7059429,1.876207,1.9989576,1.9999856,1.7216014
0.6430383,1.5935667,1.9426106,1.9927768,1.9503833,0.15571712
2.9853077,2.822077,0.6137687,1.52213,0.28320003,0.70039046
2.2561774,2.957924,2.2028902,0.025788425,1.9999973,0.7016137
1.7474186,1.0570558,0.5092614,1.9987886,0.6757477,0.23068729
1.3727973,1.8619752,0.116449356,1.9368106,-0.011364569,0.44019768
1.0564351,1.2505704,2.9932504,1.999693,1.207392,0.0045774165
0.2556599,1.1854873,2.5595937,0.53391075,1.9895744,0.5316521
1.1505287,2.3359983,2.8275838,0.18434563,1.99997,0.20943291
2.0506146,1.6142883,1.2560285,1.9347438,1.9984341,1.871468
0.5210059,1.6448998,0.3846624,0.03611428,0.66214615,1.9523851
2.5347106,2.5965834,1.0626333,0.15886416,1.990878,1.9999065
2.94379,0.66318214,1.937932,-0.03433716,1.8467996,0.39493138
