,Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount
Time,1.0,0.11720329597962294,-0.01084417645115728,-0.4212382693033108,-0.10448733997738216,0.17120434409131827,-0.0631080210521452,0.08331341869949627,-0.0387428217116268,-0.010310213751960083,0.029693501817674054,-0.24738538267029356,0.12559031190693626,-0.06641022150307418,-0.09838483242882459,-0.18303011620777954,0.012980162773676158,-0.07196753286480818,0.09112829941617273,0.029596370727311527,-0.05124632479736211,0.0450966214504833,0.14489093715366055,0.050655233249094773,-0.015463609927758101,-0.23257300600959824,-0.04259374115063545,-0.005570486144732648,-0.009370692036646778,-0.009935787575948296
V1,0.11720329597962294,1.0,0.00729484405707257,-0.0007821684048244976,-0.00022723050153189772,0.0019016856213319904,-0.0030347601101008126,-0.011855110471201614,0.0005463516175426878,-0.001120243186974408,-0.0018604832429182224,-0.0004480550861421495,-0.0014970247791874507,-0.0019240277498881072,3.254012631226522e-05,-0.0018572277685192562,-0.0027907437247323475,-0.001581342022989172,-0.0007570556954347532,0.0018694916548017994,-0.0013056901841375097,-0.0013455886191824317,0.003286241644677522,0.0057712085105228825,-0.001356439985093497,0.0017971557895369355,-0.0007792461142408012,-0.002175053189872514,-0.0030729205120343995,-0.2339251333158995
V2,-0.01084417645115728,0.00729484405707257,1.0,0.008112215288789104,-0.0035590214040857196,0.008695441083168224,-0.0032398083359260173,-0.005729275206189135,0.0014787957132272062,-9.0463462111742e-05,0.004351846884310093,-0.0011568637318231433,-0.0005438426085384767,-0.00175702561530462,-0.0010407996693967223,0.00028040916671678124,7.636690133841491e-05,0.0008427958601365877,0.0005024628885819827,0.0019931871325013888,-0.004863119754077796,0.0024919133647592997,0.0018701668589360457,0.004073936140369787,-0.0004136923346766435,0.001937646936278434,0.0007733127219657756,-0.00027755152837745085,-0.004816467032849414,-0.5360328412614922
V3,-0.4212382693033108,-0.0007821684048244976,0.008112215288789104,1.0,-0.0018503501344650562,0.0026710588451905487,-0.00451653725295354,-0.014210657800237675,0.0022455530011323394,-0.0019771607185852086,-0.0007448858182420343,0.000982655849963535,-7.500250553323434e-05,-0.0010952670850246787,0.0004940363158552978,-0.0013257048646475786,-0.0016987445198121682,-0.00034125405910203515,-0.001565767948982582,0.0016222514212409292,0.0019056500674144738,-0.0005539515507355132,0.000904686093244831,0.004907136410904188,-0.0005787132091843578,0.00025760369973484295,-0.0007197920338328481,-0.0030226922966341283,0.0028850472158803053,-0.21805447513551046
V4,-0.10448733997738216,-0.00022723050153189772,-0.0035590214040857196,-0.0018503501344650562,1.0,-0.002312327982302458,0.002630586265431882,0.00514447463338769,-0.00018002059596745025,0.0003793470667542285,0.0009091852338895723,0.002177539126951153,-0.0016993493434328758,-0.0007015277284332238,-0.0007069703387444279,0.0012532504100882468,0.0006159511020325435,0.0002876536960137919,0.0019953424057790234,-0.001183106306629573,0.0007136996840736384,0.0014919633243692318,0.0006470023988681546,-0.0026822420133779303,-0.000989040009702574,-0.0015421940341363745,0.0017660376191743917,0.0010412258523732297,0.002494551476073314,0.10380810702916118
V5,0.17120434409131827,0.0019016856213319904,0.008695441083168224,0.0026710588451905487,-0.002312327982302458,1.0,-0.008561369988254328,-0.02078901310020139,0.003117145693146498,-0.0017996751363285515,-0.001075326609442407,-0.0013007200628204548,-0.000569488584596885,-0.0006143683969659562,0.0009049272236812443,-0.0017769196989077059,-0.0024147908214766345,0.0006454122113791043,0.0009033406320081304,-0.0015212244703246042,0.0053012436353804164,0.0017642691159978283,-0.0005936256352074204,0.0019273681860270918,-0.001034582671036083,-0.0004329993835418147,-7.603447416675913e-05,-0.008595102988115923,0.008496325114352825,-0.3941126253779128
V6,-0.0631080210521452,-0.0030347601101008126,-0.0032398083359260173,-0.00451653725295354,0.002630586265431882,-0.008561369988254328,1.0,0.01036339420138435,-0.0011613302329676123,4.5139398265302426e-05,8.088056762746696e-05,0.0006224378167898092,6.684007469851318e-05,-5.37907491214917e-05,0.0006556400681795048,0.0011121093987289748,0.0026390496704140256,-0.00014030526797721073,0.000657147130629151,0.0003709875707697107,-0.002249730792022922,-0.0013276955157332055,-2.662202936735304e-06,-0.0018647704584875133,0.0007824454093876545,0.0006439798808956,-0.0002773855019878834,0.004882682366325468,-0.005313267303553861,0.22178056305490193
V7,0.08331341869949627,-0.011855110471201614,-0.005729275206189135,-0.014210657800237675,0.00514447463338769,-0.02078901310020139,0.01036339420138435,1.0,-0.006947396323333084,-0.005431662316342957,-0.011276566142496936,-0.0005091267116299183,-0.0019531776950047334,0.0015429987097406602,0.0012562659457220704,0.0022457283407434805,0.005372450612833548,-0.002625976286721569,0.000282604174427764,-0.0029975371724115887,-0.0007996266427961134,-0.008404157049974187,0.00038150029362488586,0.00013758545742815353,0.0003645688923898138,0.0003102863637081239,0.0012837615379108621,0.00836624795163906,-0.006192851302429371,0.41146313126848233
V8,-0.0387428217116268,0.0005463516175426878,0.0014787957132272062,0.0022455530011323394,-0.00018002059596745025,0.003117145693146498,-0.0011613302329676123,-0.006947396323333084,1.0,0.0005432324933428989,-0.0023053556054812483,0.0030218105894852377,-0.0035431819828260296,-0.0007583082335780656,-0.002559246555180254,-0.00015623548409784667,-0.00414110608915259,-0.004676895077409038,-0.0026726330989070993,-0.0006574973920180484,0.0015308271306926269,-0.006435634085973213,0.0037482855769275162,0.002577896307991706,-0.00022276646402633082,-0.0018044322670980493,-0.0011827308985710291,-0.005841218614405632,0.0011282671781538396,-0.10548199907734243
V9,-0.010310213751960083,-0.001120243186974408,-9.0463462111742e-05,-0.0019771607185852086,0.0003793470667542285,-0.0017996751363285515,4.5139398265302426e-05,-0.005431662316342957,0.0005432324933428989,1.0,-0.0032544253861152,0.001012507116390874,0.0009000722592743457,0.0014025121353351134,0.0036595727199441696,-0.0001318580955717025,9.5190134296863e-05,0.0009315272988581182,-3.907830404997669e-05,-0.0013961738555029772,-4.8945223516575453e-05,-0.0021532629246179564,-7.097005022214227e-05,-0.0013262980852976392,-0.0011244443019023593,-0.0001996963400037881,0.00014100893115373471,0.002238921254801068,0.0017084263720974727,-0.0439319176469554
