,Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount
Time,1.0,-0.15322771953665723,0.08461470594245309,0.1145727804263139,-0.1480011498643192,0.10977716071360151,-0.06223121914977121,-0.06784733870125985,0.010738486309752271,0.16283795820428648,-0.15429741103063885,-0.05194482983696418,0.11669619236930583,0.019672599000639175,0.05372840666629394,0.022800890957998872,-0.05808136596844838,-0.02888727999301834,0.04984185093233958,-0.21980181294028187,0.054368326539179314,0.027016572759936328,0.2043029401613536,0.09736233319931688,-0.022179775600913682,-0.007539658297251714,0.04588274076657927,-0.07617689967200277,-0.06867784139788681,-0.03937690526396997
V1,-0.15322771953665723,1.0,-0.3247659062219817,-0.09207115922366062,0.16417561883945142,0.09446639660817663,0.13203463587551414,-0.01949595432059011,0.11475004436313885,-0.31335610860238766,-0.06473092608025421,-0.01094079228038114,0.020485398494291457,-0.0631953965201449,0.15409620475083172,-0.04308474218175177,-0.12295102043911887,0.15102162724965124,-0.22633842478789315,0.014006550605708174,0.07197930753707824,-0.010874483085688813,-0.14003353556739875,-0.04317826744485542,-0.04514397007334117,0.1622818275196822,0.15692203524673787,0.12866794885520336,-0.20655844679723115,0.2252616016121223
V2,0.08461470594245309,-0.3247659062219817,1.0,-0.10231995154456773,-0.01983744163915711,0.0036473537804631168,-0.010090086584571265,-0.15252047136939553,0.11663319885301332,0.005125403172580934,0.08102213994480846,-0.1357853368887148,-0.22650913138677536,0.037493381193663335,-0.043947119086639376,0.10985237342474023,0.19095299353886466,-0.14029145265664367,0.19462177217802895,0.022221512893165537,0.022330419728565986,0.16308345422237724,0.02198470106049495,0.13539661941872705,0.036193892309954796,-0.06346675917807705,-0.20035316638539022,-0.05429274349475712,0.1946440790476575,-0.18836585007452278
V3,0.1145727804263139,-0.09207115922366062,-0.10231995154456773,1.0,-0.07211037035103016,-0.1433293891327543,-0.1368829449186264,0.041912562235004065,-0.10045919024410448,-0.049647084426800485,-0.07372689649362862,0.07013624905162966,-0.023267884937334272,-0.08184265548316225,0.059286269870723385,-0.06742431732966052,-0.1743017302828447,-0.05787459745225946,0.09940480261579399,0.009136345038828477,-0.05779875480915524,0.1634225731550281,-0.048514396579558805,-0.008128578240758893,0.21924202577316326,-0.08732134979474036,-0.07548346483779834,-0.03156893195651143,-0.25408369389142654,0.005322416849464594
V4,-0.1480011498643192,0.16417561883945142,-0.01983744163915711,-0.07211037035103016,1.0,0.14908829320192915,0.12635457795799832,0.1423916511632449,0.05791798768340043,-0.24184714364275184,0.22473948211997524,0.1112973115477004,0.020593370720814293,0.12274465957941752,-0.09690713710845532,0.34788792339445707,-0.20714649489464262,0.1291143170547005,0.13946566419383366,-0.005027278301034605,-0.038001759340499375,-0.07652738864639184,0.0710546209320217,-0.02516295863377022,0.026093287689924388,-0.014438706578965716,0.0017632814781111004,0.22896385759773735,-0.1542379555495281,0.06417051456363648
V5,0.10977716071360151,0.09446639660817663,0.0036473537804631168,-0.1433293891327543,0.14908829320192915,1.0,0.17592274339752886,-0.05289409176265961,0.027818450560236175,0.08521480011607095,0.16540703777888197,0.05428762797248101,0.270559711263555,-0.06259204620906827,-0.2482736821734313,-0.1672364917271314,-0.17000101930607797,-0.00812249866768496,-0.05152359450235003,-0.08993942385041913,-0.19401019792525245,-0.09463482904541214,0.005131897302123376,0.0830824729378385,-0.010117674224155177,0.04489079300413278,0.06855828920009759,0.1574313108770292,-0.08919875630319743,0.043922092418654274
V6,-0.06223121914977121,0.13203463587551414,-0.010090086584571265,-0.1368829449186264,0.12635457795799832,0.17592274339752886,1.0,0.10365740877231452,0.036830362314585766,-0.06636224311825595,0.05635068618389342,-0.17719995294104884,0.08814696654551077,-0.07736295495634657,-0.01322923474072771,-0.1510787841111535,-0.00327724608944035,-0.028827086350966494,-0.009703538357020635,-0.02227941799645497,-0.1633750583572517,0.06868572701154625,-0.11957281886934239,0.10348911308824545,-0.15106144954714104,-0.07955720597107156,-0.02371308665870305,0.16708757474586913,-0.06976194799832487,-0.04976528676005649
V7,-0.06784733870125985,-0.01949595432059011,-0.15252047136939553,0.041912562235004065,0.1423916511632449,-0.05289409176265961,0.10365740877231452,1.0,-0.04602808565786246,0.06959452326820684,0.21625768958446845,0.06039044588787174,0.16738113056992582,0.010208376057764182,-0.16909258788891146,0.0737963463166238,-0.26839816767305147,-0.1075008289876742,0.05471936658606497,0.27517273954326577,-0.14856449410623304,-0.01397420817783403,0.17387507387775364,0.10299922082214624,-0.22960438538444974,-0.19562631275995393,-0.04235463777344588,-0.032916373102702574,0.12947923946034878,0.22591717520215793
V8,0.010738486309752271,0.11475004436313885,0.11663319885301332,-0.10045919024410448,0.05791798768340043,0.027818450560236175,0.036830362314585766,-0.04602808565786246,1.0,0.043118004068245,0.04780728083101692,-0.01508037713303215,-0.05375440636922134,0.18768377893196672,0.016612735830696918,0.04797110981345653,-0.09717195506230426,0.07411444114432128,0.17307390772927084,0.11526024144132163,-0.14280441479202013,-0.08271924391451775,0.13290114772785647,0.038744329936415085,-0.09432886551254215,0.1154729765992584,0.20555854141675495,0.24311066494671693,0.11470510383925235,-0.03711844493012813
V9,0.16283795820428648,-0.31335610860238766,0.005125403172580934,-0.049647084426800485,-0.24184714364275184,0.08521480011607095,-0.06636224311825595,0.06959452326820684,0.043118004068245,1.0,0.09650045829489665,0.11235863494292639,0.3137220622435152,0.020520910644207416,-0.1974648993999207,-0.0553950688826106,0.10291663950249125,-0.05908908804861898,0.1081451898904517,0.07858016939039393,-0.14555476423082156,-0.2340365512871593,0.17531952481977525,-0.0284026999896026,-0.055454627603640096,-0.17749223719396268,-0.02093146249442322,-0.07414097209670807,0.10493936610359991,-0.117505453771833
V10,-0.15429741103063885,-0.06473092608025421,0.08102213994480846,-0.07372689649362862,0.22473948211997524,0.16540703777888197,0.05635068618389342,0.21625768958446845,0.04780728083101692,0.09650045829489665,1.0,0.035755006779866996,-0.051170904896854365,0.22163229825564065,-0.10644288554274389,0.1877101570207043,-0.06853739009962936,-0.03932038636864815,0.1442258027158293,0.11258508551192863,0.1527648394675641,-0.15717914738063346,0.04044562815137637,0.11699647459839177,-0.07899106958751385,-0.17044349096994413,-0.03247020804441672,0.016440481409762727,0.015799901343611075,0.046291849484511496
V11,-0.05194482983696418,-0.01094079228038114,-0.1357853368887148,0.07013624905162966,0.1112973115477004,0.05428762797248101,-0.17719995294104884,0.06039044588787174,-0.01508037713303215,0.11235863494292639,0.035755006779866996,1.0,0.03362743230003824,0.16092954632846576,-0.14979328272026024,0.06878163888668591,-0.21517767690058756,-0.12340736798348792,0.18159874072063792,-0.016938127361566864,-0.05084669672997089,-0.13037734817510924,0.1282775595407975,0.031796504814893205,-0.03603275747548797,0.2556611763680742,0.190770060637936,0.1721985037689269,-0.08439252523142082,0.0720512101159334
V12,0.11669619236930583,0.020485398494291457,-0.22650913138677536,-0.023267884937334272,0.020593370720814293,0.270559711263555,0.08814696654551077,0.16738113056992582,-0.05375440636922134,0.3137220622435152,-0.051170904896854365,0.03362743230003824,1.0,-0.07502860936229083,0.055571660079467566,-0.0021416604452623,-0.015326464173524472,-0.08156292213929683,-0.08729140491285699,-0.03718528408491524,-0.26060275984227954,-0.15482538846203858,0.07998348127703997,-0.0438872799207775,-0.21789969987279323,-0.15212594000962396,-0.015748344215700632,0.0181308909765616,-0.05338796184885152,0.14006017248515765
V13,0.019672599000639175,-0.0631953965201449,0.037493381193663335,-0.08184265548316225,0.12274465957941752,-0.06259204620906827,-0.07736295495634657,0.010208376057764182,0.18768377893196672,0.020520910644207416,0.22163229825564065,0.16092954632846576,-0.07502860936229083,1.0,0.08325268069665484,0.12220285991399275,-0.0247094479245319,0.23165618886836523,0.2531873924966956,-0.09256649892584676,0.011051513867029406,-0.01168832172701737,0.033374569762178716,-0.044306556286717244,0.0219491928211343,0.07880109499715099,0.06377492152703305,0.03783859263791935,-0.016797553790018207,-0.1310525342087086
V14,0.05372840666629394,0.15409620475083172,-0.043947119086639376,0.059286269870723385,-0.09690713710845532,-0.2482736821734313,-0.01322923474072771,-0.16909258788891146,0.016612735830696918,-0.1974648993999207,-0.10644288554274389,-0.14979328272026024,0.055571660079467566,0.08325268069665484,1.0,0.10539797227254642,0.24578444974149258,-0.18639676394645013,-0.03640395660561026,0.004571970667120031,-0.04740374821555188,0.1181783571053468,-0.19368384997070812,-0.041394221697143414,0.11298439050926254,0.026232851082232278,-0.20570742250791202,-0.17786631584265444,0.02220186088641571,0.13568514196071763
V15,0.022800890957998872,-0.04308474218175177,0.10985237342474023,-0.06742431732966052,0.34788792339445707,-0.1672364917271314,-0.1510787841111535,0.0737963463166238,0.04797110981345653,-0.0553950688826106,0.1877101570207043,0.06878163888668591,-0.0021416604452623,0.12220285991399275,0.10539797227254642,1.0,-0.09560004174138853,0.013721491699886042,0.08693183337043395,-0.05133928474726863,0.07395181650182951,-0.19680034190831344,-0.059183110838540026,-0.20717051227923694,-0.00777681192971791,0.08315693944431655,-0.0496035794669262,0.04374070038890795,0.043389795356305653,0.07256012258652857
V16,-0.05808136596844838,-0.12295102043911887,0.19095299353886466,-0.1743017302828447,-0.20714649489464262,-0.17000101930607797,-0.00327724608944035,-0.26839816767305147,-0.09717195506230426,0.10291663950249125,-0.06853739009962936,-0.21517767690058756,-0.015326464173524472,-0.0247094479245319,0.24578444974149258,-0.09560004174138853,1.0,-0.09294383020592963,-0.14758388589179502,-0.06680254970057825,0.06656643620476176,0.12821846897473033,-0.03769298900637677,-0.026647597167899273,0.05951121085012889,-0.04837437948534734,-0.022572578424041787,-0.21793409307562106,0.3542123264741585,0.017990403392221594
V17,-0.02888727999301834,0.15102162724965124,-0.14029145265664367,-0.05787459745225946,0.1291143170547005,-0.00812249866768496,-0.028827086350966494,-0.1075008289876742,0.07411444114432128,-0.05908908804861898,-0.03932038636864815,-0.12340736798348792,-0.08156292213929683,0.23165618886836523,-0.18639676394645013,0.013721491699886042,-0.09294383020592963,1.0,0.0024899943184355454,0.09635524437530661,0.15943947526223085,-0.09152932458860571,-0.03619709114861271,-0.10583399506017052,0.07373389565641508,-0.029731309101026174,0.07105667832600387,0.0029781239614796373,-0.13472052808067442,0.015832616569099036
V18,0.04984185093233958,-0.22633842478789315,0.19462177217802895,0.09940480261579399,0.13946566419383366,-0.05152359450235003,-0.009703538357020635,0.05471936658606497,0.17307390772927084,0.1081451898904517,0.1442258027158293,0.18159874072063792,-0.08729140491285699,0.2531873924966956,-0.03640395660561026,0.08693183337043395,-0.14758388589179502,0.0024899943184355454,1.0,0.1499509933034505,-0.1612715812721463,0.0875722530634306,0.14439506756237258,-0.1416228068339246,-0.020223527910709988,-0.17863399216919715,-0.2600149519035284,0.035655646569462976,0.08110340514387056,-0.17435130191763137
V19,-0.21980181294028187,0.014006550605708174,0.022221512893165537,0.009136345038828477,-0.005027278301034605,-0.08993942385041913,-0.02227941799645497,0.27517273954326577,0.11526024144132163,0.07858016939039393,0.11258508551192863,-0.016938127361566864,-0.03718528408491524,-0.09256649892584676,0.004571970667120031,-0.05133928474726863,-0.06680254970057825,0.09635524437530661,0.1499509933034505,1.0,-0.12713942617058135,-0.18921128657318337,-0.13718922683718943,0.08273223373438895,-0.173771314234207,-0.1472193621602877,-0.07885262263683634,0.06815014895283322,0.19135829158880102,0.09107458138503939
V20,0.054368326539179314,0.07197930753707824,0.022330419728565986,-0.05779875480915524,-0.038001759340499375,-0.19401019792525245,-0.1633750583572517,-0.14856449410623304,-0.14280441479202013,-0.14555476423082156,0.1527648394675641,-0.05084669672997089,-0.26060275984227954,0.011051513867029406,-0.04740374821555188,0.07395181650182951,0.06656643620476176,0.15943947526223085,-0.1612715812721463,-0.12713942617058135,1.0,-0.06859771868334355,0.13949946837852104,0.03486602690963663,0.008542427146334724,0.12247516243533464,0.10806328723194639,-0.1506959317198284,-0.048464810702612035,0.0865033190239201
V21,0.027016572759936328,-0.010874483085688813,0.16308345422237724,0.1634225731550281,-0.07652738864639184,-0.09463482904541214,0.06868572701154625,-0.01397420817783403,-0.08271924391451775,-0.2340365512871593,-0.15717914738063346,-0.13037734817510924,-0.15482538846203858,-0.01168832172701737,0.1181783571053468,-0.19680034190831344,0.12821846897473033,-0.09152932458860571,0.0875722530634306,-0.18921128657318337,-0.06859771868334355,1.0,-0.09608073955769536,0.058442222163296614,0.14154063557013213,0.1117064708178036,-0.2184539660260456,0.02137233476926328,-0.037593147378515566,-0.15207796128204631
V22,0.2043029401613536,-0.14003353556739875,0.02198470106049495,-0.048514396579558805,0.0710546209320217,0.005131897302123376,-0.11957281886934239,0.17387507387775364,0.13290114772785647,0.17531952481977525,0.04044562815137637,0.1282775595407975,0.07998348127703997,0.033374569762178716,-0.19368384997070812,-0.059183110838540026,-0.03769298900637677,-0.03619709114861271,0.14439506756237258,-0.13718922683718943,0.13949946837852104,-0.09608073955769536,1.0,0.13843992135986813,-0.21037125780391977,0.042109490756518916,0.2260694087565926,0.11915288472550754,0.07362301291692275,0.033513047303280995
