0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,29,365,13,0,4,1,2,7,185,301,433,461,342,375,1,197,177,794,45,300,9,3,120,1375,1366,0
1,29,20,43,2,0,20,1,8,379,245,183,23,8,139,422,197,47,649,16,254,54,3,1,1051,1021,0
2,29,20,43,2,0,20,1,8,150,202,160,0,0,146,78,197,177,807,16,36,54,1,50,1393,1392,0
3,33,20,43,2,0,20,1,8,250,236,192,85,5,143,255,68,170,52,16,254,54,24,74,58,56,0
4,29,20,43,2,0,20,1,8,96,255,193,23,10,136,93,197,177,720,16,36,54,1,50,1206,1177,0
5,29,20,43,2,0,20,1,8,379,247,183,18,1,146,279,63,151,239,8,254,54,1,17,368,338,0
6,29,20,43,2,0,20,1,8,260,244,184,29,1,144,166,65,140,113,16,143,54,0,102,204,174,0
7,37,20,43,2,0,20,1,8,214,247,181,6,1,142,229,68,117,112,16,144,54,3,0,203,173,0
1210,42,239,67,10,4,6,1,8,71,177,254,407,246,150,297,197,177,79,45,274,54,1,147,122,120,0
1230,42,239,67,10,4,6,1,8,419,181,247,394,108,146,297,197,177,226,45,274,54,1,146,354,324,0
1254,42,239,67,10,4,6,1,8,328,208,242,346,93,175,346,197,177,400,45,194,54,1,38,602,572,0
1269,42,239,67,10,4,6,1,8,190,175,157,0,0,495,346,197,177,485,45,194,54,1,38,737,707,0
1280,42,239,67,10,4,6,1,8,354,238,195,91,0,189,346,197,177,563,45,194,54,1,38,865,835,0
1308,29,239,67,10,4,6,1,8,191,189,238,369,245,172,346,197,177,805,45,194,54,1,38,1391,1390,0
1278,42,354,67,10,0,20,1,8,53,239,191,71,90,146,416,197,177,552,13,150,54,1,20,850,820,0
1288,29,354,67,10,0,20,1,8,423,202,193,256,126,146,416,197,177,628,13,150,54,1,20,991,961,0
33,42,75,67,6,16,20,2,3,185,318,500,473,2,423,181,197,177,573,45,305,54,21,20,886,856,0
34,42,7,67,2,16,20,2,5,185,332,501,467,219,432,342,197,177,573,45,5,54,21,20,890,860,0
35,42,7,67,2,16,20,2,5,185,336,502,466,219,439,342,197,177,573,45,5,54,21,20,891,861,0
36,29,7,67,2,16,20,2,6,185,302,551,479,68,458,342,197,177,640,21,5,54,21,20,1034,1004,0
37,29,7,67,2,16,20,2,6,185,302,551,479,68,458,342,197,177,640,21,5,54,21,20,1035,1005,0
38,29,7,67,2,16,20,2,5,185,337,510,468,225,448,90,197,177,758,45,5,54,21,20,1301,1290,0
39,29,7,67,2,16,20,2,7,185,408,443,419,325,454,342,197,177,669,24,5,54,2,44,1094,1083,0
40,29,7,67,2,16,20,2,7,185,408,443,419,325,454,342,197,177,669,24,5,54,2,44,1095,1084,0
41,29,7,67,2,16,20,2,5,185,337,510,468,219,423,90,197,177,758,45,5,54,21,20,1302,1291,0
42,29,7,67,2,16,20,2,5,185,184,443,476,178,358,342,197,177,730,45,5,54,1,20,1230,1201,0
43,29,7,67,2,16,20,2,5,185,184,443,476,178,358,342,197,177,730,45,5,54,1,20,1231,1202,0
395,16,104,43,2,0,20,1,8,336,231,198,123,12,144,224,55,150,398,16,80,10,3,8,600,570,0
44,42,3,67,2,0,20,1,8,285,237,192,81,3,145,152,48,130,91,16,161,10,3,5,149,147,0
8,42,41,67,6,4,4,2,7,185,362,345,135,321,382,112,76,66,332,21,219,54,21,100,500,470,0
14,17,118,23,6,0,1,2,7,185,436,411,255,345,450,39,197,177,670,45,89,17,12,97,1116,1086,0
9,31,257,46,6,0,1,2,7,185,409,389,256,327,412,404,197,177,463,24,133,3,12,81,698,668,0
10,31,257,46,6,0,1,2,7,185,420,388,98,349,415,404,197,177,673,24,133,34,0,126,1127,1097,0
11,35,301,49,0,16,20,2,6,185,395,383,312,264,396,486,197,177,645,45,288,37,10,116,1047,1017,0
12,35,301,49,0,16,20,2,5,185,369,357,298,232,380,359,197,177,604,24,238,37,0,120,949,919,0
13,29,300,49,0,16,20,2,7,185,313,303,244,293,318,360,197,177,795,45,239,37,22,120,1377,1368,0
15,29,356,67,10,16,20,2,6,185,302,551,479,68,458,342,197,177,640,45,297,54,21,20,1036,1006,0
45,44,137,78,4,3,20,1,8,289,253,177,526,2,145,435,133,21,619,16,24,15,3,9,976,946,0
46,0,47,0,6,4,12,2,7,185,456,424,13,335,462,31,197,177,463,39,80,15,12,81,699,669,0
47,8,132,58,2,0,20,1,8,131,243,187,50,4,146,300,85,168,252,16,80,15,0,106,386,357,0
48,8,132,58,2,0,20,1,8,130,234,195,104,3,144,372,197,42,426,16,80,15,3,8,648,618,0
49,8,132,58,2,0,20,1,8,130,248,181,4,3,141,419,116,33,598,16,254,54,3,9,938,908,0
50,29,132,58,2,0,20,1,8,130,251,185,6,8,159,174,197,177,654,16,219,54,3,9,1058,1028,0
16,42,289,67,2,0,20,1,8,22,239,190,70,3,146,160,58,138,37,16,146,54,1,15,38,36,0
17,42,292,67,2,0,20,1,8,66,242,187,52,1,145,124,190,138,237,16,143,54,1,16,366,336,0
18,42,292,67,2,0,20,1,8,64,241,187,54,4,143,125,81,138,244,16,143,54,1,16,373,343,0
19,42,292,67,2,0,20,1,8,25,244,185,36,4,144,282,197,177,256,16,143,54,0,106,392,362,0
20,42,292,67,2,0,20,1,8,158,247,183,18,2,146,286,197,177,260,16,146,54,1,20,396,364,0
21,42,292,67,2,0,20,1,8,24,240,190,67,6,146,104,192,177,320,16,149,54,3,8,476,446,0
22,42,292,67,2,0,20,1,8,9,241,188,59,5,146,147,58,138,41,16,146,54,3,5,42,40,0
23,44,292,67,2,0,20,1,8,58,245,183,23,105,146,138,197,125,383,16,219,54,3,9,575,545,0
24,42,292,67,2,0,20,1,8,161,244,185,36,2,144,163,58,138,57,16,146,54,1,16,66,64,0
25,42,292,67,2,0,20,1,8,10,248,181,4,1,146,263,107,177,118,16,146,54,3,6,211,181,0
26,42,292,67,2,0,20,1,8,147,245,185,29,5,148,262,107,177,147,16,146,54,0,105,254,224,0
27,42,292,67,2,0,20,1,8,68,240,188,65,1,144,86,191,138,143,16,146,54,3,10,250,220,0
28,42,292,67,2,0,20,1,8,69,240,188,65,3,143,94,193,89,154,16,146,54,3,10,263,233,0
29,42,292,67,2,0,20,1,8,156,240,188,65,5,144,277,85,6,217,16,13,10,0,105,343,313,0
51,29,163,33,13,0,20,1,8,97,245,184,25,5,144,41,170,3,235,8,120,25,0,128,364,334,0
52,29,321,33,13,0,20,1,8,98,250,179,543,4,146,486,197,177,372,8,120,25,0,156,558,528,0
53,29,321,33,13,0,20,1,8,363,190,186,313,1,105,486,197,177,624,8,120,25,0,153,983,953,0
54,29,321,33,13,0,20,1,8,270,182,253,397,9,144,63,197,177,536,16,208,37,0,106,819,789,0
55,42,12,67,0,0,20,2,6,185,50,51,255,64,74,167,197,177,0,45,19,54,21,35,0,1418,0
56,9,338,9,2,0,20,1,8,29,245,183,23,2,144,319,121,38,151,16,36,54,3,5,259,229,0
57,9,338,9,2,0,20,1,8,30,244,185,36,2,146,297,197,6,281,16,80,15,0,106,420,390,0
58,9,338,9,2,0,20,1,8,37,248,180,2,1,144,394,146,47,250,16,36,54,3,8,384,354,0
59,9,338,9,2,0,20,1,8,45,245,184,25,1,146,320,197,53,329,16,80,15,0,106,492,462,0
60,29,338,9,2,0,20,1,8,30,240,189,66,1,144,338,197,53,603,16,254,54,0,106,948,918,0
61,29,110,79,0,16,20,2,7,185,406,439,414,323,402,90,197,177,669,45,86,61,2,44,1083,1072,0
62,42,14,1,2,3,20,2,7,185,472,480,396,327,488,22,13,177,248,45,22,0,0,46,382,352,0
63,29,13,68,2,1,1,2,7,185,407,464,436,321,458,22,13,177,669,45,258,54,2,44,1103,1060,0
64,42,14,1,2,3,20,2,7,185,470,537,445,342,2,22,13,177,248,45,22,0,0,46,378,348,0
65,42,13,68,2,1,1,2,7,185,370,413,430,340,403,22,13,177,417,45,258,54,0,44,634,604,0
66,42,13,68,2,1,1,2,7,185,399,424,399,335,432,22,13,177,417,45,258,54,0,44,632,602,0
67,42,15,9,2,0,1,2,7,185,404,438,414,342,452,22,13,177,514,45,258,54,2,46,786,756,0
68,42,15,9,2,0,1,2,7,185,391,404,386,316,410,22,13,177,636,45,258,54,2,44,1009,979,0
69,29,13,68,2,1,1,2,7,185,391,420,406,316,457,22,13,177,636,45,258,54,2,44,1020,986,0
70,29,388,9,2,1,1,2,7,185,407,454,428,321,458,22,13,177,669,45,258,54,2,44,1102,1059,0
71,11,6,11,2,0,20,1,8,341,246,180,6,154,139,37,176,177,34,45,95,54,24,66,35,33,0
72,11,6,11,2,0,20,1,8,238,245,184,25,1,144,312,197,177,268,45,13,10,24,68,407,377,0
73,11,6,11,2,0,20,1,8,381,269,228,3,3,180,347,197,177,547,16,282,12,24,68,844,814,0
74,11,6,11,2,0,20,1,8,242,249,178,543,12,137,355,197,9,759,16,53,5,24,68,1315,1306,0
75,11,6,11,2,0,20,1,8,401,245,185,29,2,148,183,35,139,82,16,143,54,24,68,128,126,0
79,29,17,43,6,0,20,1,8,283,233,195,105,6,142,305,197,177,517,16,26,10,3,11,791,761,0
80,9,17,43,2,0,20,1,8,330,245,184,25,1,145,237,63,166,104,8,152,56,0,103,193,163,0
30,29,366,67,0,16,20,2,5,185,335,509,470,225,446,1,197,177,758,45,301,54,1,20,1305,1294,0
77,1,16,1,2,0,20,1,8,146,245,185,29,1,143,183,197,177,692,16,100,0,3,9,1164,1134,0
78,1,16,1,2,0,20,1,8,154,253,191,23,1,142,179,197,115,753,16,100,0,3,9,1294,1273,0
32,13,98,14,4,3,20,1,8,286,238,193,81,242,148,194,45,115,164,5,17,26,3,10,274,244,0
81,11,23,11,2,0,20,1,8,198,247,182,13,2,143,226,107,6,101,16,36,54,0,105,190,160,0
82,11,22,11,2,0,20,1,8,219,251,179,533,0,146,278,97,172,214,16,36,54,1,19,340,310,0
83,11,22,11,2,0,20,1,8,189,245,185,29,0,147,253,197,177,418,16,254,54,0,25,635,605,0
84,11,22,11,2,0,20,1,8,218,250,183,4,7,153,247,197,177,684,16,254,54,1,50,1153,1123,0
85,11,23,11,2,0,20,1,8,197,249,183,6,2,153,258,197,177,532,16,254,54,0,106,815,785,0
86,11,23,11,2,0,20,1,8,197,248,183,13,7,146,297,197,164,678,16,254,54,1,50,1142,1112,0
87,42,3,67,2,0,20,1,8,195,240,191,70,2,151,157,48,132,131,16,13,10,3,10,231,201,0
31,24,201,35,6,4,12,2,7,185,341,319,548,307,341,345,197,177,698,24,179,28,2,44,1170,1140,0
88,26,289,39,2,0,20,1,8,139,243,185,46,42,144,171,63,89,17,16,95,54,3,4,18,16,0
89,26,289,39,2,0,20,1,8,280,245,187,46,3,151,184,68,111,29,16,95,54,0,105,30,28,0
90,26,289,39,2,0,20,1,8,281,247,181,6,4,144,219,124,146,65,16,95,54,0,105,84,82,0
91,26,289,39,2,0,20,1,8,139,243,184,36,6,140,246,98,146,107,16,95,54,0,103,197,167,0
92,26,289,39,2,0,20,1,8,278,233,197,109,8,146,288,197,21,296,16,146,54,1,20,445,415,0
93,26,289,39,2,0,20,1,8,282,239,188,66,5,139,297,197,26,333,16,146,54,3,9,501,471,0
94,26,289,39,2,0,20,1,8,279,264,219,132,14,174,363,197,176,395,16,80,10,0,106,596,566,0
95,26,289,39,2,0,20,1,8,298,209,173,182,12,112,364,197,177,511,16,80,10,3,9,779,749,0
96,26,289,39,2,0,20,1,8,297,243,187,50,8,148,239,83,150,87,16,95,54,0,105,140,138,0
97,26,289,39,2,0,20,1,8,308,239,191,71,7,147,216,32,154,143,15,24,14,3,10,249,219,0
98,26,289,39,2,0,20,1,8,299,235,194,97,7,148,241,85,150,163,16,36,54,0,105,273,243,0
99,26,289,39,2,0,20,1,8,296,237,192,81,7,146,44,175,40,154,16,95,54,3,10,262,232,0
100,26,289,39,2,0,20,1,8,298,248,183,13,11,148,409,197,26,630,16,80,10,0,106,995,965,0
101,26,289,39,2,0,20,1,8,298,244,185,36,6,143,406,114,177,576,16,80,14,3,9,896,866,0
102,29,289,39,2,0,20,1,8,298,252,179,531,9,147,406,197,26,713,16,10,18,0,108,1195,1166,0
103,26,289,39,2,0,20,1,8,287,237,194,91,6,143,57,177,40,182,5,36,54,3,5,300,270,0
104,26,289,39,2,0,20,1,8,288,235,196,104,8,147,373,197,6,454,16,80,15,3,9,686,656,0
105,26,289,39,2,0,20,1,8,309,254,183,543,5,160,390,197,177,654,16,80,10,3,9,1059,1029,0
106,29,336,26,6,14,20,2,3,185,428,401,255,156,435,121,197,177,751,39,108,22,14,82,1285,1264,0
107,16,43,20,9,0,20,1,8,289,251,178,531,5,142,190,197,177,649,16,282,10,3,9,1052,1022,0
108,29,190,54,2,16,20,2,3,185,356,343,263,74,368,404,197,177,772,45,165,42,12,96,1332,1323,0
110,35,325,49,2,16,20,2,7,185,381,375,342,326,391,136,197,177,669,3,263,37,2,44,1101,1058,0
111,4,193,4,6,0,20,1,8,332,245,184,25,4,144,209,37,177,598,16,219,54,3,9,939,909,0
121,29,17,43,6,0,20,1,8,293,247,181,6,7,142,214,41,177,318,16,80,15,0,106,472,442,0
122,29,17,43,6,0,20,1,8,292,265,233,136,6,178,369,197,177,457,16,80,15,0,102,690,660,0
123,29,17,43,6,0,20,1,8,305,185,158,37,3,101,339,197,177,461,16,80,15,3,9,695,665,0
124,29,17,43,6,0,20,1,8,294,235,195,101,5,146,220,197,142,380,16,80,15,3,9,571,541,0
125,29,17,43,6,0,20,1,8,292,235,207,137,10,136,378,197,177,764,16,10,15,3,8,1322,1313,0
269,35,196,49,10,4,6,2,7,185,375,358,249,315,381,266,197,177,719,39,225,37,10,126,1205,1176,0
278,29,196,49,10,4,6,2,7,185,364,362,361,313,381,266,197,177,792,39,225,37,10,120,1369,1360,0
126,17,148,23,0,16,20,2,7,185,480,457,155,347,483,1,197,177,424,3,279,17,12,81,644,614,0
127,17,148,23,0,16,20,2,5,185,367,354,298,227,378,1,197,177,604,3,279,17,0,120,951,921,0
128,17,148,23,0,16,20,2,5,185,366,356,314,227,378,1,197,177,604,3,279,17,0,120,950,920,0
129,11,64,11,14,11,20,4,5,185,133,132,338,186,274,113,197,177,551,43,257,5,24,68,848,818,0
130,11,64,11,14,11,20,4,5,185,132,133,350,184,276,113,197,177,551,43,257,5,24,68,849,819,0
131,11,64,11,14,11,20,4,5,185,134,131,331,178,273,257,197,177,575,43,257,5,24,68,894,864,0
132,11,64,11,14,11,20,4,5,185,135,130,299,178,273,257,197,177,575,43,257,5,24,68,895,865,0
133,11,64,11,14,11,20,1,8,388,242,189,59,53,147,257,98,177,580,43,257,5,24,69,905,875,0
134,29,64,11,14,11,20,1,8,246,243,184,36,53,146,257,197,177,806,43,257,5,24,69,1392,1391,0
135,11,64,11,14,11,20,1,8,200,262,257,446,171,184,282,197,177,726,43,257,5,24,69,1219,1190,0
136,29,64,11,14,11,20,1,8,404,186,245,382,178,123,282,197,177,752,43,257,5,24,68,1292,1271,0
137,29,64,11,14,11,20,4,5,185,137,128,122,178,275,462,197,177,739,39,257,5,24,68,1245,1223,0
138,29,64,11,14,11,20,4,5,185,138,129,122,178,277,462,197,177,739,39,257,5,24,68,1246,1224,0
139,29,64,11,14,11,20,4,5,185,139,126,14,178,275,462,197,177,782,39,257,5,24,69,1357,1348,0
140,11,64,11,14,11,20,1,8,247,235,193,93,50,141,113,197,177,443,45,257,5,24,69,671,641,0
141,11,64,11,14,11,20,1,8,396,241,187,54,52,141,113,197,177,456,45,257,5,24,66,689,659,0
142,11,64,11,14,11,20,1,8,264,231,199,125,47,146,406,197,177,479,45,257,5,24,69,729,699,0
143,11,64,11,14,11,20,1,8,353,243,189,54,54,151,122,197,177,545,43,257,5,24,67,841,811,0
144,11,64,11,14,11,20,1,8,215,193,236,347,183,127,282,74,177,464,43,257,5,24,67,701,671,0
145,11,64,11,14,11,20,1,8,215,210,207,253,188,148,282,74,177,488,43,257,5,24,67,741,711,0
146,11,64,11,14,11,20,1,8,215,198,265,477,287,130,282,74,177,495,45,257,5,24,67,750,720,0
147,11,64,11,14,11,20,1,8,185,206,231,318,187,119,282,74,177,509,43,257,5,24,67,777,747,0
148,11,64,11,14,11,20,1,8,194,206,223,306,186,144,282,74,177,535,43,257,5,24,67,818,788,0
149,29,64,11,14,11,20,1,8,188,194,234,343,176,129,282,74,177,793,43,257,5,24,67,1370,1361,0
