age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
90,0,19302,1,1,1,14,1,1,2,0,0,1,0
90,0,19302,1,1,1,14,1,1,2,0,0,1,0
90,0,19302,1,1,1,14,1,1,2,0,0,1,0
90,0,19302,1,1,1,14,1,1,2,0,0,1,0
90,0,19302,1,1,1,14,1,1,2,0,0,1,0
90,0,19302,1,1,1,14,1,1,2,0,0,1,0
90,0,19302,1,1,1,14,1,1,2,0,0,1,0
90,0,19302,1,1,1,14,1,1,2,0,0,1,0
90,0,19302,1,1,1,14,1,1,2,0,0,1,0
90,0,19302,1,1,1,14,1,1,2,0,0,1,0
90,0,19302,1,1,1,14,1,1,2,0,0,1,0
90,0,19302,1,1,1,14,1,1,2,0,0,1,0
90,0,19302,1,1,1,14,1,1,2,0,0,1,0
90,0,19302,1,1,1,14,1,1,2,0,0,1,0
90,0,19302,1,1,1,14,1,1,2,0,0,1,0
90,0,19302,1,1,1,14,1,1,2,0,0,1,0
90,0,19302,1,1,1,14,1,1,2,0,0,1,0
90,0,19302,1,1,1,14,1,1,2,0,0,1,0
90,0,19302,1,1,1,14,1,1,2,0,0,1,0
90,0,19302,1,1,1,14,1,1,2,0,0,1,0
90,0,19302,1,1,1,14,1,1,2,0,0,1,0
90,0,19302,1,1,1,14,1,1,2,0,0,1,0
90,0,19302,1,1,1,14,1,1,2,0,0,1,0
90,0,19302,1,1,1,14,1,1,2,0,0,1,0
90,0,19302,1,1,1,14,1,1,2,0,0,1,0
90,0,19302,1,1,1,14,1,1,2,0,0,1,0
90,0,19302,1,1,1,14,1,1,2,0,0,1,0
90,0,19302,1,1,1,14,1,1,2,0,0,1,0
90,0,19302,1,1,1,14,1,1,2,0,0,1,0
90,0,19302,1,1,1,14,1,1,2,0,0,1,0
90,0,19302,1,1,1,14,1,1,2,0,0,1,0
90,0,19302,1,1,1,14,1,1,2,0,0,1,0
90,0,19302,1,1,1,14,1,1,2,0,0,1,0
90,0,19302,1,1,1,14,1,1,2,0,0,1,0
90,0,19302,1,1,1,14,1,1,2,0,0,1,0
90,0,19302,1,1,1,14,1,1,2,0,0,1,0
90,0,19302,1,1,1,14,1,1,2,0,0,1,0
90,0,19302,1,1,1,14,1,1,2,0,0,1,0
90,0,19302,1,1,1,14,1,1,2,0,0,1,0
90,0,19302,1,1,1,14,1,1,2,0,0,1,0
90,0,19302,1,1,1,14,1,1,2,0,0,1,0
90,0,19302,1,1,1,14,1,1,2,0,0,1,0
90,0,19302,1,1,1,14,1,1,2,0,0,1,0
90,0,19302,1,1,1,14,1,1,2,0,0,1,0
90,0,19302,1,1,1,14,1,1,2,0,0,1,0
90,0,19302,1,1,1,14,1,1,2,0,0,1,0
90,0,19302,1,1,1,14,1,1,2,0,0,1,0
90,0,19302,1,1,1,14,1,1,2,0,0,1,0
90,0,19302,1,1,1,14,1,1,2,0,0,1,0
90,0,19302,1,1,1,14,1,1,2,0,0,1,0
