 parents,has_nurs,form,children,housing,finance,social,health
-1.6815811,0.8786104,-1.4520993,1.3658566,1.0383534,-0.7042591,1.0353835,-0.63991576
-0.41461173,0.18222272,1.3117973,-1.6549681,0.84225893,0.66670495,0.8894085,0.006736343
-1.471589,0.7945589,1.0527668,-2.0049026,-0.5468859,-0.14287716,-0.7136488,-1.4481939
-0.44755885,1.3643062,0.819875,-0.6681326,-0.5592302,1.7216251,0.4077857,-0.65164155
-0.91952145,0.55740416,0.7173914,-1.3839309,1.0120368,1.2026136,0.051318742,-1.0999405
-1.0974301,0.23540127,-0.56769645,-0.15375048,-0.95331144,1.4830644,-0.095580734,-0.39145783
-1.3350892,0.06345239,-0.34782037,-0.28509822,-0.54648876,-0.65945834,2.6082525,0.33747467
1.226416,0.79936194,-0.9669119,-1.1712137,-0.31422034,-1.1868882,0.7981538,0.20695068
0.29205626,-0.6953483,-0.629991,0.11603194,0.6686424,-1.0653632,0.5836252,-0.25412303
0.24471536,-1.8947625,-1.5431885,0.66789216,0.87690276,0.56400067,0.3588435,-0.92924863
0.5785341,-1.2479393,-0.9860203,-1.907181,-0.5656422,-0.62571526,0.8163548,1.0124365
-0.87411344,-0.49870265,-1.16055,-0.9428536,1.433389,-0.4139877,-2.1187851,-1.1919845
-1.6201416,-0.9525684,-1.1011478,-1.3894472,-1.7567711,0.09029578,-0.45243692,0.23882996
1.9563917,0.31718123,-0.28777418,2.2414834,-1.3051441,0.5491574,-0.8054385,0.08662859
-1.9959158,-0.6412316,0.78557116,-1.6706218,0.4002876,0.80867124,-0.11857311,-0.8482917
-0.8458289,-1.2456484,0.34282652,0.51179993,0.7055827,0.9764089,-0.8101144,1.4727288
-1.5450412,0.6913529,-0.7670635,-1.2373223,-1.2599188,0.5991873,0.47000226,0.5128784
-0.12847549,1.7275369,0.4083902,0.49905303,1.2316881,-2.1042352,0.65110207,1.2128359
1.5057105,-1.2802062,0.1689516,0.44365126,0.17640029,-0.6436388,0.3568586,0.16387637
1.5380397,1.4785583,-0.25125185,1.0614052,0.79323614,-0.30017084,-0.2388234,-0.3316651
-0.4631267,-0.65274435,-0.43518114,-1.3692567,1.0433041,0.9682422,-0.9963058,-1.1973342
0.0071656853,0.071519345,-0.69266653,-1.0911053,0.82635415,0.49680144,-0.7738656,1.1003872
-1.2227489,0.29862237,-0.3713992,-0.704684,-0.60992765,0.8248337,-0.74466664,-1.8003397e-05
0.7648952,-0.19353348,0.24144182,1.167167,-0.19635351,-0.21819852,0.05784353,-2.1524997
1.0755502,0.6695632,-0.13522826,-0.026812457,-0.17538875,1.5160483,0.8333665,-0.4482686
0.90121037,0.33469358,0.59488165,0.42528677,-1.6494142,0.2192267,1.3720652,-0.69409037
1.2858003,-0.493585,-0.16678068,1.5610193,1.8026948,0.4687029,-0.49521884,0.8676365
-0.5869344,1.7812107,2.0114534,-0.5415442,0.5585545,-1.5645988,-0.24397303,0.5434381
