 parents,has_nurs,form,children,housing,finance,social,health
0.25972956,-0.7173246,0.59900373,2.1490173,0.659489,-0.76588297,0.7042199,-1.1490841
-0.55576175,-1.0977178,-0.7862054,1.2057385,-1.0679808,0.0006845221,0.61432695,-0.72723746
-0.083225526,-0.39745754,-1.8178049,0.40966573,-1.1387705,0.61208063,-1.6610925,0.27290267
2.38319,0.73971015,-0.37050077,-0.969,0.03514067,-0.32993275,-0.18539658,-1.2411716
-0.6235506,1.1781783,-0.5495916,2.1325233,0.7149293,-1.3615819,0.36767286,0.20712551
-0.31526348,-2.0649145,-0.7840574,-1.4108288,0.93894416,-0.30098045,1.2078698,0.7760819
1.0486094,1.346077,-0.26857036,1.6893457,-1.1763165,0.9975081,0.30986533,-0.5886038
-0.35566688,1.8705263,-0.13045016,0.4216997,-0.3456648,0.5373024,0.68773144,1.343223
0.03082455,0.07825573,0.79744506,2.0473049,-0.45457733,0.49684766,1.0032828,0.79261094
1.5176429,1.8869051,0.69710886,0.6768458,-0.45719713,0.6171175,0.9782617,-0.19224563
-1.0252439,-0.8570988,-0.5094018,0.25198114,-0.08940629,-1.8512896,-0.47508955,0.6759196
-0.356205,-0.34094164,-0.29757345,1.3398385,0.4287067,-1.779915,0.5899523,-0.028058447
-0.59449893,0.7021003,1.8195113,-0.29623148,-1.2320694,0.05628439,0.6314353,1.8272153
1.7502091,0.8624056,0.1340897,-0.8021118,-0.49178165,0.09006556,0.6371975,-1.4544231
-0.3761871,-1.5279994,0.980682,-0.018554725,0.36152974,0.16250736,-0.5294922,-0.23898593
-0.26928076,0.4601109,1.4453204,-0.72228724,0.47167477,-0.6898884,-0.39557666,-1.7499038
0.7469337,0.68142325,1.7878798,2.0731537,-0.58364815,0.42411068,-0.09134274,0.10232612
-0.021223642,-0.2519178,1.0219069,0.62388134,-0.59768075,-1.824792,0.6210034,0.5776111
-0.75238883,-1.0688705,0.668416,-0.52169585,1.2787439,-0.9411016,-1.0273325,0.32533666
1.1947497,1.1738411,-0.58542895,0.008430965,-0.27143377,-1.5283817,-1.2913116,0.0086816475
0.969132,-1.3215097,0.1321355,1.0782915,1.8746455,0.62725127,-0.6738855,-0.108124234
0.48937887,0.66222966,-0.53303313,2.168932,1.5622153,-0.21326408,-0.25025317,-0.3056349
0.34400722,-2.1258855,0.17178322,0.12701479,-0.5367579,-0.801105,-1.1288195,-0.2432665
-0.309018,-1.2501945,1.1561214,-1.1614295,0.5979733,-1.4699771,0.61891127,1.0013529
-0.30569685,1.2044924,-2.0715182,0.12715998,-0.5622515,0.4000658,-0.6231999,-0.56810147
-0.3334592,1.1101828,0.2688413,-0.12364819,-0.75052494,-1.6397653,0.37031966,-0.72620726
0.8134183,1.6976144,-0.05566846,-1.312114,-0.43772703,-0.93471515,-0.29066795,-1.0562729
0.94356734,-0.42122227,-0.9978312,-0.27143705,2.1588144,-0.25481173,0.018714879,-0.6983609
1.2869436,-1.9592533,0.58821523,0.8543422,-0.32578832,0.10820069,0.11831594,-0.37441012
-0.3018033,-1.2659569,0.58688724,2.1963253,0.034494493,-0.5180979,-0.8920997,1.6101893
0.1538825,0.7303239,0.19035375,-0.12066797,-1.0255724,1.3705031,1.3573232,1.283189
-1.6400923,1.4381042,-0.8861655,-0.5125855,-0.14230683,0.026883356,-0.20022394,0.55052674
1.0632863,-1.7727053,0.708521,-1.3558109,0.42619053,0.40564686,-0.25197637,0.030453585
0.6049859,-0.68855256,-0.3788856,-0.17584902,0.4779902,2.0202475,-0.29012886,-0.21880499
0.20490593,0.4032002,-0.4578545,-0.49612123,0.311923,-1.3348199,-0.010229646,-1.2152848
0.4856574,-1.9578965,0.1657442,-1.4197392,0.03149338,-0.6194638,-0.89887106,-1.1429033
0.9506375,-1.3154532,-1.6607554,-0.27678266,0.8207467,-0.06412182,-0.7254024,-0.48499784
0.8593842,0.08665875,1.521548,1.3624077,0.23324001,-0.94413114,-1.015246,-0.10704104
1.1894871,0.2475757,-1.2653397,-0.6605902,0.7632013,-1.5942036,0.37606636,-1.0095907
-0.84434307,1.01431,0.6647895,1.3231041,1.0056494,-0.23199356,0.90923226,0.60641706
-1.0066274,-1.8164783,0.26891112,0.41202778,0.70724064,-0.7372903,-1.1063181,0.5862045
-0.93124026,0.6367789,1.8244861,-0.82901794,-0.4847064,-0.79920024,0.24525213,1.2137237
1.895971,0.31011382,1.4041234,-0.5931857,0.5989842,-0.5020257,0.15562055,-0.28336832
0.9574571,-0.649181,-0.26431838,-0.54953533,-0.7217818,-0.9665623,0.6664174,0.8122065
-0.64534247,1.9957548,-0.7019336,-0.89428246,-0.34148514,-0.07954184,0.067790225,0.34284335
1.1804864,0.86566055,-0.4711906,-0.36136213,-0.854078,-0.41291818,1.3705392,-0.76578104
-0.07893016,0.35172555,0.70469093,-2.539909,-0.10333327,-0.69178575,0.2344422,0.7811256
-1.0138004,-0.41878408,-0.21027082,0.549878,-1.1576747,-0.67012376,-1.6631925,1.4799712
-0.32024652,0.0093032885,-0.6647788,0.8534803,-1.3237362,-0.9298954,0.3007344,-0.11011086
-0.4038675,-0.85542226,-0.268073,-0.66189736,-0.844942,1.4414555,0.06433873,1.1334128
-0.1473414,-0.617625,2.2450018,-0.56067187,0.25901482,-0.06303308,-0.73156875,-0.7018522
0.7313711,-0.08756243,1.7995673,-0.97198987,0.15708795,-0.6818694,0.14034465,-0.10942993
-1.5300691,-0.09123001,-0.57670087,1.9502268,0.6796856,0.044063322,0.51209086,0.165544
0.6046893,-0.13136667,-1.4435078,0.8328671,1.9178748,-0.7148365,-0.21833532,-1.3420697
-1.0939496,-1.690979,-0.55968624,0.57832754,-1.7872858,-0.24021661,-0.6930397,0.56056446
1.729649,0.21304491,-0.39991415,0.3020608,-2.0604272,0.36147222,0.005155896,-0.8334403
