Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7
0.31982002,0.63714516,0.52163005,0.5015167,0.24321954,0.32342237,0.32696518
0.53885424,0.540646,0.35478568,0.66395205,0.57255495,0.3613861,0.32311982
0.5099864,0.6715226,0.37669605,0.5306234,0.3901962,0.4975859,0.28963518
0.5056802,0.59659207,0.5584316,0.7479871,0.2727795,0.4750223,0.37225747
0.5084816,0.6275987,0.40873045,0.485599,0.43285623,0.33674514,0.5397723
0.33710366,0.6439734,0.43348178,0.57361233,0.42042604,0.3116123,0.36035436
0.5319821,0.48579156,0.4530551,0.76830465,0.4663708,0.20256403,0.19379708
0.50695646,0.60979104,0.5818976,0.58091265,0.46351215,0.44828534,0.36576113
0.42523682,0.6506943,0.32806993,0.6378159,0.46365103,0.4552713,0.44281107
0.41425925,0.522631,0.5484472,0.6584753,0.47448277,0.2985616,0.30647644
